漢字	雲陽話	訪仙話	河陽話	埤城話
菖（菖蒲）		ʦʰɑŋ55		ʦʰɑŋ51
商	sɑŋ33	sɑŋ55	sæ33	sɑŋ51
傷	sɑŋ33	sɑŋ55	sæ33	sɑŋ51
常		ʦɑŋ31	sɑŋ33	ʦʰɑŋ25
嘗	sæ31	sɑŋ31	sæ31	sɑŋ25
裳（衣裳）	sæ33	sɑŋ31	sæ31	sɑŋ51
償	sæ33	sɑŋ31	sæ33	sɑŋ25
疆	ʨiæ33	ʨiɑŋ55	ʨiæ33	ʨiæ51
僵	ʨiæ33	ʨiɑŋ55	ʨiæ33	ʨiæ51
薑	ʨiæ33	ʨiɑŋ55	ʨiæ33	ʨiæ51
韁（韁繩）	ʨiɑŋ33	ʨiɑŋ55	ʨiæ33	ʨiæ51
姜	ʨiæ33	ʨiɑŋ55	ʨiæ33	ʨiæ51
羌		ʨʰiɑŋ55	ʨʰiɑŋ33	ʨʰiæ51
強	ʨʰiæ25	ʨiɑŋ31	ʨʰiæ24	ʨʰiæ25
香	ɕiæ33	ɕiɑŋ55	ɕiæ33	ɕiæ51
鄉	ɕiæ33	ɕiɑŋ55	ɕiæ33	ɕiæ51
央	iæ33	iɑŋ55	iæ33	iæ51
秧	iæ33	iɑŋ55	iæ33	iæ51
殃	iæ33	iɑŋ55	iæ33	iæ51
羊	iæ25	iaŋ31	iæ31	iæ25
洋	iæ25	iɑŋ31	iæ31	iæ25
烊（融化。～銅，～金）	iæ25	iɑŋ31	iæ31	iæ25
楊	iæ25	iɑŋ31	iæ24	iæ25
陽	iæ25	iɑŋ31	iæ24	iæ25
揚	iæ25	iɑŋ31	iæ24	iæ25
瘍（潰瘍）	iæ25	iɑŋ31	iæ24	iæ25
兩（兩箇）	liæ25	liɑŋ31	liæ24	liæ25
兩（幾兩幾錢）	liæ25	liɑŋ41	liæ24	liæ25
蔣	ʨiæ55	ʨiɑŋ41	ʨiæ55	ʨiæ33
獎	ʨiæ55	ʨiɑŋ41	ʨiæ55	ʨiæ33
槳	ʨiɑŋ55	ʨiɑŋ55	ʨiæ55	ʨiæ33
搶	ʨʰiæ55	ʨʰiɑŋ41	ʨʰiæ55	ʨʰiæ25
想	ɕiæ55	ɕiɑŋ41	ɕiæ55	ɕiæ33
象	ɕiæ31	ɕiɑŋ325	ɕiæ31	ɕiæ25
像	ɕiæ25	ɕiɑŋ325	ɕiæ24	ɕiæ25
橡（橡樹）	ɕiæ31	ɕiɑŋ325	ɕiæ31	ɕiæ51
長（生長）	ʦæ55	ʦɑŋ41	ʦæ55	ʦɑŋ33
漲(長)	ʦæ55	ʦɑŋ41	ʦæ31	ʦɑŋ33
丈	ʦæ31	ʦɑŋ325	ʦæ24	ʦɑŋ51
仗	ʦæ31	ʦɑŋ434	ʦæ31	ʦɑŋ51
杖	ʦæ31	ʦɑŋ325	ʦɑŋ51	
闖(搶)	ʦʰɑŋ55	ʨʰyɑŋ434	ʨʰyɑŋ31	ʨʰyɑŋ25
爽	ɕyɑŋ25	ɕyɑŋ434	ɕyɑŋ55	ɕyɑŋ33
掌	ʦɑŋ25	ʦɑŋ434	ʦɑŋ55	ʦɑŋ33
廠	ʦʰæ55	ʦʰɑŋ55	ʦʰɑŋ55	ʦʰɑŋ25
賞	sɑŋ55	sɑŋ41	sɑŋ55	sɑŋ25
上（上山）	sæ31	sɑŋ325	sæ31	sɑŋ25
壤（土壤）	lɑŋ25	ȵiɑŋ434	lɑŋ24	
強（勉強）	ʨʰiæ25	ʨʰiɑŋ55	ʨʰiæ24	ʨʰiæ25
仰	ɑŋ25	ȵiɑŋ325	ȵiæ24	ȵiæ25
享	ɕiæ55	ɕiɑŋ434	ɕiæ31	ɕiæ25
養	iæ55	iɑŋ325	iæ55	iæ33
癢	iæ55	iɑŋ325	iæ55	iæ33
釀	niɑŋ424	ȵiɑŋ434	ȵiæ55	liæ41
亮	liæ31	liɑŋ434	liæ31	liæ41
諒	liæ33	liɑŋ434	liæ31	liæ41
輛(兩)	liæ33	liɑŋ434	liæ31	liæ41
量（數量）	liæ25	liɑŋ434	liæ31	liæ41
醬	ʨiæ424	ʨiɑŋ434	ʨiæ31	ʨiæ41
將（大將）	ʨiæ424	ʨiɑŋ41	ʨiæ31	ʨiæ41
匠	ʨiæ31	ɕiɑŋ325	ɕiæ24	ɕiæ41
相相貌	ɕiæ424	ɕiɑŋ434	ɕiæ31	ɕiæ25
帳	ʦæ424	ʦɑŋ434	ʦæ55	ʦɑŋ25
賬(帳)	ʦæ424	ʦɑŋ434	ʦæ24	ʦɑŋ25
脹	ʦæ424	ʦɑŋ434	ʦæ31	ʦɑŋ25
暢	ʦʰæ424	ʦʰɑŋ55	ʦʰɑŋ31	ʦʰɑŋ41
壯	ʦuɑŋ31	ʨyɑŋ434	ʨyɑŋ31	ʨyɑŋ25
創	ʦʰɑŋ424	ʨʰyɑŋ434	ʨʰyɑŋ31	ʨʰyɑŋ41
狀	ʦɑŋ31	ʨyɑŋ325	ʨyɑŋ31	ʨyɑŋ41
障（保障）	ʦæ424	ʦɑŋ434	ʦɑŋ31	ʦɑŋ41
瘴（瘴氣）	ʦæ424	ʦɑŋ434	ʦɑŋ31	ʦɑŋ41
唱	ʦʰæ424	ʦʰɑŋ434	ʦʰæ31	ʦʰɑŋ25
倡（提倡）	ʦʰæ424	ʦʰɑŋ434	ʦʰɑŋ31	ʦʰɑŋ41
餉	ɕiæ424	ɕiɑŋ41	ɕiɑŋ31	ɕiæ25
尚	sæ33	sɑŋ325	sæ55	sɑŋ41
上（上面）	sæ31	sɑŋ325	sæ31	sɑŋ41
讓	ȵiæ31	ȵiɑŋ325	ȵiæ31	ȵiæ41
向	ɕiæ33	ɕiɑŋ41	ɕiæ24	ɕiæ41
樣	iæ31	iɑŋ31	iæ31	iæ41
略	yɛʔ44	lyɔʔ31	liɑʔ24	ȵiᴀʔ44
掠		liᴀʔ31	liɑʔ31	liᴀʔ44
爵	ʨiɑʔ12	ʨyɔʔ31	ʨyɛʔ31	ʨiʔ44
雀（麻雀）	ʨʰiɑʔ44	ʨiᴀʔ44	ʨʰiɑʔ33	ʨʰiᴀʔ44
鵲（喜鵲）	ʨʰiɑʔ44	ʨʰiᴀʔ44	ʨʰiɑʔ33	ʨʰiᴀʔ44
嚼	ʨiɑʔ12	ɕiᴀʔ31	ʨiɑʔ24	ʨiᴀʔ44
削	ɕiɑʔ44	ɕiᴀʔ44	ɕiɑʔ33	ɕiᴀʔ44
著（著衣）	ʦuɔʔ44	ʦᴀʔ44		ʦᴀʔ44
著（睡著,附著）	ʦɑʔ44	ʦᴀʔ44	ʦɑʔ33	ʦuɔʔ44
酌	ʦuɔʔ44	ʦɔʔ31		ʦuɔʔ44
綽（綽號，寬綽）	ʦʰɑʔ44	ʦaɔ55	ʦʰɔʔ33	ʦʰuɔʔ44
㪕（㪕起棍子）	ʦʰɔʔ44	ʦʰaɔ55		ʦʰɑɔ41
勺（勺子）	sɑʔ31	sᴀʔ31	sɔʔ31	sɔʔ44
芍（芍藥花）	sɑʔ31	saɔ325	sɔʔ31	sᴀʔ44
弱	ȵiɑʔ12	ȵiᴀʔ31	ȵiɑʔ24	ȵiᴀʔ44
腳	ʨiɑʔ44	ʨiᴀʔ44	ʨiɑʔ33	ʨiᴀʔ44
卻	ʨʰiɑʔ44	ʨʰyɔʔ44		ʨʰiᴀʔ44
虐	ȵyɔʔ44	ȵiᴀʔ31	ȵiɑʔ33	ȵiᴀʔ44
瘧瘧疾	ȵiɑʔ44	ȵiᴀʔ31	ȵiɑʔ33	ȵiᴀʔ44
約	iɑʔ12	iᴀʔ44	iɑʔ33	iᴀʔ44
藥	iɑʔ12	iᴀʔ31	iɑʔ24	iᴀʔ44
鑰（鑰匙）	iɑʔ31	iᴀʔ31	iɑʔ31	iᴀʔ44
躍	yɔ25	aɔʔ31		iɑɔ41
光	kuɑŋ33	kuɑŋ55	kuɑŋ33	kuɑŋ51
荒	xuɑŋ33	xuɑŋ55	xuɑŋ33	xuɑŋ51
慌	xuɑŋ33	xuɑŋ55	xuɑŋ33	xuɑŋ51
黃	uɑŋ25	xuɑŋ31	uɑŋ31	vɑŋ25
簧（鎖簧，彈簧）	uɑŋ33	xuɑŋ31	uɑŋ33	vɑŋ25
皇	uɑŋ31	xuɑŋ31	uɑŋ31	vɑŋ25
蝗	uɑŋ25	xuɑŋ31	uɑŋ31	vɑŋ25
汪（一汪水）	uɑŋ33	uɑŋ55	uɑŋ33	vɑŋ51
廣	kuɑŋ55	kuɑŋ55	kuɑŋ55	kuɑŋ33
謊	xuɑŋ55	xuɑŋ41	xuɑŋ55	xuɑŋ33
晃(晃眼)	xuɑŋ55	xuɑŋ434	xuɑŋ31	xuɑŋ25
桄(一桄線，桄子)	kʰuɑŋ424	kʰuɑŋ55	kʰuɑŋ31	kʰuɑŋ41
曠	kʰuɑŋ424	kʰuɑŋ55	kʰuɑŋ31	kʰuɑŋ25
郭	kuəʔ44	kɔʔ44	kuəʔ33	kɔʔ44
廓	kʰuəʔ44	kʰɔʔ44		kʰuʔ44
擴(擴充)	kʰuəʔ44	kʰuəʔ44	kʰuəʔ33	kʰuᴀʔ44
霍	xuəʔ12	xuɔʔ44	xuɔʔ33	xuʔ44
藿(藿香)	xuəʔ44	xu55	xuɔʔ33	xuʔ44
劐(用刀劐開)		xu55	xuɑʔ33	
方	fɑŋ33	fɑŋ55	fɑŋ33	fɑŋ51
肪(脂肪)	fɑŋ33	fɑŋ55	fɑŋ33	fɑŋ25
芳	fɑŋ33	fɑŋ55	fɑŋ33	fɑŋ51
妨(妨害)	fɑŋ31	fɑŋ434	fɑŋ33	fɑŋ25
房	fɑŋ31	fɑŋ31	fɑŋ31	fɑŋ25
防	fɑŋ31	pɑŋ31	fɑŋ31	fɑŋ25
亡	uɑŋ25	uɑŋ325	mɑŋ24	mɑŋ25
芒(麥芒兒，芒果)	mɑŋ33	mɑŋ55	mɑŋ31	mɑŋ51
匡	kʰuɑŋ33	kʰuɑŋ55	kʰuɑŋ33	kʰuɑŋ51
筐	kʰuɑŋ33	kʰuɑŋ55	kʰuɑŋ33	kʰuɑŋ51
眶(眼眶)	kʰuɑŋ33	kʰuɑŋ55	kʰuɑŋ33	kʰuɑŋ51
狂	kʰuɑŋ25	kuɑŋ31	kʰuɑŋ33	kʰuɑŋ25
王	uɑŋ25	uɑŋ31	vɑŋ24	vɑŋ25
仿（仿效）	fɑŋ55	fɑŋ434	fɑŋ24	fɑŋ25
紡	fɑŋ31	fɑŋ434	fɑŋ31	fɑŋ25
仿（相似）	fɑŋ55	fɑŋ434	fɑŋ55	fɑŋ33
彷（~彿）	fɑŋ31	fɑŋ434		fɑŋ33
網	mɑŋ25	mɑŋ325	mɑŋ24	mɑŋ25
枉	uɑŋ55	uɑŋ434	vɑŋ55	vɑŋ51
往	uɑŋ25	uaŋ434	mɑŋ55	uɑŋ33
放	fɑŋ424	fɑŋ434	fɑŋ31	fɑŋ41
訪	fɑŋ424	fɑŋ41	fɑŋ31	fɑŋ25
忘	mɑŋ31	mɑŋ434	mɑŋ31	mɑŋ41
妄	uɑŋ31	uɑŋ41	uɑŋ31	uɑŋ41
望	mɑŋ31	mɑŋ55	mɑŋ31	vɑŋ41
逛	kuɑŋ424	kuɑŋ434	kuɑŋ31	kuɑŋ25
況	kʰuɑŋ424	xuɑŋ434	kʰuɑŋ31	kʰuɑŋ25
旺（火旺，興旺）	uɑŋ55	yɑŋ434火旺、uɑŋ41興旺	yɑŋ31火旺、vɑŋ31興旺	uɑŋ41
縛	fɔʔ12	fu434		fɔʔ44
邦	pɑŋ33	pɑŋ55	pɑŋ33	pɑŋ51
龐	pʰɑŋ25	pɑŋ31	pʰɑŋ24	pʰɑŋ25
樁	ʦɑŋ33	ʨyɑŋ55	ʨyɑŋ33	ʨyɑŋ51
窗	ʦʰɑŋ33	ʨʰyɑŋ55	ʨʰyɑŋ33	ʨʰyɑŋ25
雙	ɕyɑŋ33	ɕyɑŋ55	ɕyɑŋ33	ɕyɑŋ51
江	kɑŋ33	kɑŋ55	kɑŋ33	kɑŋ51
扛	kɑŋ25	kɑŋ55	kʰɑŋ31	kɑŋ51
豇（豇豆）	kɑŋ33	kɑŋ55	kɑŋ33	kɑŋ51
腔	ʨʰiɑŋ33	ʨʰiɑŋ55	ʨʰiɑŋ33	ʨʰiæ51
夯（打夯）	xɑŋ33	xɑŋ55	xɑŋ33	xɑŋ51
降（降服,投降）	ɕiæ25	xɑŋ31	ɕiæ33	ɕiæ25
綁	pɑŋ55	pɑŋ41	pɑŋ55	pɑŋ33
棒	pɑŋ25	pɑŋ31	pɑŋ31	pɑŋ51
蚌	pɑŋ31	pɑŋ31	pɑŋ31	pɑŋ51
攮（用刀子攮）	nɑŋ25	nɑŋ55	nɑŋ24	nɑŋ25
講	kɑŋ55	kɑŋ41	kɑŋ55	kɑŋ33
港（港口）	kɑŋ55	kɑŋ55	kɑŋ55	kɑŋ51
耩（耩地）	kɑŋ55	kɑŋ55		kɑŋ51
項	ɕiæ31	xɑŋ325	xɑŋ31	xɑŋ51
胖	pʰɑŋ424	pɑŋ434	pʰɑŋ31	pʰɑŋ51
撞	ʦɑŋ31	ʨyɑŋ325	ʨyɑŋ31	ʨyɑŋ41
雙（雙生）	ɕyɑŋ33	ɕyɑŋ55	ɕyɑŋ33	ɕyɑŋ41
降（下降）	kɑŋ31	ʨiɑŋ434	kɑŋ31白讀、ʨiæ31文讀	kɑŋ41
虹（彩虹,單用）	∅oŋ25	xoŋ31	xoŋ24	xoŋ25
巷	xɑŋ31	xɑŋ31	xɑŋ31	xɑŋ41
剝	pɔʔ44	pɔʔ44	pɔʔ33	puʔ44
駁	pɔʔ44	pɔʔ44	pɔʔ24	puʔ44
樸（樸素）	pʰɔʔ44	pʰɔʔ44	pʰɔʔ33	pʰɔʔ44
樸	pʰiɑɔ15	piaɔ31	pʰiɑɔ24	piaɔ41
雹	pɔʔ44	paɔ31	pɔʔ33	puʔ44
桌		ʦɔʔ44		ʦɔʔ44
卓	ʦɔʔ44	ʦɔʔ44	ʦɔʔ33	ʦɔʔ44
琢	ʦɔʔ44	ʦɔʔ31	ʦɔʔ24	ʦɔʔ44
啄	ʦɔʔ44	ʦɔʔ31	sɔʔ33	ʦɔʔ44
戳	ʦʰɔʔ44	ʦʰɔʔ44	ʦʰɔʔ33	ʦʰɔʔ44
濁	ʦɔʔ12	ʦɔʔ31	ʦɔʔ33	ʦɔʔ44
捉	ʦɔʔ44	ʦɔʔ44	ʦɔʔ33	ʦɔʔ44
鐲(鐲子)	ʦɔʔ31	ʦɔʔ31	ʨyɛʔ33	ʦɔʔ44
覺(知覺)	ʨiɑʔ44	ʨiᴀʔ44	ʨiɑʔ33	ʨiᴀʔ44
角	kɔʔ44	kɔʔ44	kɔʔ33	kuʔ44
餃(餃子)	ʨiɔ31	ʨiaɔ434	ʨiɑɔ31	ʨiɑɔ41
確	ʨʰiɑʔ44	ʨʰyɔʔ44	ʨʰiɑʔ33	ʨʰiᴀʔ44
殼	kʰɔʔ44	kʰuɔʔ44	kʰɔʔ33	kʰuʔ44
嶽(五嶽)	yɔʔ12	ŋɔʔ31	ɔʔ33	iᴀʔ44
嶽(岳父)	yɔʔ12	yɔʔ31	ɔʔ33	iᴀʔ44
樂(音樂)	iɑʔ44	iᴀʔ44	iɑʔ33	iᴀʔ44
學	ɕiɑʔ12	xɔʔ31	xɔʔ24	xuʔ44
握	ɔʔ31	ɔʔ44	ɔʔ33	uʔ44
崩	peŋ33	pɘŋ55	pɔŋ33	poŋ51
朋	peŋ25	pɘŋ31	pəŋ31	poŋ25
登	teŋ33	tɘŋ55	təŋ33	
燈	teŋ33	tɘŋ55	təŋ33	təŋ51
騰	teŋ25	tɘŋ31	təŋ24	tʰəŋ25
謄		tɘŋ31	təŋ31	tʰəŋ25
藤	teŋ25	tɘŋ31	təŋ24	tʰəŋ25
能	neŋ25	nɘŋ55	nəŋ24	nəŋ25
楞	leŋ31	lɘŋ325	ləŋ31	ləŋ51
曾姓	ʦeŋ33	ʦɘŋ55	ʦəŋ33	ʦəŋ51
增	ʦeŋ33	ʦɘŋ55	ʦəŋ33	ʦəŋ51
憎		ʦɘŋ55	ʦəŋ31	ʦəŋ51
曾（曾經）	ʦʰeŋ33	ʦɘŋ31	ʦəŋ31	ʦʰəŋ25
層	ʦeŋ25	sɘŋ31	səŋ24	ʦʰəŋ25
僧	seŋ33	sɘŋ55	səŋ33	ʦəŋ51
恒	xeŋ25	xɘŋ31	xəŋ24	xəŋ25
等	teŋ55	tɘŋ41	təŋ55	təŋ33
肯	kʰeŋ55	kʰɘŋ41	kʰəŋ55	kʰəŋ25
凳	teŋ424	tɘŋ55	təŋ31	təŋ41
鐙（馬鐙，鐙子）		tɘŋ55	təŋ31	təŋ41
鄧	teŋ31	tɘŋ55	təŋ31	təŋ41
蹭（磨蹭）	ʦʰeŋ424	ʦʰɘŋ434	ʦʰəŋ31	
贈	ʦeŋ31	ʦɘŋ434	ʦəŋ31	ʦəŋ41
北	pɔʔ44	pɔʔ44	pɔʔ33	pɔʔ44
墨	mɔʔ44	məʔ31	məʔ31	mɔʔ44
默	mɔʔ44	məʔ31	məʔ31	mɔʔ44
得	təʔ44	təʔ44	təʔ33	təʔ44
德	təʔ44	təʔ44	təʔ33	təʔ44
特	təʔ31	təʔ31	təʔ31	tʰəʔ44
肋	ləʔ31	ləʔ31	ləʔ31	ləʔ44
勒	ləʔ31	ləʔ31	ləʔ33	ləʔ44
則	ʦəʔ44	ʦəʔ44	ʦəʔ33	ʦəʔ44
賊	ʦe15	səʔ31	ʦʰəʔ33	ʦəʔ44
塞	səʔ44	səʔ44	səʔ33	səʔ44
刻（時刻）	kʰəʔ44	kəʔ44	kʰəʔ33	kʰəʔ44
刻（用刀刻）	kʰəʔ44	kəʔ44	kʰəʔ33	kʰəʔ44
克	kʰəʔ44	kəʔ44	kəʔ33	kʰəʔ44
黑	xəʔ44	xəʔ44	xəʔ33	xəʔ44
冰	piŋ33	piɪŋ55	piŋ33	piŋ51
憑	piŋ31	piɪŋ31	pʰiŋ33	pʰiŋ25
陵	liŋ25	liɪŋ55	liŋ24	liŋ25
淩	liŋ31	liɪŋ31	liŋ24	liŋ25
菱	liŋ25	liɪŋ55	liŋ24	liŋ25
征（徵求）	ʦeŋ33	ʦɘŋ55	ʦəŋ33	ʦəŋ51
澄	ʦeŋ31	ʦɘŋ31	təŋ31	ʦəŋ51
懲	ʦʰeŋ25	ʦɘŋ55	ʦəŋ31	
橙	ʦeŋ31	ʦɘŋ31	ʦʰəŋ31	ʦʰəŋ25
蒸	ʦeŋ33	ʦɘŋ55	ʦəŋ33	ʦəŋ51
稱（稱呼）	ʦʰeŋ33	ʦʰɘŋ55	ʦʰəŋ33	ʦʰəŋ51
乘	ʦʰeŋ33	ʦɘŋ31	ʦʰəŋ31	ʦʰəŋ25
繩	seŋ25	sɘŋ31	səŋ31	səŋ25
升	seŋ33	sɘŋ55	səŋ33	səŋ51
勝（勝任）	seŋ31	sɘŋ434	səŋ33	səŋ51
承	ʦʰeŋ25	ʦɘŋ31	ʦʰəŋ24	ʦʰəŋ25
丞	ʦʰeŋ31	ʦɘŋ31	ʦʰəŋ24	ʦʰəŋ25
仍	leŋ25	lɘŋ31	ᴇn24	ᴇn25
凝	ȵiŋ25	ȵiɪŋ325		ȵiŋ25
興（興旺）	ɕiŋ33	ɕiɪŋ55	ɕiŋ33	ɕiŋ51
應（應當,應用）	iŋ33	iɪŋ55	iŋ33	iŋ51
鷹	iŋ33	iɪŋ55	iŋ33	iŋ51
蠅	iŋ33	iɪŋ55	iŋ33	iŋ51
拯（拯救）	ʦeŋ55	ʦɘŋ434	ʦʰəŋ24	ʦəŋ25
瞪（瞪眼）	teŋ424	tɘŋ55	təŋ55	təŋ41
證	ʦeŋ424	ʦɘŋ434	ʦəŋ55	ʦəŋ41
症(證)	ʦeŋ424	ʦɘŋ434	ʦəŋ31	ʦəŋ41
稱(相稱)	ʦʰeŋ424	ʦʰɘŋ434	ʦʰəŋ31	ʦʰəŋ41
秤(一桿秤)	ʦʰeŋ424	ʦʰɘŋ434	ʦʰəŋ24	ʦʰəŋ41
剩	ʦeŋ25	ʦɘŋ325	səŋ31	ʦəŋ41
勝(勝敗)	seŋ31	sɘŋ434	səŋ31	səŋ41
凝(湯凝成凍了)	ȵiŋ25	ȵiɪŋ325		ȵiŋ25
興	ɕiŋ424	ɕiɪŋ55	ɕiŋ31	ɕiŋ41
應(應對,回應)	iŋ424	iɪŋ434	iŋ31	iŋ41
孕	yŋ31	yɲ434	iŋ31	yəŋ41
逼	piəʔ44	piɛʔ44	piɛʔ33	piʔ44
匿	ȵiəʔ44	ȵiɛʔ31		ȵiᴀʔ44
力	liəʔ12	liɛʔ31	liɛʔ33	ȵiᴀʔ44
即	ʨiəʔ44	ʨiɛʔ44	ʨiɛʔ33	ʨiʔ44
鯽	ʨiəʔ44	ʨiɛʔ44	ʨiɛʔ33	ʨiʔ44
息	ɕiəʔ44	ɕiɛʔ44	ɕiɛʔ33	ɕiʔ44
熄	ɕiəʔ44	ɕiɛʔ44	ɕiɛʔ33	ɕiʔ44
媳(息)	ɕiəʔ44	ɕiɛʔ44		ɕiʔ44
直	ʦəʔ44	ʦəʔ31	ʦəʔ33	ʦəʔ44
值(直)	ʦəʔ44	ʦəʔ31	ʦəʔ31	ʦəʔ44
側	ʦʰəʔ44	ʦʰəʔ44	ʦʰəʔ33	ʦʰəʔ44
測	ʦʰəʔ44	ʦʰəʔ44	ʦʰəʔ33	ʦʰəʔ44
色	səʔ44	səʔ44	səʔ33	səʔ44
嗇	səʔ44	səʔ44	səʔ33	səʔ44
織	ʦəʔ44	ʦəʔ44	ʦəʔ33	ʦəʔ44
職	ʦəʔ44	ʦəʔ44	ʦəʔ33	ʦəʔ44
食	səʔ44	səʔ31	səʔ33	səʔ44
蝕	səʔ44	səʔ31	səʔ33	səʔ44
識	səʔ44	səʔ44	səʔ33	səʔ44
式	səʔ44	səʔ44	səʔ33	səʔ44
飾	səʔ44	səʔ44	səʔ33	səʔ44
殖	ʦəʔ44	ʦəʔ31	ʦəʔ33	ʦəʔ44
植	ʦəʔ44	ʦəʔ31	ʦəʔ33	ʦəʔ44
極	ʨiɛʔ44	ʨiɛʔ31	ʨiɛʔ24	ʨiʔ44
憶	ɿ35	ɿ434	ɿ24	ɿ213
億	ɿ35	ɿ434	ɿ24	ɿ213
抑	ɿ22	iᴀʔ44		niʔ44
翼	ɿ31	iɛʔ31	iɛʔ31	iʔ44
弘	xɔŋ25	xoŋ31	xɔŋ24	xoŋ25
國	kuəʔ44	kuəʔ44	kuəʔ33	kuɔʔ44
或	xuəʔ44	xuəʔ31	xuəʔ33	xuəʔ44
惑	xuəʔ44	uəʔ31	xuəʔ33	xuʔ44
域	yɔʔ31	yɔʔ31		yəʔ44
烹	pʰeŋ33	pʰɘŋ55	pʰəŋ33	pʰoŋ51
彭	peŋ25	pɘŋ31	pʰəŋ31	pʰoŋ25
膨(膨脹)	peŋ25	pɘŋ31	pʰəŋ24	pʰoŋ25
盲	mɑŋ31	mɑŋ325	mɑŋ24	mɑŋ25
虻(牛虻)	mɑŋ33	mɑŋ55	mɑŋ24	mɑŋ25
撐	ʦʰeŋ33	ʦʰɘŋ55	ʦʰəŋ33	ʦʰəŋ51
澄	ʦʰeŋ25	ʦɘŋ31	təŋ31	ʦʰəŋ51
生	seŋ33	sɘŋ55	səŋ33	səŋ51
牲	seŋ33	sɘŋ55	səŋ33	səŋ51
笙	seŋ33	sɘŋ55	səŋ33	səŋ51
甥	seŋ33	sɘŋ55	səŋ31	səŋ51
更（更換,五更)	keŋ33	kɘŋ55	kəŋ33	kəŋ51
粳（粳米，粳稻)	keŋ33	kɘŋ41	kəŋ33	kəŋ33
庚	keŋ33	kɘŋ55	kəŋ33	kəŋ51
羹	keŋ33	kɘŋ55	kəŋ33	kəŋ51
坑	kʰeŋ33	kʰɘŋ55	kʰəŋ33	kʰəŋ51
亨	xeŋ33	xɘŋ55	xɑŋ33	xəŋ51
行（行為）	ɕiŋ31	ɕiɪŋ31	ɕiŋ31	ɕiŋ25
衡	xeŋ25	xɘŋ31	xəŋ31	xəŋ25
猛	meŋ55	moŋ325	məŋ24	moŋ25
打	tɑ55	tᴀ41	tɑ55	tᴀ33
冷	leŋ25	lɘŋ325	ləŋ24	ləŋ25
省（省長）	seŋ55	sɘŋ41	səŋ55	ɕyəŋ33
省（節省）	seŋ55	sɘŋ41	səŋ55	ɕyəŋ33
埂（田埂）	keŋ55	kɘŋ55	kəŋ55	kəŋ33
梗（埂子,莖）	keŋ55		kəŋ55	kəŋ33
杏	ɕiŋ31	xɑŋ434	xəŋ31	ɕiŋ51
孟	moŋ55	moŋ434	mɔŋ31	moŋ41
撐（椅子撐兒）	ʦʰeŋ25	ʦʰɘŋ55		ʦʰəŋ41
更（更加）	keŋ424	kɘŋ434	kəŋ31	kəŋ25
硬	ŋeŋ31	ŋɘŋ434	ŋəŋ31	ŋəŋ41
行（品行）	ɕiŋ31	ɕiɪŋ325	ɕɪŋ24	ɕiŋ25
百	pəʔ44	pəʔ44	pəʔ33	pɔʔ44
柏	pəʔ44	pəʔ44	pəʔ33	pɔʔ44
伯	pəʔ44	pəʔ44	pəʔ33	pɔʔ44
迫	pʰəʔ44	pʰəʔ44	pʰəʔ33	pʰɔʔ44
拍	pʰəʔ44	pʰɔʔ44	pʰəʔ33	pʰɔʔ44
魄	pʰəʔ44	pʰəʔ44	pʰəʔ33	pʰɔʔ44
白	pəʔ12	pəʔ31	pəʔ24	pɔʔ44
陌(陌生）	mɔʔ31	mɔʔ31	mɔʔ31	mɔʔ44
拆(開）	ʦʰəʔ44	ʦʰəʔ44	ʦʰəʔ33	ʦʰəʔ44
㿭(皴）	ʦʰəʔ44	ʦʰəʔ44	ʦʰəʔ33	ʦʰəʔ44
澤	ʦəʔ44	ʦəʔ44	ʦəʔ33	ʦəʔ44
擇（擇菜,選擇）	ʦəʔ44	ʦəʔ44	ʦəʔ33	ʦəʔ44
窄		ʦᴀ41		xᴀʔ44
格	kəʔ44	kəʔ44	kəʔ33	kəʔ44
客	kʰəʔ44	kʰəʔ44	kʰəʔ33	kʰəʔ44
額	ŋəʔ44	ŋəʔ31	ŋəʔ33	ŋəʔ44
赫	xəʔ44	xəʔ44	xəʔ33	xəʔ44
嚇（恐嚇）	xəʔ44	xəʔ44	xəʔ33	xəʔ44
浜（一條浜）	pɑŋ33	pɑŋ55	pɑŋ33	pɑŋ51
棚	poŋ25	poŋ31	pɔŋ24	poŋ25
萌(～生，～芽)	moŋ31	moŋ31	mɔŋ24	moŋ25
橙(柳丁)	ʦʰeŋ25	ʦɘŋ31	ʦʰəŋ31	ʦʰəŋ25
爭	ʦeŋ33	ʦɘŋ55	ʦəŋ33	ʦəŋ51
箏	ʦeŋ33	ʦɘŋ55	ʦəŋ33	ʦəŋ51
睜	ʦeŋ33	ʦɘŋ55	ʦəŋ33	ʦəŋ51
耕	keŋ33	kɘŋ55	kəŋ33	kəŋ51
莖	ʨiŋ33	ʨiɪŋ55	ʨiŋ33	ʨiŋ51
鶯	iŋ33	iɪŋ55	iŋ33	iŋ51
鸚(鸚鵡,鸚哥)	iŋ33	iɪŋ55	iŋ33	iŋ51
櫻(櫻桃)	iŋ33	iɪŋ55	iŋ33	iŋ51
蚌		pɑŋ31	pɑŋ31	pɑŋ51
耿	keŋ55	kɘŋ41	kəŋ24	kəŋ25
幸	ɕiŋ31	ɕiɪŋ434	ɕiŋ31	ɕiŋ51
迸(迸裂)	poŋ31	pɘŋ55		poŋ25
麥	məʔ12	məʔ31	məʔ24	mɔʔ44
