"字頭"	"聲紐"	"呼"	"等"	"韻部"	"聲調"	"組"	"攝"	"聲母"	"韻母"	"聲調"	"備註"		"部首"	"單字筆畫"	"部首外筆畫"	"注音"	"解釋"	
"邊"	"幫"	"開"	"四"	"先"	"平"	"幫"	"山"	"bb"	"in"	1		1	"辵"	"19"	"15"	"ㄅㄧㄢ"	"(1)物體的周沿。如：「路邊」、「桌邊」、「岸邊」、「床邊」、「邊緣」。(2)兩國或兩地區之間的交界處或接近交界處。如：「邊防」、「邊界」、「守邊」、「墾邊」。(3)盡頭。如：「無邊無際」、「苦海無邊，回頭是岸。」、「遠在天邊，近在眼前。」(4)表示方位的所在。如：「北邊」、「左邊」、「旁邊」、「外邊」。(5)衣、物邊緣的裝飾。如：「滾邊」、「花邊」、「鏡邊」。(6)一面。如：「邊走邊吃」、「邊做邊學」、「邊吃飯邊看電視」。(7)頭緒、事物的條理。如：「儘管他說了半天，我還是摸不著邊兒。」(8)幾何學中夾成角或構成多角形的線段。如：「等邊三角形」。(9)量詞。用於計算物體邊側的單位。如：「三邊形」、「五邊形」。
"	
"扁"	"幫"	"開"	"四"	"先"	"上"	"幫"	"山"	"bb"	"en"	2	"白讀"	1						
"扁"	"幫"	"開"	"四"	"先"	"上"	"幫"	"山"	"bb"	"in"	2		1	"戶"	"09	"	"05	"	"ㄅㄧㄢˇ
ㄆㄧㄢ"	"1.(1)寬薄、平坦的樣子。如：「扁平」、「壓扁」。(2)輕視。如：「看扁」。2.小。如：「一葉扁舟」。_x000D_
"	
"匾"	"幫"	"開"	"四"	"先"	"上"	"幫"	"山"	"bb"	"en"	2	"白讀"	1						
"匾"	"幫"	"開"	"四"	"先"	"上"	"幫"	"山"	"bb"	"in"	2		1	"匸"	"11"	"09	"	"ㄅㄧㄢˇ"	"上面題有文字的長方形木板，通常掛在門上或牆上等。如：「橫匾」、「木匾」、「匾額」。
"	
"貶"	"幫"	"開"	"三"	"鹽B"	"上"	"幫"	"咸"	"bb"	"en"	2	"白讀"	1						
"貶"	"幫"	"開"	"三"	"鹽B"	"上"	"幫"	"咸"	"bb"	"in"	2		1	"貝"	"12"	"05	"	"ㄅㄧㄢˇ"	"(1)對人的言行給予不好的批評。與「褒」相對。如：「褒貶」。(2)降低、減少。如：「貶值」、「貶抑」、「自貶身價」。(3)官員降級任用。如：「貶官」、「貶職」。_x000D_
"	
"變"	"幫"	"開"	"三"	"仙B"	"去"	"幫"	"山"	"bb"	"in"	3		1	"言"	"23"	"16"	"ㄅㄧㄢˋ"	"(1)更改。如：「變化」、「改變」、「演變」、「千變萬化」、「一成不變」。(2)突發的事件。如：「兵變」、「九一八事變」。(3)臨機應付的方法。如：「機變」、「通權達變」。(4)變動的、變異的。如：「變數」、「變態」。_x000D_
"	
"彪"	"幫"	"開"	"三"	"幽"	"平"	"幫"	"流"	"bb"	"iu"	1		1	"虍"	"11"	"05	"	"ㄅㄧㄠ"	"(1)健壯如虎。如：「彪形大漢」。(2)老虎身上的斑紋。(3)老虎。(4)文采燦爛的樣子。如：「功業彪炳」。_x000D_
"	
"標"	"幫"	"開"	"三"	"宵A"	"平"	"幫"	"效"	"bb"	"iu"	1		1	"木"	"15"	"11"	"ㄅㄧㄠ"	"(1)樹木的末端。如：「松標」。(2)末尾，非根本的事物。如：「治標不治本」。(3)記號。如：「商標」、「標籤」、「音標」、「路標」、「浮標」。(4)表明。如：「標示」、「標明」。(5)樹立。如：「標榜」、「標舉」、「標新立異」。(6)用比價方式發包工程或買賣貨品的手續過程。如：「投標」、「招標」、「開標」(7)頒給競賽中優勝者的獎勵品。如：「錦標」、「奪標」。(8)出標子比價競取。如：「標會」、「標購」。_x000D_
"	
"飆"	"幫"	"開"	"三"	"宵A"	"平"	"幫"	"效"	"bb"	"iu"	1		1	"風"	"21"	"12"	"ㄅㄧㄠ"	"(1)暴風。如：「狂飆」、「飆風」。(2)像暴風一樣疾速的。如：「股票飆漲」。(3)激烈的、熱中的從事某件事情。如：「飆車」、「飆舞」。(4)比喻情緒狂烈，如暴風一般。如：「發飆」、「狂飆期」、「狂飆少年」。_x000D_
"	
"鑣"	"幫"	"開"	"三"	"宵B"	"平"	"幫"	"效"	"bb"	"iu"	1			"金"	"23"	"15"	"ㄅㄧㄠ"	"(1)馬口中所含的鐵環。如：「分道揚鑣」。(2)舊時一種用來投擲的金屬暗器。如：「飛鑣」、「毒鑣」。(3)從事護送行旅、財物或保護人身安全的行業。如：「鑣局」、「保鑣」。_x000D_
"	
"表"	"幫"	"開"	"三"	"宵B"	"上"	"幫"	"效"	"bb"	"iu"	2		1	"衣"	"08	"	"03	"	"ㄅㄧㄠˇ"	"(1)事物外在的一面。如：「外表」、「表皮」、「表裡不一」。(2)展露。如：「表現」、「表揚」。(3)說出、傳達。如：「表白」、「表明」、「表達」。(4)模範、榜樣。如：「表率」、「為人師表」。(5)有姻親關係的人。如：「表弟」、「表叔」、「表姊夫」。(6)分格或分項以列記事物的文件。如：「報表」、「課表」、「統計表」。_x000D_
"	
"彬"	"幫"	"開"	"三"	"真B"	"平"	"幫"	"臻"	"bb"	"an"	1		1	"彡"	"11"	"08	"	"ㄅㄧㄣ"	"彬彬：形容舉止優雅、才德兼備的樣子。如：「文質彬彬」、「彬彬君子」、「彬彬有禮」。_x000D_
"	
"賓"	"幫"	"開"	"三"	"真A"	"平"	"幫"	"臻"	"bb"	"an"	1		1	"貝"	"14"	"07	"	"ㄅㄧㄣ"	"客人。如：「賓客」、「貴賓」、「來賓」、「喧賓奪主」、「賓至如歸」。_x000D_
"	
"濱"	"幫"	"開"	"三"	"真A"	"平"	"幫"	"臻"	"bb"	"an"	1		1	"水"	"17"	"14"	"ㄅㄧㄣ"	"(1)水邊。如：「河濱」、「海濱」、「她喜歡在湖濱散步。」(2)靠近。如：「濱臨」、「濱海公路」。_x000D_
"	
"檳"	"幫"	"開"	"三"	"真A"	"平"	"幫"	"臻"	"bb"	"an"	1		1	"木"	"18"	"14"	"ㄅㄧㄣ"	"檳榔：常綠喬木，葉為羽狀複葉，果實長橢圓形，味澀而微甘，多用刀剖為兩半，加入石灰、老藤等供咀嚼。_x000D_
"	
"瀕"	"幫"	"開"	"三"	"真A"	"平"	"幫"	"臻"	"bb"	"an"	1		1	"水"	"19"	"16"	"ㄅㄧㄣ"	"(1)水邊。如：「河瀕」、「江瀕」。(2)臨近、迫近。如：「瀕臨」、「瀕危」。_x000D_
"	
"鬢"	"幫"	"開"	"三"	"真A"	"去"	"幫"	"臻"	"bb"	"an"	3		1	"髟"	"24"	"14"	"ㄅㄧㄣˋ"	"兩頰上靠近耳旁的頭髮。如：「鬢毛」、「鬢腳」、「鬢邊」。_x000D_
"	
"冰"	"幫"	"開"	"三"	"蒸"	"平"	"幫"	"曾"	"bb"	"ing"	1		1	"冫"	"06	"	"04	"	"ㄅㄧㄥ"	"(1)水在攝氏零度或零度以下所凝結成的固體。如：「冰塊」、「遇冷結冰」。(2)利用冰塊或冰箱降低物體的溫度。如：「冰凍」、「把汽水冰一下。」(3)冷的。如：「冰涼」、「冰冷」、「這些飲料是冰的。」(4)潔白、白嫩。如：「冰肌玉膚」。(5)冰狀的結晶體。如：「冰糖」、「薄荷冰」。_x000D_
"	
"兵"	"幫"	"開"	"三"	"庚"	"平"	"幫"	"梗"	"bb"	"ing"	1		1	"八"	"07	"	"05	"	"ㄅㄧㄥ"	"(1)武器。如：「兵器」、「兵械」、「短兵相接」。(2)戰士。如：「步兵」、「兵卒」、「兵來將擋」、「單兵攻擊」。(3)軍隊。如：「揮兵進攻」、「兵強馬壯」、「鳴金收兵」。(4)與軍事或戰爭有關的。如：「兵法」、「兵略」、「兵不厭詐」、「紙上談兵」。_x000D_
"	
"丙"	"幫"	"開"	"三"	"庚"	"上"	"幫"	"梗"	"bb"	"ing"	2		1	"一"	"05	"	"04	"	"ㄅㄧㄥˇ"	"(1)天干的第三位。(2)次序、等級第三的。如：「丙班」、「丙等體位」。_x000D_
"	
"秉"	"幫"	"開"	"三"	"庚"	"上"	"幫"	"梗"	"bb"	"ing"	2			"禾"	"08	"	"03	"	"ㄅㄧㄥˇ"	"(1)用手執握。如：「秉燭」、「秉筆直書」。(2)主持、掌握。如：「秉政」、「秉國」、「秉公處理」。(3)古代計算容量的單位。一秉等於十六斛。_x000D_
"	
"柄"	"幫"	"開"	"三"	"庚"	"去"	"幫"	"梗"	"bb"	"ing"	3		0	"木"	"09	"	"05	"	"ㄅㄧㄥˇ"	"(1)器物上可執握的把手。如：「斧柄」、「刀柄」、「傘柄」。(2)植物花葉和枝莖相連的部分。如：「花柄」、「葉柄」。(3)言語或行為可被人當作攻擊、要挾的事情，或取笑的話題。如：「把柄」、「話柄」、「笑柄」。_x000D_
"	
"炳"	"幫"	"開"	"三"	"庚"	"上"	"幫"	"梗"	"bb"	"ing"	2			"火"	"09	"	"05	"	"ㄅㄧㄥˇ"	"顯著、光明。如：「功業彪炳」。_x000D_
"	
"稟"	"幫"	"開"	"三"	"侵B"	"上"	"幫"	"深"	"bb"	"an"	2			"禾"	"13"	"08	"	"ㄅㄧㄥˇ"	"(1)下對上的陳述。如：「稟告」、「稟報」、「稟明原委」。(2)承受。如：「稟承」、「稟命」、「稟受」。(3)天賦的資質。如：「天生異稟」。_x000D_
"	
"餅"	"幫"	"開"	"三"	"清A"	"上"	"幫"	"梗"	"bb"	"ing"	2		1	"食"	"14"	"06	"	"ㄅㄧㄥˇ"	"(1)麵粉經烘烤或油煎後所做成的扁圓狀食品。如：「餅乾」、「月餅」、「燒餅」、「蔥油餅」。(2)形狀像餅的東西。如：「柿餅」、「鐵餅」、「粉餅」。_x000D_
"	
"并"	"幫"	"開"	"三"	"清A"	"平"	"幫"	"梗"	"bb"	"ing"	3		1	"干"	"06	"	"03	"	"ㄅㄧㄥˋ"	"(1)一齊、同時。如：「并列」、「兼容并蓄」。(2)用於否定詞前加強否定語氣，帶有反駁的意味。通「並」。如：「我并不認為這樣做是對的。」_x000D_
"	
"併"	"幫"	"開"	"三"	"清A"	"上"	"幫"	"梗"	"bb"	"ing"	3		1	"人"	"08	"	"06	"	"ㄅㄧㄥˋ"	"合在一起。如：「合併」、「併購」、「併攏」、「併發症」、「併案處理」。_x000D_
"	
"摒"	"幫"	"開"	"三"	"清A"	"去"	"幫"	"梗"	"bb"	"ing"	3			"手"	"12"	"09	"	"ㄅㄧㄥˋ"	"排除。如：「摒棄」、「摒斥」、「摒除」。_x000D_
"	
"波"	"幫"	"開"	"一"	"歌"	"平"	"幫"	"果"	"bb"	"eo"	1		1	"水"	"08	"	"05	"	"ㄅㄛ"	"(1)水面因震動所產生的起伏現象。如：「波浪」、「水波」、「波濤」、「平靜無波」。(2)物理學指由彈性體或流體振動所產生的現象，叫做波。如：「聲波」、「光波」、「音波」、「電波」。(3)比喻目光。如：「眼波」、「秋波」。(4)波及：影響。如：「銀行這次利率的調整，波及了整個股市的成交值。」(5)量詞。用於計算接續情勢的單位。如：「第三波」、「一波又一波的攻勢」。_x000D_
"	
"缽"	"幫"	"合"	"一"	"桓"	"入"	"幫"	"山"	"bb"	"ut"	7		1	"缶"	"11"	"05	"	"ㄅㄛ"	"(1)泛稱可盛酒、裝東西或洗滌東西的圓形金屬或陶瓷器具。如：「酒缽」、「飯缽」、「陶缽」、「花缽」。(2)指出家人盛飯的用具。如：「沿門托缽」。
"	
"播"	"幫"	"開"	"一"	"歌"	"去"	"幫"	"果"	"bb"	"eo"	3		1	"手"	"15"	"12"	"ㄅㄛˋ"	"(1)散布。如：「播種」、「播散」、「傳播」。(2)聲音的傳輸。如：「廣播」、「播音」、「播報」。(3)流離、遷移。如：「播遷來臺」。_x000D_
"	
"撥"	"幫"	"開"	"一"	"寒"	"入"	"幫"	"山"	"bb"	"ut"	7		1	"手"	"15"	"12"	"ㄅㄛ"	"(1)挑動、推開。如：「撥弄」、「撥算盤」、「撥雲見日」。(2)分一部分出來。如：「撥款」、「分撥」。(3)挑弄、搧動。如：「挑撥」、「撥弄是非」。(4)量詞。用於計算成批或分組人群的單位。如：「分成兩撥人進行工作。」、「有一撥人馬剛打這裡經過。」_x000D_
"	
"魄"	"透"	"開"	"一"	"唐"	"入"	"端"	"宕"	"p"	"aa"	2			"鬼"	"15"	"05	"	"ㄆㄛˋ
ㄊㄨㄛˋ"	"1.(1)人的精氣。如：「魂魄」、「失魂落魄」、「驚心動魄」。(2)精神。如：「氣魄」、「體魄」、「魄力」。2.落魄：窮困潦倒不得志。如：「落魄江湖」。_x000D_
"	
"博"	"幫"	"開"	"一"	"唐"	"入"	"幫"	"宕"	"bb"	"ok"	8		1	"十"	"12"	"10"	"ㄅㄛˊ"	"(1)形容寬廣、眾多。如：「廣博」、「博愛」、「地大物博」。(2)比喻見識廣大。如：「淵博」、「博聞」、「博古通今」、「博學多才」。(3)換、獲取。如：「博取同情」、「博君一笑」、「博得美人心」。(4)以財物作注爭輸贏。如：「賭博」、「博局」。(5)博士：學位的最高一級，在碩士之上。_x000D_
"	
"搏"	"幫"	"合"	"三"	"虞"	"去"	"幫"	"遇"	"bb"	"ok"	8		1	"手"	"13"	"10"	"ㄅㄛˊ"	"(1)相互撲打。如：「搏鬥」、「搏擊」、「肉搏」、「相搏」。(2)跳動。如：「脈搏」。_x000D_
"	
"駁"	"幫"	"開"	"二"	"江"	"入"	"幫"	"江"	"bb"	"ok"	8			"馬"	"14"	"04	"	"ㄅㄛˊ"	"(1)本指馬的毛色不純，後引申為顏色雜亂或事務紛雜。如：「斑駁」、「駁雜」。(2)爭辯事理。如：「反駁」、「辯駁」、「駁斥」。(3)轉載貨物。如：「駁運」、「駁船」、「接駁公車」。_x000D_
"	
"跛"	"幫"	"開"	"一"	"歌"	"上"	"幫"	"果"	"bb"	"ai"	1			"足"	"12"	"05	"	"ㄅㄛˇ"	"腳有殘疾，走路時身體歪歪斜斜，不能平衡。如：「跛腳」、「跛子」。_x000D_
"	
"跛"	"幫"	"開"	"二"	"歌"	"上"	"幫"	"果"	"bb"	"eo"	2								
"簸"	"幫"	"開"	"一"	"歌"	"上"	"幫"	"果"	"bb"	"eo"	3			"竹"	"19"	"13"	"ㄅㄛˇ
ㄅㄛˋ"	"1.(1)搖動畚箕，使米上下起落，以除去米粒的外皮。如：「簸揚」。(2)搖動。如：「簸動」、「顛簸」。2.簸箕：A>用來去除穀類外皮的箕形器具。B>用來盛裝垃圾的器具。_x000D_
"	
"卜"	"幫"	"開"	"一"	"東"	"入"	"幫"	"通"	"bb"	"uk"	7			"卜"	"02	"	"00	"	"ㄅㄨˇ"	"(1)古人灼燒龜甲或牛骨，觀看裂紋來推斷事情吉凶。如：「占卜」、「龜卜」。(2)泛指一般預測吉凶的方法。如：「卜卦」、「求神問卜」。(3)預料、預測。如：「生死未卜」。(4)選擇。如：「卜居」、「卜鄰」。_x000D_
"	
"幕"	"明"	"開"	"一"	"唐"	"入"	"幫"	"宕"	"m"	"u"	6	"文讀"							
"不"	"幫"	"合"	"三"	"尤"	"平"	"幫"	"流"	"bb"	"at"	7			"一"	"04	"	"03	"	"ㄅㄨˋ"	"(1)否定詞。有不是、未、非等義。如：「不能」、「不法」、「不久」、「不容易」、「不好吃」、「拿不動」。(2)用於句末，表示疑問的語氣。如：「你明天陪我去不？」(3)用來加強語氣，往往與「好」字連用。如：「這場戲好不精彩！」（「不」字在去聲字之前，變讀為陽平。)
"	
"不"								"f"	"au"	2	"同「否」"							
"哪"	"泥"	"開"	"一"	"歌"	"上"	"端"	"果"	"l"	"u"	6	"訓讀"	1						
"富"	"幫"	"合"	"三"	"尤"	"去"	"幫"	"流"	"f"	"u"	3			"宀"	"12"	"09	"	"ㄈㄨˋ"	"(1)豐厚、充足。如：「富足」、「豐富」、「富裕」、「資源富饒」。(2)財產。如：「財富」。(3)有錢的、財產多的。如：「富人」、「富翁」。(4)充滿。如：「富有同情心」、「年輕人多富冒險精神。」(5)華麗。如：「富麗堂皇」。(6)使豐足。如：「富國強兵」。_x000D_
"	
"憊"	"並"	"開"	"二"	"皆"	"去"	"幫"	"蟹"	"b"	"i"	6			"心"	"16"	"12"	"ㄅㄟˋ"	"疲困。如：「憊色」、「疲憊不堪」。_x000D_
"	
"陛"	"並"	"開"	"四"	"齊"	"上"	"幫"	"蟹"	"b"	"i"	5			"阜"	"10"	"07	"	"ㄅㄧˋ"	"(1)宮殿中的臺階、階梯。如：「丹陛」、「金陛」。(2)陛下：對國王、皇帝的尊稱。_x000D_
"	
"迫"	"幫"	"開"	"二"	"庚"	"入"	"幫"	"梗"	"bb"	"ik"	7			"辵"	"09	"	"05	"	"ㄆㄛˋ"	"(1)硬逼、用權勢使人做事。如：「逼迫」、「壓迫」、「迫害」。(2)緊急、急切。如：「迫切」、「迫不及待」、「從容不迫」。(3)接近。如：「迫近」。_x000D_
"	
"發"	"幫"	"合"	"三"	"元"	"入"	"幫"	"山"	"f"	"ot"	8			"癶"	"12"	"07	"	"ㄈㄚ"	"(1)送出、付出。如：「發放」、「收發」、「發行」、「發給」、「發信」、「發電報」、「發薪水」。(2)生長、產生。如：「發電」、「發芽」、「發音」、「味道發酸」。(3)射擊。如：「發射」、「發箭」、「發炮」、「彈無虛發」。(4)起程。如：「出發」、「朝發夕至」。(5)開始、引起。如：「發動」、「發起」、「發端」。(6)宣布、散布。如：「發布」、「發言」、「發表」、「發散」、「發放」。(7)開展。如：「發展」、「發揮」、「發達」、「發揚光大」。(8)使出現。如：「發現」、「發掘」。(9)量詞：A>計算槍、炮、子彈等數量的單位。如：「手槍裡還剩下四發子彈。」B>計算槍、炮、子彈發射數量的單位。如：「射炮十二發」。_x000D_
"	
"敝"	"並"	"開"	"三"	"祭A"	"去"	"幫"	"蟹"	"b"	"i"	6			"攴"	"11"	"07	"	"ㄅㄧˋ"	"(1)敗壞的、破舊的。如：「敝衣」。(2)謙稱自己的。如：「敝校」、「敝國」、「敝姓」。_x000D_
"	
"法"	"幫"	"合"	"三"	"凡"	"入"	"幫"	"咸"	"f"	"ot"	8			"水"	"08	"	"05	"	"ㄈㄚˇ
ㄈㄚˊ"	"1.(1)制度、律令。如：「宗法」、「憲法」、「法律」、「法規」、「法外施恩」。(2)方式、途徑。如：「方法」、「辦法」。(3)範式、原則。如：「文法」、「語法」。(4)佛、道等的道理。如：「佛法」、「道法」、「現身說法」。(5)仿效。如：「效法」、「法古今完人」。(6)法國：位於歐洲西部的獨立國家。首都巴黎，居民多信仰天主教，法語為主要語。2.法子：方法。如：「大家一起想想，有沒有什麼法子可以解決這個問題。」_x000D_
"	
"髮"	"幫"	"合"	"三"	"元"	"入"	"幫"	"山"	"f"	"ot"	8			"髟"	"15"	"05	"	"ㄈㄚˇ"	"(1)人類頭上所長的毛。如：「頭髮」、「毛髮」、「白髮」、「毫髮無傷」。(2)像頭髮的。如：「髮菜」。(3)髮指：頭髮豎起來，形容非常憤怒。如：「令人髮指」。_x000D_
"	
"反"	"幫"	"合"	"三"	"元"	"上"	"幫"	"山"	"f"	"on"	2			"又"	"04	"	"02	"	"ㄈㄢˇ"	"(1)相反的。與「正」相對。如：「反面」、「反穿」、「反串」、「擺反了」。(2)翻轉。如：「反敗為勝」、「反守為攻」、「易如反掌」。(3)與原來的不同。如：「反常」、「反而」、「畫虎不成反類犬」。(4)抗議、不贊成。如：「反對」。(5)回、還。如：「反攻」、「反省」、「反璞歸真」。(6)類推。如：「舉一反三」。(7)背叛、背離。如：「造反」、「反叛」。(8)平反：翻案。如：「經過多年的奔走，這場冤獄終於平反了。」(9)反切：古人的注音方法。用兩字標注，把上一個字的聲跟下一個字的韻切合而成一個音。如：「東，德紅反，即是一種反切。」_x000D_
"	
"返"	"幫"	"合"	"三"	"元"	"上"	"幫"	"山"	"f"	"on"	1	"口語"							
"返"	"幫"	"合"	"三"	"元"	"上"	"幫"	"山"	"f"	"on"	2			"辵"	"08	"	"04	"	"ㄈㄢˇ"	"回來、折回。如：「返鄉」、「去而復返」、「返抵國門」、「迴光返照」。_x000D_
"	
"販"	"幫"	"合"	"三"	"元"	"去"	"幫"	"山"	"f"	"on"	3			"貝"	"11"	"04	"	"ㄈㄢˋ"	"(1)賣。如：「販售」、「販賣」、「販魚」。(2)賣東西的貨商。如：「小販」、「菜販」、「攤販」。_x000D_
"	
"販"								"m"	"en"	1	"白讀，指攤販：菜~、果~"							
"放"	"幫"	"合"	"三"	"陽"	"上"	"幫"	"宕"	"f"	"ong"	3			"攴"	"08	"	"04	"	"ㄈㄤˋ"	"(1)由緊張狀態中鬆開。如：「放鬆」、「放心」。(2)解脫。如：「釋放」、「解放」。(3)奔縱無約束。如：「放縱」、「奔放」、「放任」、「豪放」。(4)安置。如：「安放」、「置放」、「存放」、「把書放好」。(5)開。如：「開放」、「百花齊放」、「心花怒放」。(6)擴展。如：「放大」、「放寬」。(7)散發、發出。如：「散放」、「放射」、「放砲」。(8)將牲畜趕到野外吃草。如：「放羊」、「放牛」、「放牧」。(9)攙、加入。如：「再放點糖會更好喝。」、「菜裡多放些香油。」(10)播送。如：「放電影」、「放唱片」、「放錄影帶」。(11)因罪而遭遣逐。如：「放逐」、「流放」。_x000D_
"	
"弊"	"並"	"開"	"三"	"祭A"	"去"	"幫"	"蟹"	"b"	"i"	6			"廾"	"14"	"11"	"ㄅㄧˋ"	"(1)欺詐作假的不法行為。如：「舞弊」、「作弊」。(2)害處、缺點。與「利」相對。如：「弊病」、「弊端」、「利弊相參」、「興利除弊」。_x000D_
"	
