單字	松柏(調類)	松柏(調值)	注释
娥	ŋuɔ4	ŋuɔ²¹	
我	ŋuɔ5	ŋuɔ²¹²	
餓	ŋuɔ6	ŋuɔ⁵²	
臥	ŋuɔ6	ŋuɔ⁵²	
獻	hin3	hin⁴⁴	
唆	suɔ1	suɔ⁴⁵	
娑	suɔ1	suɔ⁴⁵	
莎	suɔ1	suɔ⁴⁵	莎草
梭	suɔ1	suɔ⁴⁵	
瑣	suɔ2	suɔ²¹⁴	
鎖	suɔ2	suɔ²¹⁴	
呵	huɔ1	huɔ⁴⁵	
靴	hɛ1	hɛ⁴⁵	
火	fuɔ2	fuɔ²¹⁴	
貨	fuɔ3	fuɔ⁴⁴	
訶	huɔ1	huɔ⁴⁵	
何	huɔ4	huɔ²¹	
蚵	huɔ4	huɔ²¹	
苛	huɔ1	huɔ⁴⁵	
荷	huɔ4	huɔ²¹	荷花
荷	huɔ4	huɔ²¹	負荷
和	wuɔ4	wuɔ²¹	和諧
和	wuɔ6	wuɔ⁵²	唱和
河	huɔ4	huɔ²¹	
禾	wuɔ4	wuɔ²¹	
禍	wuɔ6	wuɔ⁵²	
賀	huɔ6	huɔ⁵²	
龢			
軻	kʰuɔ1	kʰuɔ⁴⁵	
課	fuɔ3	fuɔ⁴⁴	
蝌	fuɔ1	fuɔ⁴⁵	
稞	kʰuɔ1	kʰuɔ⁴⁵	
科	fuɔ1	fuɔ⁴⁵	
可	huɔ2	huɔ²¹⁴	可以
坷	huɔ1	huɔ⁴⁵	又读hɔ²¹⁴
顆	fuɔ2	fuɔ²¹⁴	
窠			
他	tʰa1	tʰa⁴⁵	
它	tʰa1	tʰa⁴⁵	
妥	tʰuɔ5	tʰuɔ²¹²	
橢	tʰuɔ5	tʰuɔ²¹²	
拖	tʰuɔ1	tʰuɔ⁴⁵	
唾	sui4	sui²¹	
伽			
茄	kʰɛ4	kʰɛ²¹	茄瓜
瘸			
蹉	ʦʰuɔ1	ʦʰuɔ⁴⁵	
磋	ʦʰuɔ1	ʦʰuɔ⁴⁵	
搓	ʦʰuɔ1	ʦʰuɔ⁴⁵	
銼	ʦʰuɔ3	ʦʰuɔ⁴⁴	
莝			
坡	pʰuɔ1	pʰuɔ⁴⁵	
頗	pʰuɔ2	pʰuɔ²¹⁴	
玻	puɔ1	puɔ⁴⁵	
破	pʰuɔ3	pʰuɔ⁴⁴	
叵			
挪	nuɔ4	nuɔ²¹	
那	na5	na²¹²	那個
那	nuɔ4	nuɔ²¹	地名
那			那姓
娜	nuɔ4	nuɔ²¹	婀娜
摩	muɔ1	muɔ⁴⁵	
魔	muɔ1	muɔ⁴⁵	
磨	muɔ6	muɔ⁵²	
磨	muɔ4	muɔ²¹	
麼	muɔ1	muɔ⁴⁵	
囉	luɔ4	luɔ²¹	囉嗦
蘿	luɔ4	luɔ²¹	
羅	luɔ4	luɔ²¹	
儸	luɔ4	luɔ²¹	
騾	luɔ4	luɔ²¹	
籮	luɔ4	luɔ²¹	
鑼	luɔ4	luɔ²¹	
螺	luɔ4	luɔ²¹	
裸	luɔ2	luɔ²¹⁴	
邏	luɔ4	luɔ²¹	
腡			
瘰			
摞	luɔ2	luɔ²¹⁴	
左	ʦuɔ2	ʦuɔ²¹⁴	
挫	ʦʰuɔ3	ʦʰuɔ⁴⁴	
佐	ʦuɔ2	ʦuɔ²¹⁴	
柯	kʰuɔ1	kʰuɔ⁴⁵	
過	kuɔ3	kuɔ⁴⁴	
渦			渦河
哥	kuɔ1	kuɔ⁴⁵	
鍋	wuɔ1	wuɔ⁴⁵	
歌	kuɔ1	kuɔ⁴⁵	
戈	kʰuɔ1	kʰuɔ⁴⁵	
戕			
迦	ka1	ka⁴⁵	
粿	kuɔ2	kuɔ²¹⁴	
裹	kuɔ2	kuɔ²¹⁴	
果	kuɔ2	kuɔ²¹⁴	
個	kuɔ3	kuɔ⁴⁴	
多	tuɔ1	tuɔ⁴⁵	
朵	tuɔ2	tuɔ²¹⁴	
剁	tuɔ6	tuɔ⁵²	
跎	tʰuɔ4	tʰuɔ²¹	
陀	tʰuɔ4	tʰuɔ²¹	
佗	tʰuɔ4	tʰuɔ²¹	
沱	tʰuɔ4	tʰuɔ²¹	
駝	tʰuɔ4	tʰuɔ²¹	
馱	tʰuɔ4	tʰuɔ²¹	
惰	tuɔ6	tuɔ⁵²	
舵	tʰuɔ4	tʰuɔ²¹	
垛	tuɔ6	tuɔ⁵²	
坐	ʦuɔ6	ʦuɔ⁵²	白读ʦʰuɔ²¹²
座	ʦuɔ6	ʦuɔ⁵²	
矬			
婆	pʰuɔ4	pʰuɔ²¹	
爸	pa1	pa⁴⁵	
縛	fuɔk9	fuɔk⁵²	
波	puɔ1	puɔ⁴⁵	
跛	pɐi1	pɐi⁴⁵	
簸	puɔ2	puɔ²¹⁴	
播	puɔ3	puɔ⁴⁴	
嘖			
蚱			
窄	ʦɐk7	ʦɐk⁴	
趟	tʰuɔŋ3	tʰuɔŋ⁴⁴	
嫡	tɪk7	tɪk⁴	
砧			
榮	wɪŋ4	wɪŋ²¹	
嶸	wɪŋ4	wɪŋ²¹	
永	wɪŋ5	wɪŋ²¹²	
詠	wɪŋ6	wɪŋ⁵²	
泳	wɪŋ6	wɪŋ⁵²	
瑩	jɪŋ4	jɪŋ²¹	
啞			啞然而笑
瑛	jɪŋ1	jɪŋ⁴⁵	
英	jɪŋ1	jɪŋ⁴⁵	
影	jɪŋ2	jɪŋ²¹⁴	
額	ŋɐk9	ŋɐk⁵²	
迎	jɪŋ4	jɪŋ²¹	
逆	ŋɪk9	ŋɪk⁵²	
亨	hɐŋ1	hɐŋ⁴⁵	
兄	hɪŋ1	hɪŋ⁴⁵	
赫	hɐk7	hɐk⁴	
硅	kɐi1	kɐi⁴⁵	
行	hɐŋ4	hɐŋ²¹	步行
行	hɐŋ4	hɐŋ²¹	行路
行	hɐŋ4	hɐŋ²¹	品行
衡	hɐŋ4	hɐŋ²¹	
杏	hɐŋ6	hɐŋ⁵²	
坑	hɐŋ1	hɐŋ⁴⁵	
卿	hɪŋ1	hɪŋ⁴⁵	
慶	hɪŋ3	hɪŋ⁴⁴	
喀			
客	hɐk7	hɐk⁴	
隙	kʰɪk7	kʰɪk⁴	
牲	sɐŋ1	sɐŋ⁴⁵	
笙	sɐŋ1	sɐŋ⁴⁵	
猩	sɪŋ1	sɪŋ⁴⁵	
甥	sɐŋ1	sɐŋ⁴⁵	
生	sɐŋ1	sɐŋ⁴⁵	
省	sɐŋ2	sɐŋ²¹⁴	省城
擎	kʰɪŋ4	kʰɪŋ²¹	
鯨	kʰɪŋ4	kʰɪŋ²¹	
競	kɪŋ6	kɪŋ⁵²	
劇	kʰiɛk8	kʰiɛk³	
屐			
儆	kɪŋ3	kɪŋ⁴⁴	
魄	pʰɐk7	pʰɐk⁴	魂魄
珀	pʰɐk7	pʰɐk⁴	
拍	pʰɐk7	pʰɐk⁴	
獰	nɪŋ4	nɪŋ²¹	
檸	nɪŋ4	nɪŋ²¹	
盲	mɐŋ4	mɐŋ²¹	
鳴	mɪŋ4	mɪŋ²¹	
盟	mɐŋ4	mɐŋ²¹	
明	mɪŋ4	mɪŋ²¹	
猛	mɐŋ5	mɐŋ²¹²	
蜢	mɐŋ5	mɐŋ²¹²	
艋			
皿	mɪŋ5	mɪŋ²¹²	
孟	mɐŋ6	mɐŋ⁵²	
命	mɪŋ6	mɪŋ⁵²	
驀	mɐk9	mɐk⁵²	
陌	mɐk9	mɐk⁵²	
佰	pɐk9	pɐk⁵²	
羹	kɐŋ1	kɐŋ⁴⁵	
更	kɐŋ1	kɐŋ⁴⁵	更改
更	kɐŋ1	kɐŋ⁴⁵	三更半夜
更	kɐŋ3	kɐŋ⁴⁴	更加
埂	kɐŋ2	kɐŋ²¹⁴	
庚	kɐŋ1	kɐŋ⁴⁵	
京	kɪŋ1	kɪŋ⁴⁵	
驚	kɪŋ1	kɪŋ⁴⁵	
荊	kɪŋ1	kɪŋ⁴⁵	
哽	kɐŋ2	kɐŋ²¹⁴	
礦	kʊŋ2	kʊŋ²¹⁴	
梗	kɐŋ2	kɐŋ²¹⁴	
境	kɪŋ2	kɪŋ²¹⁴	
警	kɪŋ2	kɪŋ²¹⁴	
憬	kɪŋ2	kɪŋ²¹⁴	
景	kɪŋ2	kɪŋ²¹⁴	
敬	kɪŋ3	kɪŋ⁴⁴	
鏡	kɪŋ3	kɪŋ⁴⁴	
竟	kɪŋ6	kɪŋ⁵²	又读kɪŋ²¹⁴
骼	luɔk8	luɔk³	
粳			
戟	kɪk7	kɪk⁴	
虢			
儆			
柵	ʦʰɐk7	ʦʰɐk⁴	木柵
鐺	ʦʰɐŋ1	ʦʰɐŋ⁴⁵	瓦鐺
鎗	ʦʰiɛŋ1	ʦʰiɛŋ⁴⁵	
崢	ʦɐŋ1	ʦɐŋ⁴⁵	
盯	tɪŋ1	tɪŋ⁴⁵	
澄	ʦʰɪŋ4	ʦʰɪŋ²¹	
宅	ʦɐk9	ʦɐk⁵²	
澤	ʦɐk9	ʦɐk⁵²	
擇	ʦɐk9	ʦɐk⁵²	白读tuɔk⁵²
䂻			
翟	ʦɐk9	ʦɐk⁵²	翟姓
瞠	tʰuɔŋ2	tʰuɔŋ²¹⁴	
坼	ʦʰɐk8	ʦʰɐk³	
牚			
㿭	ʦʰɐk7	ʦʰɐk⁴	
棚	pʰɐŋ4	pʰɐŋ²¹	
榜	puɔŋ2	puɔŋ²¹⁴	
膨	pʰɐŋ4	pʰɐŋ²¹	
澎	pʰɐŋ4	pʰɐŋ²¹	
彭	pʰɐŋ4	pʰɐŋ²¹	
評	pʰɪŋ4	pʰɪŋ²¹	
坪	pʰɪŋ4	pʰɪŋ²¹	
病	pɪŋ6	pɪŋ⁵²	
帛	pɐk9	pɐk⁵²	
白	pɐk9	pɐk⁵²	
舶	pɐk9	pɐk⁵²	
兵	pɪŋ1	pɪŋ⁴⁵	
炳	pɪŋ2	pɪŋ²¹⁴	
秉	pɪŋ2	pɪŋ²¹⁴	
丙	pɪŋ2	pɪŋ²¹⁴	
柄	pɪŋ3	pɪŋ⁴⁴	
柏	pɐk7	pɐk⁴	
伯	pɐk7	pɐk⁴	老伯
百	pɐk7	pɐk⁴	
迫	pɪk7	pɪk⁴	
爭	ʦɐŋ1	ʦɐŋ⁴⁵	
猙	ʦɐŋ1	ʦɐŋ⁴⁵	
箏	ʦɐŋ1	ʦɐŋ⁴⁵	
諍			
責	ʦɐk8	ʦɐk³	
丁	tɪŋ1	tɪŋ⁴⁵	
摘	ʦɐk9	ʦɐk⁵²	
謫			
鶯	ʔɐŋ1	ʔɐŋ⁴⁵	
罌	ʔɐŋ1	ʔɐŋ⁴⁵	
厄	ʔɐk7	ʔɐk⁴	
軛	ʔɐk7	ʔɐk⁴	
鸚	jɪŋ1	jɪŋ⁴⁵	
櫻	jɪŋ1	jɪŋ⁴⁵	
硬	ŋɐŋ6	ŋɐŋ⁵²	
轟	kʰɐŋ1	kʰɐŋ⁴⁵	
揈			
訇			
畫	wɐk9	wɐk⁵²	畫圖
閎	wɐŋ4	wɐŋ²¹	
宏	fɐŋ4	fɐŋ²¹	
莖	hɐŋ4	hɐŋ²¹	
倖	hɐŋ6	hɐŋ⁵²	
幸	hɐŋ6	hɐŋ⁵²	
獲	wuɔk8	wuɔk³	
核	hɐt9	hɐt⁵²	
劃	wɐk9	wɐk⁵²	
覈			
鏗	hɐŋ1	hɐŋ⁴⁵	
砰	pʰɪŋ4	pʰɪŋ²¹	
抨	pʰɪŋ4	pʰɪŋ²¹	
怦			
萌	mɐŋ4	mɐŋ²¹	
麥	mɐk9	mɐk⁵²	
脈	mɐk9	mɐk⁵²	
氓	muɔŋ4	muɔŋ²¹	
耕	kɐŋ1	kɐŋ⁴⁵	
耿	kɐŋ2	kɐŋ²¹⁴	
隔	kɐk7	kɐk⁴	
革	kɐk7	kɐk⁴	
摑			
冊	ʦʰɐk7	ʦʰɐk⁴	
策	ʦʰɐk7	ʦʰɐk⁴	
瞪	tɐŋ4	tɐŋ²¹	
橙	ʦʰɐŋ4	ʦʰɐŋ²¹	
庄	ʦuɔŋ1	ʦuɔŋ⁴⁵	
拼	pʰɪŋ1	pʰɪŋ⁴⁵	
繃	pɐŋ1	pɐŋ⁴⁵	繃帶
迸	pɪŋ3	pɪŋ⁴⁴	
浜			
擘			
檗			
瀅	jɪŋ4	jɪŋ²¹	
醒	sɪŋ2	sɪŋ²¹⁴	
腥	sɪŋ1	sɪŋ⁴⁵	
惺	sɪŋ1	sɪŋ⁴⁵	
星	sɪŋ1	sɪŋ⁴⁵	
淅	sɪk7	sɪk⁴	
蜥	sɪk7	sɪk⁴	
錫	sɪk7	sɪk⁴	
析	sɪk7	sɪk⁴	
馨	hɪŋ1	hɪŋ⁴⁵	
迥	kʰɪŋ2	kʰɪŋ²¹⁴	
炯	kʰɪŋ2	kʰɪŋ²¹⁴	
陘			
滎	jɪŋ4	jɪŋ²¹	
覡			
檄			
邢	jɪŋ4	jɪŋ²¹	
熒	jɪŋ4	jɪŋ²¹	
刑	jɪŋ4	jɪŋ²¹	
型	jɪŋ4	jɪŋ²¹	
螢	jɪŋ4	jɪŋ²¹	
形	jɪŋ4	jɪŋ²¹	
罄	hɪŋ3	hɪŋ⁴⁴	
磬			
喫	hɐt7	hɐt⁴	
汀	tʰɪŋ1	tʰɪŋ⁴⁵	
聽	tʰɪŋ3	tʰɪŋ⁴⁴	聽力
聽	tʰɪŋ3	tʰɪŋ⁴⁴	聽任
訂	tɪŋ6	tɪŋ⁵²	
廳	tʰɪŋ1	tʰɪŋ⁴⁵	
町			町畦
踢	tʰɪk7	tʰɪk⁴	
剔	tʰɪk7	tʰɪk⁴	
惕	tʰɪk7	tʰɪk⁴	
倜			
青	ʦʰɪŋ1	ʦʰɪŋ⁴⁵	
戚	ʦʰɪk7	ʦʰɪk⁴	
劈	pʰɪk7	pʰɪk⁴	
霹	pʰɪk7	pʰɪk⁴	
姘			
癖	pʰɪk7	pʰɪk⁴	
溺	nɪk9	nɪk⁵²	溺死
嚀	nɪŋ4	nɪŋ²¹	
寧	nɪŋ4	nɪŋ²¹	
濘	nɪŋ6	nɪŋ⁵²	
佞			
冥	mɪŋ4	mɪŋ²¹	
銘	mɪŋ4	mɪŋ²¹	
螟	mɪŋ4	mɪŋ²¹	
覓	mɪk9	mɪk⁵²	
汨			
冪	mɪk9	mɪk⁵²	
暝	mɪŋ4	mɪŋ²¹	
瞑	mɪŋ5	mɪŋ²¹²	
令			令狐
聆	lɪŋ4	lɪŋ²¹	
齡	lɪŋ4	lɪŋ²¹	
冷	lɐŋ5	lɐŋ²¹²	
羚	lɪŋ4	lɪŋ²¹	
蛉	lɪŋ4	lɪŋ²¹	
鈴	lɪŋ4	lɪŋ²¹	
伶	lɪŋ4	lɪŋ²¹	
玲	lɪŋ4	lɪŋ²¹	
拎	lɪŋ1	lɪŋ⁴⁵	
靈	lɪŋ4	lɪŋ²¹	
瀝	lɪk7	lɪk⁴	瀝乾
靂	lɪk7	lɪk⁴	
曆	lɪk9	lɪk⁵²	
礫	lɪk7	lɪk⁴	
歷	lɪk9	lɪk⁵²	
績	ʦɪk7	ʦɪk⁴	
涇	kɪŋ1	kɪŋ⁴⁵	
經	kɪŋ1	kɪŋ⁴⁵	
逕	kɐŋ3	kɐŋ⁴⁴	
徑	kɪŋ3	kɪŋ⁴⁴	
擊	kɪk7	kɪk⁴	
仃	tɪŋ1	tɪŋ⁴⁵	
釘	tɪŋ1	tɪŋ⁴⁵	
叮	tɪŋ1	tɪŋ⁴⁵	
鼎	tɪŋ2	tɪŋ²¹⁴	
頂	tɪŋ2	tɪŋ²¹⁴	
的	tɪk7	tɪk⁴	
滴	tɪk7	tɪk⁴	
嫡	tɪk7	tɪk⁴	
酊			
亭	tʰɪŋ4	tʰɪŋ²¹	
挺	tʰɪŋ5	tʰɪŋ²¹²	
蜓	tʰɪŋ4	tʰɪŋ²¹	
停	tʰɪŋ4	tʰɪŋ²¹	
霆	tʰɪŋ4	tʰɪŋ²¹	
廷	tʰɪŋ4	tʰɪŋ²¹	
庭	tʰɪŋ4	tʰɪŋ²¹	
艇	tʰɪŋ5	tʰɪŋ²¹²	
定	tɪŋ6	tɪŋ⁵²	
笛	tiɛk9	tiɛk⁵²	
滌	tɪk9	tɪk⁵²	
迪	tɪk9	tɪk⁵²	
敵	tɪk9	tɪk⁵²	
荻	tɪk9	tɪk⁵²	
狄	tɪk9	tɪk⁵²	
錠	tɪŋ6	tɪŋ⁵²	
糴	tɪk9	tɪk⁵²	
翟			翟羽
寂	ʦɪk9	ʦɪk⁵²	又读ʦɪk⁴
屏	pʰɪŋ4	pʰɪŋ²¹	屏幕
瓶	pʰɪŋ4	pʰɪŋ²¹	
萍	pʰɪŋ4	pʰɪŋ²¹	
並	pɪŋ6	pɪŋ⁵²	
壁	pɪk7	pɪk⁴	
正	ʦɪŋ1	ʦɪŋ⁴⁵	正月
正	ʦɪŋ3	ʦɪŋ⁴⁴	正午
怔	ʦɪŋ1	ʦɪŋ⁴⁵	
征	ʦɪŋ1	ʦɪŋ⁴⁵	
整	ʦɪŋ2	ʦɪŋ²¹⁴	
政	ʦɪŋ3	ʦɪŋ⁴⁴	
隻	ʦɪk8	ʦɪk³	
纓	jɪŋ1	jɪŋ⁴⁵	
縈	jɪŋ4	jɪŋ²¹	
嬰	jɪŋ1	jɪŋ⁴⁵	
益	jɪk7	jɪk⁴	
潁	wɪŋ6	wɪŋ⁵²	
穎	wɪŋ6	wɪŋ⁵²	
塋	jɪŋ4	jɪŋ²¹	
弈	jɪk9	jɪk⁵²	
瀛	jɪŋ4	jɪŋ²¹	
易	jɪk9	jɪk⁵²	交易
射			無射
營	jɪŋ4	jɪŋ²¹	
盈	jɪŋ4	jɪŋ²¹	
贏	jɪŋ4	jɪŋ²¹	
亦	jɪk9	jɪk⁵²	
疫	wɪk9	wɪk⁵²	
液	jɪk9	jɪk⁵²	
奕	jɪk9	jɪk⁵²	
驛	jɪk9	jɪk⁵²	
腋	jɪk9	jɪk⁵²	
繹	jɪk9	jɪk⁵²	
睪			伺視
譯	jɪk9	jɪk⁵²	
蜴	jɪk9	jɪk⁵²	
役	wɪk9	wɪk⁵²	
省	sɪŋ2	sɪŋ²¹⁴	反省
性	sɪŋ3	sɪŋ⁴⁴	
姓	sɪŋ3	sɪŋ⁴⁴	
惜	sɪk7	sɪk⁴	
昔	sɪk7	sɪk⁴	
汐	ʦɪk9	ʦɪk⁵²	
夕	ʦɪk9	ʦɪk⁵²	
蓆	ʦɪk9	ʦɪk⁵²	
席	ʦɪk9	ʦɪk⁵²	
頃	kʰɪŋ2	kʰɪŋ²¹⁴	
傾	kʰɪŋ1	kʰɪŋ⁴⁵	
輕	hɪŋ1	hɪŋ⁴⁵	
聲	sɪŋ1	sɪŋ⁴⁵	
聖	sɪŋ3	sɪŋ⁴⁴	
釋	sɪk7	sɪk⁴	
適	sɪk7	sɪk⁴	
嬛			美好
瓊	kʰɪŋ4	kʰɪŋ²¹	
頸	kɪŋ2	kɪŋ²¹⁴	
煢			
清	ʦʰɪŋ1	ʦʰɪŋ⁴⁵	
磧			
聘	pʰɪŋ3	pʰɪŋ⁴⁴	
僻	pʰɪk7	pʰɪk⁴	
癖	pʰɪk7	pʰɪk⁴	
名	mɪŋ4	mɪŋ²¹	
嶺	lɪŋ5	lɪŋ²¹²	
領	lɪŋ5	lɪŋ²¹²	
精	ʦɪŋ1	ʦɪŋ⁴⁵	
菁	ʦɪŋ1	ʦɪŋ⁴⁵	
睛	ʦɪŋ1	ʦɪŋ⁴⁵	
蜻	ʦɪŋ1	ʦɪŋ⁴⁵	
晶	ʦɪŋ1	ʦɪŋ⁴⁵	
井	ʦɪŋ2	ʦɪŋ²¹⁴	
跡	ʦɪk7	ʦɪk⁴	
蹟	ʦɪk7	ʦɪk⁴	
脊	ʦɪk7	ʦɪk⁴	
旌			
勁	kɪŋ6	kɪŋ⁵²	
情	ʦʰɪŋ4	ʦʰɪŋ²¹	
請	ʦʰɪŋ2	ʦʰɪŋ²¹⁴	
晴	ʦʰɪŋ4	ʦʰɪŋ²¹	
睜	ʦʰɐŋ3	ʦʰɐŋ⁴⁴	
阱	ʦɪŋ6	ʦɪŋ⁵²	
靖	ʦɪŋ6	ʦɪŋ⁵²	
靜	ʦɪŋ6	ʦɪŋ⁵²	
淨	ʦɪŋ6	ʦɪŋ⁵²	
瘠	ʦɪk7	ʦɪk⁴	
籍	ʦɪk9	ʦɪk⁵²	
射			放箭使中目標物
誠	sɪŋ4	sɪŋ²¹	
成	sɪŋ4	sɪŋ²¹	
城	sɪŋ4	sɪŋ²¹	
盛	sɪŋ6	sɪŋ⁵²	旺盛
盛			盛湯
碩	siɛk9	siɛk⁵²	又读siɛk³
石	sɪk9	sɪk⁵²	
尺	ʦʰɪk7	ʦʰɪk⁴	
赤	ʦʰɪk7	ʦʰɪk⁴	
闢	pʰɪk7	pʰɪk⁴	
屏			屏除
并	pɪŋ6	pɪŋ⁵²	
餅	pɪŋ2	pɪŋ²¹⁴	
併	pɪŋ3	pɪŋ⁴⁴	
摒	pɪŋ2	pɪŋ²¹⁴	
璧	pɪk7	pɪk⁴	
楨	ʦɪŋ1	ʦɪŋ⁴⁵	
貞	ʦɪŋ1	ʦɪŋ⁴⁵	
禎	ʦɪŋ1	ʦɪŋ⁴⁵	
程	ʦʰɪŋ4	ʦʰɪŋ²¹	
呈	ʦʰɪŋ4	ʦʰɪŋ²¹	
鄭	ʦɪŋ6	ʦɪŋ⁵²	
擲	ʦɐk9	ʦɐk⁵²	
躑			
偵	ʦɪŋ1	ʦɪŋ⁴⁵	
逞	ʦʰɪŋ2	ʦʰɪŋ²¹⁴	
騁	ʦʰɪŋ2	ʦʰɪŋ²¹⁴	
蟶			
碧	pɪk7	pɪk⁴	
惡	ʔuɔk8	ʔuɔk³	惡毒
汪	wuɔŋ1	wuɔŋ⁴⁵	
盎	ʔuɔŋ3	ʔuɔŋ⁴⁴	
堊	ʔuɔk8	ʔuɔk³	
映	jɪŋ2	jɪŋ²¹⁴	
昂	ŋuɔŋ4	ŋuɔŋ²¹	
噩	ʔuɔk8	ʔuɔk³	
愕	ŋuɔk9	ŋuɔk⁵²	
顎	ŋuɔk9	ŋuɔk⁵²	
鄂	ŋuɔk9	ŋuɔk⁵²	
諤	ŋuɔk9	ŋuɔk⁵²	
齶	ŋuɔk9	ŋuɔk⁵²	
桑	suɔŋ1	suɔŋ⁴⁵	又读suɔŋ⁴⁵
喪	suɔŋ1	suɔŋ⁴⁵	喪事
喪	suɔŋ3	suɔŋ⁴⁴	喪失
索	suɔk8	suɔk³	
炕	kʰuɔŋ3	kʰuɔŋ⁴⁴	
荒	fuɔŋ1	fuɔŋ⁴⁵	
慌	fuɔŋ1	fuɔŋ⁴⁵	
壑	kʰuɔk8	kʰuɔk³	
霍	kʰuɔk8	kʰuɔk³	
郝	kʰuɔk8	kʰuɔk³	
藿	kʰuɔk8	kʰuɔk³	
劐			
杭	huɔŋ4	huɔŋ²¹	
凰	wuɔŋ4	wuɔŋ²¹	
航	huɔŋ4	huɔŋ²¹	
惶	wuɔŋ4	wuɔŋ²¹	
徨	wuɔŋ4	wuɔŋ²¹	
簧	wuɔŋ4	wuɔŋ²¹	
行	huɔŋ4	huɔŋ²¹	銀行
行	huɔŋ4	huɔŋ²¹	行行
抗	kʰuɔŋ3	kʰuɔŋ⁴⁴	
吭	huɔŋ4	huɔŋ²¹	引吭高歌
潢	wuɔŋ4	wuɔŋ²¹	
皇	wuɔŋ4	wuɔŋ²¹	
黃	wuɔŋ4	wuɔŋ²¹	
煌	wuɔŋ4	wuɔŋ²¹	
骯	ʔuɔŋ1	ʔuɔŋ⁴⁵	
晃	fuɔŋ2	fuɔŋ²¹⁴	
擴	kʰuɔŋ3	kʰuɔŋ⁴⁴	
穫	wuɔk9	wuɔk⁵²	
涸			
鶴	huɔk9	huɔk⁵²	
蝗	wuɔŋ4	wuɔŋ²¹	
鑊	wuɔk9	wuɔk⁵²	
遑	wuɔŋ4	wuɔŋ²¹	
璜	wuɔŋ4	wuɔŋ²¹	
蟥	wuɔŋ4	wuɔŋ²¹	
亢	kʰuɔŋ3	kʰuɔŋ⁴⁴	高亢
康	huɔŋ1	huɔŋ⁴⁵	
慷	kʰuɔŋ1	kʰuɔŋ⁴⁵	
曠	kʰuɔŋ3	kʰuɔŋ⁴⁴	
廓	kʰuɔk8	kʰuɔk³	
糠	huɔŋ1	huɔŋ⁴⁵	
盪	tuɔŋ6	tuɔŋ⁵²	
魄	pʰɐk7	pʰɐk⁴	落魄
託	tʰuɔk8	tʰuɔk³	
拓	tʰuɔk8	tʰuɔk³	開拓
錯	ʦʰuɔ3	ʦʰuɔ⁴⁴	錯誤
錯	ʦʰuɔ3	ʦʰuɔ⁴⁴	交錯
滄	ʦʰuɔŋ1	ʦʰuɔŋ⁴⁵	
蒼	ʦʰuɔŋ1	ʦʰuɔŋ⁴⁵	
倉	ʦʰuɔŋ1	ʦʰuɔŋ⁴⁵	
磅	puɔŋ4	puɔŋ²¹	磅礴
滂	pʰuɔŋ4	pʰuɔŋ²¹	
粕	pʰɐk7	pʰɐk⁴	
膊	puɔk8	puɔk³	
鎊	puɔŋ6	puɔŋ⁵²	
囊	nuɔŋ4	nuɔŋ²¹	
諾	nuɔk9	nuɔk⁵²	
曩	nuɔŋ4	nuɔŋ²¹	
膜	muɔk8	muɔk³	薄膜
忙	muɔŋ4	muɔŋ²¹	
茫	muɔŋ4	muɔŋ²¹	
蟒	muɔŋ5	muɔŋ²¹²	
莫	muɔk9	muɔk⁵²	
寞	muɔk9	muɔk⁵²	
漠	muɔk8	muɔk³	
幕	muɔk8	muɔk³	
樂	luɔk9	luɔk⁵²	快樂
瑯	luɔŋ4	luɔŋ²¹	
琅	luɔŋ4	luɔŋ²¹	
榔	luɔŋ4	luɔŋ²¹	
郎	luɔŋ4	luɔŋ²¹	
浪	luɔŋ6	luɔŋ⁵²	波浪
浪			滄浪
廊	luɔŋ4	luɔŋ²¹	
狼	luɔŋ4	luɔŋ²¹	
朗	luɔŋ5	luɔŋ²¹²	
酪	luɔk8	luɔk³	乳酪
洛	luɔk8	luɔk³	
烙	luɔk8	luɔk³	
絡	luɔk8	luɔk³	
落	luɔk9	luɔk⁵²	落下
駱	luɔk8	luɔk³	
鉻	kuɔk8	kuɔk³	
贓	ʦuɔŋ1	ʦuɔŋ⁴⁵	
髒	ʦuɔŋ1	ʦuɔŋ⁴⁵	
葬	ʦuɔŋ3	ʦuɔŋ⁴⁴	
臧	ʦuɔŋ1	ʦuɔŋ⁴⁵	
亢			喉嚨
剛	kuɔŋ1	kuɔŋ⁴⁵	
胱	kuɔŋ1	kuɔŋ⁴⁵	
崗	kuɔŋ1	kuɔŋ⁴⁵	
光	kuɔŋ1	kuɔŋ⁴⁵	
恍	fuɔŋ2	fuɔŋ²¹⁴	
岡	kuɔŋ1	kuɔŋ⁴⁵	
橫	wɐŋ4	wɐŋ²¹	
綱	kuɔŋ1	kuɔŋ⁴⁵	
鋼	kuɔŋ3	kuɔŋ⁴⁴	
廣	kuɔŋ2	kuɔŋ²¹⁴	
格	kɐk7	kɐk⁴	
閣	kuɔk8	kuɔk³	
胳	kuɔk8	kuɔk³	
各	kuɔk8	kuɔk³	
郭	kʰuɔk8	kʰuɔk³	
罡	kuɔŋ1	kuɔŋ⁴⁵	
當	tuɔŋ1	tuɔŋ⁴⁵	當然
當	tuɔŋ3	tuɔŋ⁴⁴	適當
鐺	tʰuɔŋ1	tʰuɔŋ⁴⁵	鐺鐺
黨	tuɔŋ2	tuɔŋ²¹⁴	
擋			
度	tuɔk9	tuɔk⁵²	量度
