	富阳街道	柳家龙岩	古城秀山	莲山水寨	朝东水谷	城北马山	福利毛家	麦岭街道	朝东街道	朝东茶山	白沙黄板桥	石家街道	石家龙湾	葛坡老塘面寨	新华街道	江永桃川	富川保庆话	富川七都话	富川八都话	富川客家话	富川梧州话
建	kiẽ35	kiɛn35	kiɛ̃35	kiɛ̃35	kiẽ35	ʨien24	kiẽ35	ʨiẽ13	tɕiɪ̃24	ʨiɛ̃24	kiẽ24	kiɪ̃35	kiɛ̃24	kiɪn24	kiẽ224	tɕiɪn13	tʃiɛ̃45	kien35	tʃɪŋ45	kien51	ki503
健	kiẽ35	kiɛn35	kiɛ̃35	kiɛ̃35	kiẽ35	ʨien24	kiẽ35	ʨiẽ13	tɕiɪ̃24	ʨiɛ̃24	kiẽ24	kiɪ̃35	kiɛ̃24	kiɪn24	kiẽ224	tɕiɪn13	tʃiɛ̃45	kien35	tʃen24	kʰien51	ki503
言	iẽ31	iɛn31	iɛ̃21	iɛ̃31	iẽ31	ien31	iẽ31	iẽ31	iɪ̃31	iɛ̃31	iẽ21	iɪ̃31	iɛ̃31	iɪn31	iẽ22	iɪn31	ȵiɛ̃213	ien22	iɪŋ24	ŋien12	ie231
歇	ɕie213	xie213	ɕie44	xie213	ɕiẽ213	ɕie33	ɕie31	ɕie31	ɕie31	ɕiɛ31	ɕiɛ33	ɕiɛ31	ɕie33	ɕie33	ɕie213	ɕie31	ʃi33	ʃi55	ʃiɤ14	ʃiet2	ʃie51
扁	piẽ53	piɛn53	piɛ̃51	piɛ̃53	piẽ553	pien453	piẽ53	piẽ45	piɪ̃55	piɛ̃51	piẽ55	piɪ̃55	piɛ̃55	piɪn53	piẽ553	piɪn45	piɛ̃31	pua33	pɑ42	pien31	pi44
片	pʰiẽ35	pʰiɛn35	pʰiɛ̃35	pʰiɛ̃35	pʰiẽ35	pʰien24	pʰiẽ35	pʰiẽ13	pʰiɪ̃24	pʰiɛ̃24	pʰiẽ24	pʰiɪ̃35	pʰiɛ̃24	pʰiɪn24	pʰiẽ224	pʰiɪn13	pʰiɛ̃14	pʰen33	pʰɘŋ33	pʰien51	pʰi503
面(~条)	miẽ35	miɛn35	miɛ̃35	miɛ̃35	miẽ35	mien24	miẽ35	miẽ13	miɪ̃24	miɛ̃24	miẽ24	miɪ̃35	miɛ̃24	miɪn24	miẽ224	miɪn13	miɛ̃45	men35	mɘŋ45	mien51	mi203
典	tiẽ53	tiɛn53	tiɛ̃51	tiɛ̃53	tiẽ553	tien453	tiẽ53	tiẽ45	tiɪ̃55	tiɛ̃51	tiẽ55	tiɪ̃55	tiɛ̃55	tiɪn53	tiẽ553	ȶiɪn45	tiɛ̃31	tien52	nɘŋ211	tiɐŋ31	li44
天	tʰiẽ44	tʰiɛn44	tʰiɛ̃44	tʰiɛ̃44	tʰiẽ44	tʰien33	tʰiẽ44	tʰiẽ33	tʰiɪ̃44	tʰiɛ̃33	tʰiẽ33	tʰiɪ̃44	tʰiɛ̃33	tʰiɪn33	tʰiẽ44	tʰiɪn44	tʰiɛ̃33	tʰen52	tʰɘŋ42	tʰien24	tʰi51
田	tiẽ31	tiɛn31	tiɛ̃21	tiɛ̃31	tiẽ31	tʰien31	tʰiẽ31/tiẽ31	tʰiẽ31	tʰiɪ̃31	tʰiɛ̃31	tʰiẽ21	tiɪ̃31	tʰiɛ̃31	tʰiɪn31	tʰiẽ22	tʰiɪn31	tiɛ̃213	ɗen22	tɘŋ42	tʰien12	ti231
垫	tiẽ35	tiɛn35	tiɛ̃35	tiɛ̃35	tiẽ35	tien24	tiẽ35	tiẽ13	tiɪ̃24	tiɛ̃24	tiẽ24	tiɪ̃35	tiɛ̃24	tiɪn24	tiẽ224	ȶiɪn13	tiɛ̃14	ɗen35	tɘŋ45	tʰiɐŋ51	ti203
年	ŋiẽ31	ŋiɛn31	niɛ̃21	niɛ̃31	niẽ31	ȵien31	niẽ31	niẽ31	niɪ̃31	niɛ̃31/niɛ̃44	ȵiẽ21	ȵiɪ̃31	niɛ̃31	niɪn31	niẽ22	niɪn31	niɛ̃213	nen22/nen52	nɘŋ31	nen12	ni231
莲	liẽ31	liɛn31	liɛ̃21	liɛ̃31	liẽ31	lien31	liẽ31	liẽ31	liɪ̃31	niɛ̃31	liẽ21	liɪ̃31	liɛ̃31	liɪn31	ndiẽ22	niɪn31	niɛ̃213	len22	lɘŋ31	len12	li231
前	tɕiẽ31	tɕiɛn31	tɕiɛ̃21	tɕiɛ̃31	tɕiẽ31	tɕʰien31	tɕʰiẽ31	tɕʰiẽ31	tɕʰiɪ̃31	tɕʰiɛ̃31	tɕʰiẽ21	tɕʰiɪ̃31	tɕʰiɛ̃31	tɕʰiɪn31	tɕiẽ22	tɕʰiɪn31	ʃiɛ̃213	tsen22	tsɘŋ31	tʃʰien12	si231
先	ɕiẽ44	ɕiɛn44	ɕiɛ̃44	ɕiɛ̃44	ɕiẽ44	ɕien33	ɕiẽ44	ɕiẽ33	ɕiɪ̃44	ɕiɛ̃33	ɕiẽ33	ɕiɪ̃44	ɕiɛ̃33	ɕiɪn33	ɕiẽ44	ɕiɪn44	ʃiɛ̃33	sen52	ʃi42	sen24	si51
肩	kiẽ44	kiɛn44	kiɛ̃44	kiɛ̃44	kiẽ44	tɕien33	kiẽ44	ʨiẽ33	tɕiɪ̃44	ʨiɛ̃33	kiẽ33	kiɪ̃44	kiɛ̃33	kiɪn33	kiẽ44	tɕiɪn44	kæ̃33	kien33	ku14	kien24	ki51
见	kiẽ35	kiɛn35	kiɛ̃35	kiɛ̃35	kiẽ35	ʨien24	kiẽ35	ʨiẽ13	tɕiɪ̃24	ʨiɛ̃24	kiẽ24	kiɪ̃35	kiɛ̃24	kiɪn24	kiẽ224	tɕiɪn13	tʃiɛ̃45	ken33	tɪŋ33	kien51	ki503
牵	kʰiẽ44	kʰiɛn44	kʰiɛ̃44	kʰiɛ̃44	kʰiẽ44	ʨʰien33	kʰiẽ44	ʨʰiẽ33	tɕʰiɪ̃44	tɕʰiɛ̃33	kʰiẽ33	kʰiɪ̃44	kʰiɛ̃33	ʨʰiɪn33	kʰiẽ44	tɕʰiɪn44	tʃʰiɛ̃33	kʰen52	tʰɪŋ42	kʰien24	ʃi51
显	ɕiẽ53	xiɛn53	ɕiɛ̃51	xiɛ̃53	xiẽ553	ɕien453	ɕiẽ53	ɕiẽ45	ɕiɪ̃55	ɕiɛ̃51	ɕiẽ55	ɕiɪ̃55	ɕiɛ̃55	ɕiɪn53	ɕiẽ553	ɕiɪn45	ʃiɛ̃31	ʃen24	ʃɪŋ211	ʃien31	ʃi503
现	ɕiẽ35	xiɛn35	ɕiɛ̃35	xiɛ̃35	xiẽ35	ɕien24	ɕiẽ35	ɕiẽ13	ɕiɪ̃24	ɕiɛ̃24	ɕiẽ24	ɕiɪ̃35	ɕiɛ̃24	ɕiɪn24	ɕiẽ224	ɕiɪn13	ʃiɛ̃14	ʃen35	ʃɪŋ45	ʃien51	i203
烟	iẽ44	iɛn44	iɛ̃44	iɛ̃44	iẽ44	ien33	iẽ44	iẽ33	iɪ̃44	iɛ̃33	iẽ33	iɪ̃44	iɛ̃33	iɪn33	iẽ44	iɪn44	ȵiɛ̃33	i52	iɪŋ42	ien24	i51
憋	pie213	pie44	pie13	pie213	pi35	pie31	pi31	pie31	pie31	piɛ31	piɛ21	piɛ31	pie31	pie31	pie44	pie31	pi33	puei55	pi14	piet2	pie51
篾	mie213	mie213	mie13	mie213	miɛ213	mie31	mie31	mie31	mie31	miɛ31	miɛ21	miɛ31	mie31	mie31	mie213	mie31	mi45	mu35	mɘŋ45	miet5	mie203
铁	tʰie213	tʰie213	tʰie13	tʰie213	tʰiɛ213	tʰie31	tʰie31	tʰie31	tʰie31	tʰiɛ31	tʰiɛ21	tʰiɛ31	tʰie31	tʰie31	tʰie213	tʰie31	tʰi33	tʰuei55	tʰæi14	tʰiet2	tʰie51
捏	ŋie44	nie53	ȵie13	nie44	ȵiɛ553	ȵie33	nie44	nie31	nie44	niɛ33	niɛ55	ȵiɛ44	nie55	ȵie33	nie44	nie45	nie33	ni55	nɘŋ33	net2	nie203
书	tɕie213	tɕie213	tɕie13	tɕie213	tɕiɛ213	tɕie31	tɕie31	tɕie31	tɕʰie31	tɕiɛ31	tɕiɛ21	tɕiɛ31	tɕie31	tɕie31	tɕie213	tɕʰie31	tʃi33	tsuei55	tsæi14	tʃiet2	ti51
切(动词)	tɕʰie213	tɕʰie213	tɕʰie13	tɕʰie213	tɕʰiɛ213	tɕʰie31	tɕʰie31	tɕʰie31	tɕʰie31	tɕʰiɛ31	tɕʰiɛ21	tɕʰiɛ31	tɕʰie31	tɕʰie31	tɕʰie213	tɕʰie31	tʃʰi33	tsʰuei55	tsʰæi14	tʃʰiet2	tʰi51
截	tɕie213	tɕie213	tɕie13	tɕie213	tɕiɛ213	tɕie31	tɕie31	tɕie31	tɕie31	tɕiɛ31	tɕiɛ21	tɕiɛ31	tɕie31	tɕie31	tɕie213	tɕie31	tʃi33	tsuei55	tsæi33	tʃiet2	ti51
结	kie213	kie213	kie13	kie213	kiɛ213	ʨie31	kie31	tɕie31	tɕie31	tɕiɛ31	kiɛ21	kiɛ31	kie31	ʨie31	kie213	tɕie31	tʃie14	ki55	tsæi14	kiet2	ki51
搬	pã44	pən44	pɐn44	pɘ̃44	pən44	paŋ33	pã44	pã33	pã44	pã33	pã33	pɑ̃44	pã33	pɑŋ33	paŋ44	paŋ44	põ33	paŋ33	maŋ52	pan24	mi44
半	pɐn35	pən35	pɐn35	pɘ̃35	pən35	paŋ24	pen35	pã13	pã24	pã24	pã24	pɑ̃35	pã24	pɑŋ24	paŋ224	paŋ13	põ45	paŋ33	maŋ33	pan51	pi503
判	pʰɐn35	pʰæ̃35	pʰɐn35	pʰɛ̃35	pʰən35	pʰaŋ24	pʰã35	pʰã13	pʰã24	pʰã24	pʰã24	pʰɑ̃35	pʰã24	pʰɑŋ24	pʰaŋ224	pʰaŋ13	pʰæ̃14	pʰaŋ33	pʰaŋ33	pʰan51	pʰi503
盘	pɐn31	pən31	pɐn21	pɘ̃31	pən31	pʰaŋ31	pʰen31	pʰã31	pʰã31	pʰã31	pʰã21	pʰɑ̃31	pʰã31	pʰəŋ31	pʰaŋ22	pʰaŋ31	põ213	paŋ22	paŋ31	pʰan12	pi231
满	mɐn53	mən53	mɐn51	mɘ̃53	mən553	maŋ453	men53	mã45	mã55	mã51	mã55	mɑ̃55	mã55	mɑŋ53	maŋ553	maŋ45	mõ31	maŋ42	maŋ33	man24	mi231
端(~午)	tuã44	tuən44	tuɐn44	tuən44	tuən44	tuaŋ33	tuã44	tuã33	tuã44	tuã33	tuan33	tuɑ̃44	tuan33	tuɑŋ33	tuaŋ44	tuaŋ44	tõ33	ɗaŋ52	naŋ52	tɔn24	ly51
短	tuɐn53	tuən53	tuɐn51	tuən53	tuən553	tuaŋ453	tuen53	tuã45	tuã55	tuã51	tuan55	tuɑ̃55	tuan55	tuɑŋ53	tuaŋ553	tuaŋ45	tõ31	ɗaŋ24	naŋ211	tɔn31	ly44
断(绳~了)	tuɐn35	tuən35	tuɐn35	tuən35	tuən35	tuaŋ24	tuen35	tuã13	tuã24	tuã24	tuan24	tuɑ̃35	tuan24	tuɑŋ24	tuaŋ224	tuaŋ13	tõ31	taŋ42	taŋ33	tʰɔn24	ty231
暖	nuɐn53	nuən53	nuɐn51	nuən53	nuən553	nuaŋ453	nuen53	nuã45	nuã55	luã51	nuan55	nuɑ̃55	nuan55	nuɑŋ53	nuaŋ553	luaŋ45	nõ31	naŋ42	naŋ33	nɔn24	ny231
乱	luɐn35	luən35	luɐn35	luən35	luən35	luaŋ24	luen35	luã13	luã24	luã24	luan24	luɑ̃35	luan24	luɑŋ24	luaŋ224	luaŋ13	nõ33	laŋ35	laŋ45	lɔn51	ly203
酸	suɐn44	suən44	suɐn44	suən44	suən44	suaŋ33	suen44	suã33	suã44	suã33	suan33	suɑ̃44	suan33	suɑŋ33	suaŋ44	suaŋ44	sõ33	saŋ52	saŋ42	sɔn24	sy51
算	suɐn35	suən35	suɐn35	suən35	suən35	suaŋ24	suen35	suã13	suã24	suã24	suan24	suɑ̃35	suan24	suɑŋ24	suaŋ224	suaŋ13	sõ45	saŋ33	saŋ33	sɔn51	ʃy503
官	kuã44	kuæ̃44	kuæ̃44	kuã44	kuã44	kuaŋ33	kuã44	kuã33	kuã44	kuã33	kuã33	kuɑ̃44	kuã33	kuɑŋ33	kuaŋ44	kuaŋ44	kõ33	kaŋ52	kaŋ52	kɔn24	kui51
宽	kʰuã44	kʰuæ̃44	kʰuæ̃44	kʰuã44	kʰuã44	kʰuaŋ33	kʰuã44	kʰuã33	kʰuã44	kʰuã33	kʰuã33	kʰuɑ̃44	kʰuã33	kʰuɑŋ33	kʰuaŋ44	kʰuaŋ44	kʰõ33	kʰuaŋ33	kʰuaŋ33	kʰɔn24	kʰy51
欢	fã44	fæ̃44	fæ̃44	fã44	fã44	faŋ33	xuã44	fã33	fã44	fã33	xuã33	fɑ̃44	xuã33	fɑŋ33	xuaŋ44	faŋ44	xõ33	haŋ52	haŋ52	fɔn24	fi51
完	yẽ31/uã31	uæ̃31	uæ̃21	uã31	yẽ31	uaŋ31	uã31	uã31	uã31	uã31	xuã21	uɑ̃31	uã31	uɑŋ31	uaŋ22	uaŋ31	yɛ̃213/uã31	uei22	uɘŋ31	van12	y231
换	fã35	fæ̃35	fæ̃35	fã35	fã35	faŋ24	xuã35	fã13	fã24	fã24	xuã24	fɑ̃35	xuã24	fan24	xuaŋ224	faŋ13	xõ45	haŋ35	uã31	vɔn51	fã503
碗	uã53	uæ̃53	uæ̃51	uã53	uã553	uaŋ453	uã53	uã45	uã55	uã51	uã55	uɑ̃55	uã55	uan53	uaŋ553	uaŋ45	uæ̃31	aŋ24	haŋ45	vɔn31	vi44
拨	puo213	puo213	puo13	puo213	puo213	puo31	puo31	puo31	puo31	puo31	puo21	puo31	po31	puo31	puo213	po31	pɑ213	pu55	pɤ14	pɔt2	po203
泼	pʰuo213	pʰuo213	pʰuo44	pʰuo213	pʰuo213	pʰuo31	pʰuo31	pʰuo31	pʰuo31	pʰuo31	pʰuo21	pʰuo31	pʰo31	pʰuo31	pʰuo44	pʰo31	pʰɑ33	pʰu55	pʰɤ14	pʰɔt2	pʰɤ51
末	muo213	muo213	muo13	muo213	muo213	muo31	muo31	muo31	muo31	muo31	muo21	muo31	mo31	muo31	muo213	mo31	mo45	mu35	muo24	mɔt5	mi203
脱	tʰuo213	tʰuo213	tʰuo13	tʰuo213	tʰuo213	tʰuo31	tʰuo31	tʰuo31	tʰuo31	tʰuo31	tʰuo21	tʰuo31	tʰo31	tʰuo31	tʰuo213	tʰo31	tʰɑ33	tʰu55	tʰɤ14	tʰɔt2	tʰuɤ51
夺	tuo213	tuo213	tuo13	tuo213	tuo213	tuo31	tuo31	tuo31	tuo31	tuo31	tuo21	tuo31	to31	tuo31	tuo213	to31	tuo14	tu35	tuo33	tʰɔt5	tu203
阔	kʰuo213	kʰuo213	kʰuo13	kʰuo213	kʰuo213	kʰuo31	kʰuo31	kʰuo31	kʰuo31	kʰuo31	kʰuo213	kʰuo31	kʰo24	kʰuo31	kʰuo213	kʰo31	kʰuo14	kʰu35	fu14	fat2	fuɤ51
活	xuo31	xuo31	xuo21	fuo31	xuo31	xuo31	xuo31	xuo31	xuo31	xuo31	xuo21	xuo31	xo31	xuo31	xuo22	xo31	xuo14	fu24	xuo31	vat5	vɤ231
顽(~皮)	uɐn31	uæ̃31	uæ̃21	uã31	uã31	uaŋ31	uã31	uã31	uã31	uã31	uã21	uɑ̃31	uɑ31	uan31	uaŋ22	faŋ31	uæ̃213	uei22	uaŋ31	van12	ŋuɑ231
滑	fã31	xuɑ213	fɑ21	fɑ213	fɑ31	fɑ31	uã31	fɑ31	vɑ31	fã31	xuɑ21	fɑ31	xuɑ31	fɑ31	xua213	vɑ31	uɑ45	ua35	ua45	fat5	vɑ203
挖	ua44	uɑ44	uɑ44	uɑ44	ua44	uɑ33	uã44	ua33	vɑ44	uɑ33	uɑ33	uɑ44	u33	uɑ33	ua44	vɑ44	uɑ33	ua55	ua14	vat2	vɑ503
闩	suã44	suæ̃44	suæ̃44	suã44	suã44	suaŋ33	suã44	suã33	suã44	suã33	suã33	suɑ̃44	suã33	suan33	suaŋ44	suaŋ44	sõ33	ʃi52	ʃyi52	tʃʰɔn24	sy51
关(~门)	kuã44	kuæ̃44	kuæ̃44	kuã44	kuã44	kuaŋ33	kuã44	kuã33	kuã44	kuã33	kuã33	kuɑ̃44	kuã33	kuan33	kuaŋ44	kuaŋ44	kuæ̃33	kuei52	kyi52	kan24	kuã51
慣	kuã35	kuæ̃35	kuæ̃35	kuã35	kuã35	kuaŋ24	kuã35	kuã13	kuã24	kuã24	kuã24	kuɑ̃35	kuã24	kuan24	kuaŋ224	kuaŋ13	kuæ̃45	kuei33	kyi52	kuan51	kuã503
还(动词)	fã31	fæ̃31	fæ̃21	fã31	fã31	faŋ31	xuã31	fã31	fã31	fã31	xuã21	fɑ̃31	xuã31	fan31	xai22	faŋ31	xuæ̃213		pæi42	van12	vã231
还(副词)	xæ31	xæ̃31	xæ̃21	xɛ31	xæe31	xuaŋ31	xuã31	fã31	xæ31	xæɛ31	xæ21	xæ31	xae31	xuan31	xuaŋ22	xæe31	xæe213	ia22	hæi31	fan12	vã231
弯	uã44	uæ̃44	uæ̃44	uã44	uã44	uaŋ33	uã44	uã33	vuã44	uã33	uã33	uɑ̃44	uã33	uan33	uaŋ44	vuaŋ44	uæ̃33	uei52	ui52	van24	vã44
刷	sua213	suɑ213	suɑ13	suɑ213	suɑ213	suɑ31	suɑ31	suɑ31	suɑ31	suɑ31	suɑ21	suɑ31	suɑ31	suɑ31	sua213	suɑ31	suɑ33	ʃy55	sua14	sɔt2	ʃyɑ503
刮	kua213	kuɑ213	kuɑ13	kuɑ213	kuɑ213	kuɑ31	kuɑ31	kuɑ31	kuɑ31	kuɑ31	kuɑ21	kuɑ31	kuɑ31	kuɑ31	kua213	kuɑ31	kua33	kua55	kua14	kak2	kuɑ503
全	tsuɐn31	ʦuən31	tsuɐn21	ʦuən31	tsuən31	tɕʰyen31	tsʰuen31	tɕʰyẽ31	ʨʰyẽ31	tɕʰyɛ̃31	ʦʰuan21	tsʰuən31	tsʰuan31	tɕʰyɪn31	tɕʰyẽ22	ʨʰyɪn31	ʃyɛ̃213	tʃen22	tʃuɘŋ31	tʃʰɔn12	sy231
选	suɐn53	suən53	suɐn51	suən53	suən553	ɕyen453	suen53	ɕyẽ45	ɕyẽ55	ɕyɛ̃51	ɕyẽ55	ɕyɪ̃55	syɛ̃55	ɕyɪn53	ɕyẽ553	ɕyɪn45	ʃyɛ̃31	ʃen24	ʃuɘŋ211	sɔn31	sy44
转(~眼,~送)	tsuɐn53	tsuən53	tsuɐn51	tsuən53	tsuən553	tsuaŋ453	tsuen53	tɕyẽ45	ʨyẽ55	tsyɛ̃51	tsuan55	ʨyɪ̃55	tsuan55	tsyɪn53	tsuẽ553	ʨyɪn45	tʃyɛ̃31	ɗien33	lyɘŋ33	tʃɔn31	tʃy503
传(~下来)	tsuɐn31	tsuən31	tsuɐn21	tsuən31	tsuən31	tɕʰyen31	tsʰuen31	tɕʰyẽ31	ʨʰyẽ31	tɕʰyɛ̃31	tsuan21	ʦʰuən31	tsʰuan31	tɕʰyɪn31	tsuẽ22	ʨʰyɪn31	ʃyɛ̃213	tsen22	tʃuɘŋ31	tʃʰɔn12	sy231
传(~记)	tsuɐn35	tsuən35	tsuɐn35	tsuən35	tsuən35	tsuaŋ24	tsʰuen35	tɕʰyẽ13	ʨʰyẽ24	tɕʰyɛ̃31	tsuan24	tsuɑ̃35	tsʰuan24	tsuan24	tɕyẽ224	ʨyɪn13	ʃyɛ̃213	tʃen22	tʃuɘŋ42	tʃʰɔn51	tʃy203
砖	tsuɐn44	tsuən44	tsuɐn44	tsuən44	tsuən44	tsyen33	tsuen44	tɕyẽ33	ʨyẽ44	tɕyɛ̃33	tsuan33	tsʰuən44	tsuan33	ʨyɪn33	tsuẽ44	ʨyɪn44	tʃyɛ̃33	tʃen52	tʃyɪŋ33	tʃɔn24	tʃy51
船	tsʰuɐn31	tsuən31	tsuɐn21	tsʰuən31	tsuən31	ʨʰyen31	tsʰuen31	tɕʰyẽ31	ʨʰyẽ31	tɕʰyɛ̃31	tsʰuan21	ʦʰuɐn31	tsʰuan31	ʨʰyɪn31	tɕʰyẽ22	ʨʰyɪn31	ʃyɛ̃213	ʃen22		tʃʰɔn12	sy231
软	ŋyẽ53	ŋyɛn53	ȵyẽ51	ŋyɛ̃53	ŋyẽ553	ȵyen453	ȵyẽ53	nyẽ45	ȵyẽ55	yɛ̃51	ȵyẽ55	ȵyɪ̃55	ȵyɛ̃55	ȵyɪn53	ȵyẽ553	ɕyɪn45	ʃyɛ̃31	ȵɪu33	ha33	ŋiɔn24	ɲy231
卷(~起)	kyẽ53	kyɛn53	kyẽ51	kyɛ̃53	kyẽ553	ʨyen453	kyẽ53	ʨyẽ45	ʨyẽ55	ʨyɛ̃51	kyẽ55	kyɪ̃55	kyɛ̃55	ʨyɪn53	kyẽ553	ʨyɪn45	tʃyɛ̃31	kuen24	kuəŋ211	kien31	ky44
圈(圆~)	kʰyẽ44	kʰyɛn44	kʰyẽ44	kʰyɛ̃44	tɕʰyẽ44	ʨʰyen33	kʰyẽ44	ʨʰyẽ33	ʨʰyẽ44	ʨʰyɛ̃33	kʰyẽ33	kʰyɪ̃44	kʰyɛ̃33	ʨʰyɪn33	kʰyẽ44	ʨʰyɪn44	tʃʰyɛ̃33	kʰuen52	kɘŋ52	kʰien24	kʰy51
权	kyẽ31	kyɛn31	kyẽ21	kyɛ̃31	kyẽ31	ʨʰyen31	kʰyẽ31	ʨʰyẽ31	ʨʰyẽ31	ʨʰyɛ̃31	kʰyẽ21	kʰyɪ̃31	kʰyɛ̃31	ʨʰyɪn31	kʰyẽ22	ʨʰyɪn31	ʃyɛ̃213	kyen22	kuɘŋ42	kʰien12	ky231
圆	yẽ31	yɛn31	yẽ21	yɛ̃31	luən31	yen31	yẽ31	yẽ31	yẽ31	yɛ̃31	yẽ21	yɪ̃31	yɛ̃31	yɪn31	yẽ22	yɪn31	ȵyɛ̃213	kuaŋ22	kɘŋ31	ien12	ly51
院	yẽ35	yɛn35	yẽ35	yɛ̃35	yẽ35	yen24	yẽ35	yẽ13	yẽ24	yɛ̃24	yẽ24	yɪ̃35	yɛ̃24	yɪn24	yẽ224	yɪn13	ȵyɛ̃45	yen22/yen35	uɘŋ31	ien51	y203
铅(~笔)	yẽ31/tɕʰiẽ44	tɕʰiɛn44	yẽ44	tɕʰiɛ̃44	tɕʰiẽ44	ʨʰien33	yẽ31	yẽ31	yẽ31	ʨʰiɛ̃33	yẽ21	ʨʰiɪ̃44	yɛ̃31	yɪn31	tɕʰiẽ44	yɪn31	tʃʰiɛ̃33/tɕʰiẽ44	iaŋ22/yen22	lyɪŋ31/tɕʰiẽ44	ien12	i231
绝	kye213	tɕye213	kye13	kye213	tɕye213	ʨye31	ʨye31	ʨye31	ʨye31	ʨye31	ʨyɛ21	ʨyɛ31	kye31	ʨye31	tɕye213	ʨye31	tʃyɛ14	tʃye35	ʦæi45	tʃʰiet5	tʃy203
雪	ɕye213	ɕye213	ɕye13	ɕye213	tɕʰye213	ɕye31	ɕye31	ɕye31	ɕye31	ɕye31	ɕyɛ21	ɕyɛ31	ɕye31	ɕye31	ɕye213	ɕye31	ʃy33	sy55	suæi14	set2	su51
反	fã53	fæ̃53	fæ̃51	fã53	fã553	faŋ453	fã53	fã45	fã55	fã51	xuã55	fɑ̃55	xuan55	fan53	faŋ553	xuaŋ45	fæ̃31	faŋ52	fi211	fan31	fã51
翻	fã44	fæ̃44	fæ̃44	fã44	fã44	faŋ33	fã44	fã33	fã44	fã33	fã33	fɑ̃44	fã33	fan33	faŋ44	xuaŋ44	fæ̃33	fuei52	fi52	fan24	fã44
饭	fã35	fæ̃35	fæ̃35	fã35	fã35	faŋ24	fã35	fã13	fã24	fã24	fã24	fɑ̃35	fã24	fan24	faŋ224	xuaŋ13	fæ̃14	faŋ35	faŋ24	fan51	pã203
晚	uã53	uæ̃53	uæ̃51	uã53	uã553	uaŋ453	uã53	uã45	uã55	uã51	uã55	uɑ̃55	uã55	uan53	uaŋ553	uaŋ45	uæ̃31	uaŋ42	maŋ33	van31	mã44
万(麻将牌)	uã35	uæ̃35	uæ̃35	uã35	uã35	uaŋ24	uã35	uã13	uã24	uã24	uã24	uɑ̃35	uã24	uan24	uaŋ224	uaŋ13	uæ̃14	uei35	vi45	van51	vã203
劝	kʰyẽ35	kʰyɛn35	kʰyẽ35	kʰyɛ̃35	kʰyẽ35	ʨʰien24	kʰyẽ35	ʨʰyẽ13	ʨʰyẽ24	tɕʰyɛ̃24	kʰyẽ24	kʰyɪ̃35	kʰyɛ̃24	ʨʰyɪn24	kʰyẽ224	ʨʰyɪn13	tʃʰyɛ̃14	kʰuen33	kʰuɘŋ33	kʰien51	ʃy503
原	yẽ31	yɛn31	yẽ21	yɛ̃31	yẽ31	yen31	yẽ31	yẽ31	yẽ31	yɛ̃31	yẽ21	yɪ̃31	yɛ̃31	yɪn31	yẽ22	yɪn31	ȵyɛ̃213	uen22	uɘŋ31	ŋien12	y231
冤	yẽ44	yɛn44	yẽ44	yɛ̃44	yẽ44	yen33	yẽ44	yẽ33	yẽ44	yɛ̃33	yẽ33	yɪ̃44	yɛ̃33	yɪn33	yẽ44	yɪn44	ȵyɛ̃33	uen52	uɘŋ42	ien24	y51
园	yẽ31	yɛn31	yẽ21	yɛ̃31	yẽ31	yen31	yẽ31	yẽ31	yẽ31	yɛ̃31	yẽ21	yɪ̃31	yɛ̃31	yɪn31	yẽ22	yɪn31	ȵyɛ̃213	uen22	uɘŋ31	ien12	y231
远	yẽ53	yɛn53	yẽ51	yɛ̃53	yẽ553	yen453	yẽ53	yẽ45	yẽ55	yɛ̃51	yẽ55	yɪ̃55	yɛ̃55	yɪn53	yẽ553	yɪn45	ȵyɛ̃31	uen42	uɘŋ33	ien31	y231
发(头~)	fa213/ɸa44	fɑ213	fɑ13	fɑ213	fɑ44	fɑ31	xuɑ31	fɑ31	fɑ31	fɑ31	xuɑ21	fɑ31	xuɑ31	fɑ31	fa213	xuɑ31	fɑ33/ɸa44	fa55	fa14/ɸa44	fat2	fɑ503
罚	fa213	fɑ213	fɑ13	fɑ213	fɑ213	fɑ31	xuɑ31	fɑ31	fɑ31	fɑ31	xuɑ21	fɑ31	xuɑ31	fɑ31	fa213	xuɑ31	fɑ45	fa35	fa45	fat5	fɑ203
袜	ua213	uɑ213	uɑ13	uɑ213	uɑ213	uɑ31	uɑ31	uɑ31	uɑ31	uɑ31	uɑ21	uɑ31	uɑ31	uɑ31	ua213	uɑ31	ua14	ma35	ma45	mat2	mɑ231
月	ye213	ye213	ye13	ye213	ye213	ye31	ye31	ye31	ye31	yɛ31	yɛ21	yɛ31	ye31	ye31	ye213	ye31	ye45	ŋuei55	ŋuæi42	ŋiet5	ɲye203
越	ye213	ye213	ye13	ye213	ye213	ye31	ye31	ye31	ye31	yɛ31	yɛ21	yɛ31	ye31	ye31	ye213	ye31	ye14	y35	y31	iet5	ɲye203
县	ɕiẽ35	xiɛn35	ɕiɛ̃35	xiɛ̃35	xiẽ35	ɕien24	ɕiẽ35	ɕiẽ13	ɕiɪ̃24	ɕiɛ̃24	ɕiẽ24	ɕiɪ̃35	ɕiɛ̃24	ɕiɪn24	ɕiẽ224	ɕiɪn13	ʃiɛ̃14	uen35	uəŋ45	ien51	y203
