□	丨(囗) 一
𦬬	艹 王
𦬭	艹 水
𦬮	莹音 几
𦬯	艹 什
𦬰	艹 壬
𦬱	艹 升
𦬲	艹 口
𦬳	艹 犯(㔾)
𦬴	艹 七(代)
𦬵	艹 廿
𦬶	艹 午
𦬷	艹 姊(𠂔)
𦬸	艹 术
𦬹	艹 旦
𦬺	艹 兄
𦬻	艹 奴
𦬼	艹 尔
𦬽	艹 木
𦬾	艹 玄
𦬿	艹 一
𦭀	艹 几
𦭁	艹 又
𦭂	艹 儿
𦭃	艹 丂
𦭄	艹 丿(𪩲)
𦭅	艹 小
𦭆	艹 亡
𦭇	艹 又
𦭈	艹 瓦
𦭉	艹 九
𦭊	艹 升
𦭋	艹 力
𦭌	艹 卡
𦭍	艹 丑
𦭎	艹 卩(卭)
𦭏	艹 珍(㐱)
𦭐	艹 斥
𦭑	艹 丁
𦭒	艹 正
𦭓	艹 世
𦭔	艹 永
𦭕	艹 氶
𦭖	艹 甲
𦭗	艹 人
𦭘	艹 卩
𦭙	艹 卩
𦭚	艹 十
𦭛	艹 仟
𦭜	艹 只
𦭝	艹 四
𦭞	艹 友
𦭟	艹 他
𦭠	艸 彐
𦭡	艹 司
𦭢	艹 正
𦭣	艹 刂
𦭤	艹 乂
𦭥	艹 也
𦭦	艹 主
𦭧	艹 匝
𦭨	艹 于
𦭩	艹 之
𦭪	艹 匈
𦭫	艸 彐
𦭬	莹(𫇦) 巾
𦭭	艹 阝
𦭮	艹 口(人)
𦭯	艹 丙
𦭰	艹 汝
𦭱	艹 辛
𦭲	艹 弓
𦭳	艹 羽
𦭴	艹 州
𦭵	艹 羊
𦭶	艹 先
𦭷	艹 牟
𦭸	艹 舟
𦭹	艹 灰
𦭺	艹 丿
𦭻	艹 臼
𦭼	艹 又
𦭽	艹 伊
𦭾	艹 四
𦭿	艹 伢
𦮀	艹 允
𦮁	艹 廾
𦮂	艹 旨
𦮃	艹 北
𦮄	艹 四
𦮅	艸 巾
𦮆	艹 又
𦮇	艹 木
𦮈	艹 幺
𦮉	艹 中
𦮊	艹 丑
𦮋	艹 巛(巟)
𦮌	艹 月
𦮍	艹 山
𦮎	艹 共
𦮏	艹 口
𦮐	艹 大
𦮑	艹 口
𦮒	艹 王
𦮓	艹 刂
𦮔	艹 夅
𦮕	艹 心(⺗)
𦮖	艹 久
𦮗	艹 女(囡)
𦮘	艹 廾
𦮙	艹 乂(卍)
𦮚	艹 厶
𦮛	艹 久
𦮜	莹(𫇦) 斗
𦮝	艹 忙
𦮞	艹 木
𦮟	艹 人
𦮠	艹 戌
𦮡	艹 心(⺗)
𦮢	艹 勺
𦮣	艹 吁
𦮤	艹 心
𦮥	艹 大
𦮦	艹 阝
𦮧	艹 夅
𦮨	艹 工
𦮩	艹 之
𦮪	艹 份
𦮫	艹 文
𦮬	艹 斤
𦮭	艹 水
𦮮	艹 夭
𦮯	艹 刂
𦮰	艹 亦
𦮱	艹 王
𦮲	艹 礼
𦮳	艹 企
𦮴	艹 年
𦮵	艹 木
𦮶	艹 吻
𦮷	艹 貝
𦮸	艹 矣
𦮹	艹 巴
𦮺	艹 私
𦮻	艹 肙
𦮼	艹 忌
𦮽	艹 告
𦮾	艹 内
𦮿	艹 力
𦯀	艹(芬) 土
𦯁	艹 囤
𦯂	艹 木
𦯃	艹 局
𦯄	艹 丣(卐)
𦯅	艹 序
𦯆	艹 丣(卐)
𦯇	艹 兄
𦯈	艹 侵(𠬶)
𦯉	艹 伯
𦯊	艹 决(決)
𦯋	艹 卂
𦯌	艹 心
𦯍	艹 耳
𦯎	艹 囱
𦯏	艹 力
𦯐	艹 召
𦯑	艹 早
𦯒	艹 仰
𦯓	艹 阻
𦯔	艹 弟
𦯕	艹 宋
𦯖	艹 土
𦯗	艹 口
𦯘	艹 又
𦯙	艹 牙
𦯚	艹 口
𦯛	艹 廾
𦯜	艹 皃
𦯝	艹 小
𦯞	艹 用
𦯟	艹 于(亐)
𦯠	艹 乱
𦯡	艹 心
𦯢	艹 弓
𦯣	艹 且
𦯤	艸 三
𦯥	艸 互
𦯦	艸 皃
𦯧	艹 木
𦯨	艹 卉
𦯩	艹 夂
𦯪	艹 勺
𦯫	艹 幺
𦯬	艹 佘
𦯭	艹 耜(㠯)
𦯮	艹 毛
𦯯	艹 囚(仌)
𦯰	艹 石
𦯱	艹 臣
𦯲	芬 兀
𦯳	芬 廾
𦯴	艹 人
𦯵	艹 皃
𦯶	艹 冏
𦯷	艹 妙
𦯸	艹 异
𦯹	艹 心(沁)
𦯺	艹 女
𦯻	艹 文
𦯼	艹 罕
𦯽	艹 女
𦯾	艹 口
𦯿	艹 寸
𦰀	艹 夕
𦰁	艹 李
𦰂	艹 火
𦰃	艹 开
𦰄	艹 今
𦰅	艹 句
𦰆	艹 皿
𦰇	艹 女
𦰈	英 丶
𦰉	艹 乙
𦰊	艹 子
𦰋	艹 儿
𦰌	艹 土
𦰍	艹 心(⺗)
𦰎	艹 夕
𦰏	艹 条
𦰐	艹 令
𦰑	艹 又
𦰒	艹 石
𦰓	艹 毋
𦰔	艹 木
𦰕	艹 木
𦰖	艹 抛
𦰗	艹 十
𦰘	艹 氐
𦰙	艹 廾
𦰚	艹 沃
𦰛	艹 分
𦰜	艹 也
𦰝	艹 甹
𦰞	艹 攴
𦰟	艹 阮
𦰠	艹 公
𦰡	艹 那
𦰢	艹 阝
𦰣	艹 低
𦰤	艹 牢
𦰥	艹 邦
𦰦	艹 改
𦰧	艹 木
𦰨	艹 又
𦰩	艹 夫
𦰪	艹 囚
𦰫	艹 泥
𦰬	艹 帛
𦰭	艹 屯
𦰮	艹 包
𦰯	艹 始
𦰰	艹 句
𦰱	艹 尚
𦰲	艹 于
𦰳	艹 牙
𦰴	艹 弥
𦰵	艹 刂
𦰶	艹 句
𦰷	艹 山
𦰸	艹 心
𦰹	艹 受
𦰺	艹 阜
𦰻	艹 欠
𦰼	艹 乍
𦰽	艹 披
𦰾	艹 包
𦰿	艹 侈
𦱀	艹 育
𦱁	艹 弦
𦱂	艹 或
𦱃	艹 盂
𦱄	艹 狐
𦱅	艹 居
𦱆	艹 它
𦱇	艹 空
𦱈	艹 术
𦱉	艹 电
𦱊	艹 争
𦱋	艹 盲
𦱌	艹 岡
𦱍	艹 林
𦱎	艹 侍
𦱏	艹 夕(夂)
𦱐	艹 亡
𦱑	艹 山
𦱒	艹 牧
𦱓	艹 畀
𦱔	艹 比
𦱕	艹 可(呵)
𦱖	艹 附
𦱗	艹 日
𦱘	艹 方
𦱙	艹 丑
𦱚	艹 云
𦱛	艹 夂
𦱜	艹 勺
𦱝	艹 刂
𦱞	艹 母
𦱟	艹 夂
𦱠	艸 廾
𦱡	屮 叩
𦱢	屮 犯(㔾)
𦱣	艹 皿
𦱤	艹 廾
𦱥	艹 疌
𦱦	艹 土
𦱧	屮 本
𦱨	艹 小(𢏏)
𦱩	艹 又
𦱪	艹 丑
𦱫	艹 月
𦱬	艹 土
𦱭	艹 廾
𦱮	艹 秉
𦱯	艹 小
𦱰	艹 刂
𦱱	艹 廾
𦱲	艹 冉
𦱳	艹 幺
𦱴	艸 卅
𦱵	艹 矢
𦱶	屮 冉
𦱷	艹 灬
𦱸	艹 臼
𦱹	艸 乂
𦱺	屮 亡
𦱻	艹 灬
𦱼	艹 乙
𦱽	艹 卧(臥)
𦱾	艹 坪
𦱿	艹 攵
𦲀	艹 怡
𦲁	艹 妮
𦲂	艹 勺
𦲃	艹 厶
𦲄	艹 穹
𦲅	艹 巾
𦲆	艹 句
𦲇	艹 勿
𦲈	芥 廾
𦲉	艹 泄
𦲊	艹 炉
𦲋	艹 舛
𦲌	艹 火
𦲍	艹 八
𦲎	艹 夕
𦲏	艹 房
𦲐	艹 巾
𦲑	艹 水
𦲒	艹 厓
𦲓	艹 杰
𦲔	艹 支
𦲕	艹 亞
𦲖	艹 今
𦲗	艹 殳
𦲘	艹 夂
𦲙	艹 手
𦲚	艹 狀
𦲛	艹 巴
𦲜	艹 木
𦲝	艹 姆
𦲞	艹 叁
𦲟	艹 制
𦲠	艹 巳
𦲡	艹 田
𦲢	艹 乘(乗)
𦲣	艹 田
𦲤	艹 依
𦲥	艹 由
𦲦	艹 久
𦲧	艹 舍
𦲨	艹 立
𦲩	艹 儿
𦲪	艹 又
𦲫	艹 弗
𦲬	艸 林
𦲭	艹 月
𦲮	艹 允
𦲯	艹 夂
𦲰	艹 于(亐)
𦲱	艹 廾
𦲲	艹 枚
𦲳	艹 乙
𦲴	艹 文
𦲵	艹 征
𦲶	艹 承
𦲷	艹 泣
𦲸	艹 雨
𦲹	艹 夜
𦲺	艹 使
𦲻	艹 壬(㸒)
𦲼	艹 妬
𦲽	艹 欣
𦲾	艹 法
𦲿	艹 廾(四)
𦳀	艹 妹
𦳁	艹 毛
𦳂	艹 夷
𦳃	艹 耶
𦳄	艹 便
𦳅	艹 日
𦳆	艹 兄
𦳇	艹 恬
𦳈	艹 毗
𦳉	艹 有
𦳊	艹 乂
𦳋	艹 又
𦳌	艹 急
𦳍	艹 瓜
𦳎	艹 且
𦳏	艹 且
𦳐	艹 奈(柰)
𦳑	艹 某
𦳒	艹 火
𦳓	艹 几
𦳔	艹 度
𦳕	艹 卉
𦳖	辶 口
𦳗	艹 省
𦳘	艹 查
𦳙	艹 致
𦳚	艹 是
𦳛	艹 軌
𦳜	艹 日
𦳝	艹 昜
𦳞	艹 拜
𦳟	艹 羊
𦳠	艹 殳
𦳡	艹 又
𦳢	艹 胃
𦳣	艹 大
𦳤	艹 灬
𦳥	艹 眇
𦳦	艹 哉
𦳧	艹 子(斿)
𦳨	艹 尢
𦳩	艹 有
𦳪	艹 八
𦳫	艹 欠
𦳬	艹 合
𦳭	艹 丙
𦳮	艹 木
𦳯	艹 述
𦳰	艹 去
𦳱	艹 甲
𦳲	艹 刂
𦳳	艹 彡
𦳴	艹 廾
𦳵	艹 斫
𦳶	艹 虫
𦳷	艹 酋
𦳸	艹 囚
𦳹	艹 勺
𦳺	艹 犮
𦳻	艹 阝
𦳼	艹 炳
𦳽	艹 允
𦳾	艹 允
𦳿	艹 矢
𦴀	艹 目
𦴁	艹 乂
𦴂	艹 土
𦴃	艹 糸
𦴄	艹 日
𦴅	艹 夂
𦴆	艹 句
𦴇	艹 荣
𦴈	艹 若
𦴉	艹 瓜
𦴊	艹 殃
𦴋	艹 又
𦴌	艹 多
𦴍	艹 也
𦴎	艹 殳
𦴏	艹 并
𦴐	艹 天
𦴑	艹 甘
𦴒	艹 日
𦴓	艹 尼
𦴔	艹 目
𦴕	艹 米
𦴖	艹 口
𦴗	艹 月
𦴘	屮 刀
𦴙	艹 勿
𦴚	艹 迢
𦴛	艹 弓(㢴)
𦴜	艹 心
𦴝	艹 十
𦴞	艹 丿
𦴟	艹 列
𦴠	艹 月
𦴡	艹 犮
𦴢	艹 此(泚)
𦴣	艹 衣(㛄)
𦴤	艹 映
𦴥	艹 旬(洵)
𦴦	艹 客
𦴧	艹 飛
𦴨	艹 君
𦴩	艹 信
𦴪	艹 尼
𦴫	艹 師
𦴬	艹 艸
𦴭	艹 狠
𦴮	范 廾
𦴯	艹 友
𦴰	艹 召
𦴱	艹 乙
𦴲	艹 夂
𦴳	艹 句
𦴴	艹 安(洝)
𦴵	艹 丢
𦴶	氵 茶
𦴷	艹 任
𦴸	艹 丞(洆)
𦴹	艹 少
𦴺	艹 奏
𦴻	艹 亟
𦴼	艹 水
𦴽	艹 拴
𦴾	艹 于(亐)
𦴿	艹 玲
𦵀	艹 面
𦵁	艹 郁
𦵂	艹 柳
𦵃	艹 心
𦵄	艹 貞
𦵅	艹 灬
𦵆	艹 田
𦵇	艹 心
𦵈	艹 勺
𦵉	艹 疌
𦵊	艹 貝
𦵋	艹 串
𦵌	艹 攵
𦵍	艹 攵
𦵎	艹 名
𦵏	艹 大
𦵐	艹 土
𦵑	艹 勾
𦵒	艹 禾
𦵓	艹 耑
𦵔	艹 且
𦵕	艹 恒(恆)
𦵖	艹 尔
𦵗	艹 計
𦵘	艹 耍
𦵙	艹 如(洳)
𦵚	艹 怒
𦵛	艹 出
𦵜	艹 洒
𦵝	艹 冬
𦵞	艹 壬
𦵟	艹 阝
𦵠	艹 係
𦵡	艹 宫
𦵢	艹 娠
𦵣	艹 豕(圂)
𦵤	艹 冠
𦵥	艹 又
𦵦	艹 叔
𦵧	艹 狼
𦵨	艹 攵
𦵩	艹 酒
𦵪	艹 攴
𦵫	艹 索
𦵬	艹 乍
𦵭	艹 妥
𦵮	艹 辛
𦵯	艹 害
𦵰	艹 田
𦵱	艹 屑
𦵲	艹 又
𦵳	艹 幸
𦵴	艹 桀
𦵵	艹 占
𦵶	艹 木
𦵷	艹 冓
𦵸	艹 耿
𦵹	艹 刂
𦵺	艹 衆(眾)
𦵻	艹 晋
𦵼	艹 郡
𦵽	艹 晃
𦵾	艹 脊
𦵿	艹 剖
𦶀	艹 烏
𦶁	艹 邑
𦶂	艹 邑
𦶃	艹 比
𦶄	艹 土
𦶅	艹 西
𦶆	艹 紐
𦶇	艹 毛
𦶈	艹 冄
𦶉	艹 此
𦶊	艹 甹
𦶋	艹 扇
𦶌	艹 凋
𦶍	艹 瓜
𦶎	艹 十
𦶏	艹 隹
𦶐	艹 恐
𦶑	艹 塌(𦐇)
𦶒	艹 何
𦶓	艹 共
𦶔	艹 句
𦶕	艹 書
𦶖	艹 木
𦶗	艹 人
𦶘	艹 斤
𦶙	艹 桓
𦶚	艹 粉
𦶛	艸 日
𦶜	艹 颐(𦣞)
𦶝	艹 乘
𦶞	艹 又
𦶟	艹 热
𦶠	艹 根
𦶡	艹 浩
𦶢	艹 航
𦶣	艹 烈
𦶤	艹 院
𦶥	艹 娥
𦶦	艹 娜
𦶧	艹 衣
𦶨	艹 夂
𦶩	艹 益
𦶪	艹 耳
𦶫	艹 禾
𦶬	艹 夋
𦶭	艹 力
𦶮	艹 云
𦶯	艹 血
𦶰	艹 比
𦶱	艹 失
𦶲	艹 女
𦶳	艹 宴
𦶴	艹 見
𦶵	艹 小
𦶶	艹 串
𦶷	艹 涵
𦶸	艹 拳
𦶹	艹 口
𦶺	艹 大
𦶻	艹 盏
𦶼	艹 涉
𦶽	艹 系
𦶾	艹 班
𦶿	艹 桑
𦷀	艹 采(採)
𦷁	艹 匪
𦷂	艹 耕
𦷃	艹 生
𦷄	艹 娘
𦷅	艹 全
𦷆	艹 弓
𦷇	艹 彡
𦷈	艹 狹
𦷉	艹 倫
𦷊	艹 殳
𦷋	荅 心
𦷌	花 合
𦷍	艹 秩
𦷎	艹 木
𦷏	艹 立
𦷐	艹 皿
𦷑	艹 丰
𦷒	艹 豹
𦷓	艹 灬
𦷔	艹 直
𦷕	艹 必
𦷖	草 厄
𦷗	艹 里
𦷘	艹 氏
𦷙	艹 占
𦷚	艹 心
𦷛	艹 朋
𦷜	艹 夏
𦷝	艹 小
𦷞	艹 木
𦷟	艹 消
𦷠	艹 爻
𦷡	艹 矢
𦷢	艹 心
𦷣	艹 丁
𦷤	莫 山
𦷥	艹 攵(敉)
𦷦	艹 石
𦷧	艹 恭
𦷨	茶 支
𦷩	艹 砭
𦷪	艹 妥
𦷫	艹 海
𦷬	艹 秘
𦷭	艹 会(桧)
𦷮	艹 悟
𦷯	艹 埋
𦷰	艹 浮
𦷱	艹 舟
𦷲	艹 糸
𦷳	艹 豆
𦷴	艹 送
𦷵	艹 助
𦷶	艸 犬
𦷷	艹 亥
𦷸	艹 水
𦷹	艹 日
𦷺	艹 壬
𦷻	艸 攴
𦷼	荅 升
𦷽	艹 阝
𦷾	艹 带
𦷿	艹 占
𦸀	艹 基
𦸁	艹 淡
𦸂	艹 深
𦸃	艹 堅
𦸄	艹 偷
𦸅	艹 女
𦸆	艹 其
𦸇	艹 术
𦸈	艹 瓜
𦸉	艹 瓜
𦸊	艹 犯(㔾)
𦸋	艹 旱
𦸌	艹 完
𦸍	艹 脱
𦸎	艹 寺
𦸏	艹 崔
𦸐	艹 陸
𦸑	艹 戈
𦸒	艹 奇
𦸓	艹 桼
𦸔	艹 彡(彫)
𦸕	艹 副
𦸖	艹 又
𦸗	艹 戚
𦸘	艹 戈
𦸙	艹 郵
𦸚	艹 習
𦸛	艹 巢
𦸜	艹 回
𦸝	艹 悉
𦸞	艹 虫
𦸟	艹 开
𦸠	艹 炎
𦸡	艹 覓
𦸢	艹 屚
𦸣	艹 卑
𦸤	艹 取
𦸥	艹 日
𦸦	艹 攵
𦸧	艹 土
𦸨	艹 土
𦸩	艹 丰
𦸪	艹 非
𦸫	艹 弟
𦸬	艹 八
𦸭	艹 吾
𦸮	艹 减
𦸯	艹 木
𦸰	艹 産
𦸱	艹 婦
𦸲	艹 偶
𦸳	艹 廾
𦸴	艹 呈
𦸵	艹 匆
𦸶	出 草
𦸷	艹 瓜
𦸸	艹 木
𦸹	艹 弓
𦸺	艹 朿
𦸻	艹 言
𦸼	艹 小
𦸽	艹 黑
𦸾	艹 張
𦸿	艹 此
𦹀	艹 細
𦹁	艹 木
𦹂	艹 呆
𦹃	艹 咅
𦹄	艹 紹
𦹅	艹 婉
𦹆	艹 土
𦹇	艹 坐
𦹈	莎 廾
𦹉	艹 廾
𦹊	艹 吾
𦹋	艹 伐
𦹌	艹 虫
𦹍	艹 余
𦹎	艹 心
𦹏	艹 淮
𦹐	艹 郭
𦹑	艹 望
𦹒	艹 王
𦹓	艹 畫
𦹔	艹 欵
𦹕	艹 电
𦹖	艹 糸
𦹗	艹 頁
𦹘	艹 貝
𦹙	艹 巾
𦹚	艹 网
𦹛	艹 丂
𦹜	艹 假
𦹝	艹 動
𦹞	艹 先
𦹟	艹 几
𦹠	艹 呈
𦹡	艹 孚
𦹢	艹 早
𦹣	艹 苗
𦹤	艹 猜
𦹥	艹 長
𦹦	艹 金
𦹧	艹 皿
𦹨	艹 土
𦹩	艹 月
𦹪	莫 火
𦹫	艹 卓
𦹬	艹 大
𦹭	艹 瓜
𦹮	艹 彩
𦹯	古 草
𦹰	艹 傻(𡕩)
𦹱	艹 斤
𦹲	艹 混
𦹳	艹 貪
𦹴	艹 乏
𦹵	草 古
𦹶	艹 貝
𦹷	艹 培
𦹸	草 田
𦹹	艹 涯
𦹺	艹 貝
𦹻	艹 淫
𦹼	艸 徙
𦹽	艹 卑
𦹾	艹 毫
𦹿	艹 夂
𦺀	艹 夫
𦺁	艹 木
𦺂	艸 与
𦺃	艹 禸
𦺄	艹 卿
𦺅	艹 斋
𦺆	艹 十
𦺇	艹 毒
𦺈	艹 巽
𦺉	艹 尃
𦺊	艹 完
𦺋	艹 又
𦺌	艹 夂
𦺍	艹 前
𦺎	艹 咅
𦺏	草 交
𦺐	艹 殘
𦺑	艹 毛
𦺒	艹 女
𦺓	艹 朝
𦺔	艹 殳
𦺕	艹 癸
𦺖	艹 矞
𦺗	艹 舒
𦺘	艹 減
𦺙	艹 犂
𦺚	艹 口
𦺛	艹 彖
𦺜	艹 勞
𦺝	艹 皿
𦺞	艹 可
𦺟	艹 壺
𦺠	艹 瓜
𦺡	艹 掌
𦺢	艹 結
𦺣	艹 項
𦺤	艹 柔
𦺥	艹 都
𦺦	艹 寒
𦺧	艹 割
𦺨	艹 象
𦺩	艹 戈
𦺪	艹 余
𦺫	艹 良
𦺬	艹 幾
𦺭	艹 又
𦺮	艹 臾
𦺯	艹 木
𦺰	艹 糸
𦺱	艹 貝
𦺲	艹 貝
𦺳	艹 口
𦺴	艹 集
𦺵	艹 木
𦺶	艹 刂
𦺷	艹 先
𦺸	艹 粦
𦺹	艹 聊
𦺺	艹 冗
𦺻	艹 散
𦺼	艹 音
𦺽	艹 奄
𦺾	艹 大
𦺿	艹 戈
𦻀	艹 是
𦻁	艹 欠
𦻂	艹 食
𦻃	艹 隹
𦻄	艹 彡
𦻅	艹 非
𦻆	艹 木
𦻇	屮 思
𦻈	艹 又
𦻉	艹 又
𦻊	艹 棋
𦻋	艹 吊
𦻌	艹 皿
𦻍	艹 土
𦻎	艹 稀
𦻏	艹 亏
𦻐	艹 卓(焯)
𦻑	艹 詠
𦻒	莫 玉
𦻓	艹 程
𦻔	艹 斐
𦻕	艹 隐
𦻖	艹 絢
𦻗	艹 進
𦻘	艹 替
𦻙	艹 耳
𦻚	艹 耶
𦻛	艹 灬
𦻜	艹 枼(渫)
𦻝	艹 戟
𦻞	艹 大
𦻟	艹 沼
𦻠	堇 廾
𦻡	艹 取
𦻢	艹 到
𦻣	艹 來
𦻤	艹 日
𦻥	艹 非
𦻦	艹 匋
𦻧	艹 隹
𦻨	艹 狐
𦻩	艹 蚤
𦻪	艹 韋
𦻫	艹 衣
𦻬	艹 其
𦻭	艹 涵
𦻮	芳 虎
𦻯	艹 嬴
𦻰	艹 非
𦻱	艹 雯
𦻲	艹 昷
𦻳	艹 日
𦻴	艹 捷
𦻵	艹 勤
𦻶	艹 斗
𦻷	艹 虫
𦻸	艹 夕
𦻹	艹 灬
𦻺	艹 王
𦻻	艹 凱
𦻼	艹 辰
𦻽	艹 明
𦻾	艹 幣
𦻿	艹 田
𦼀	艹 包
𦼁	艹 田
𦼂	艹 全
𦼃	艹 創
𦼄	艹 魁
𦼅	艹 耶
𦼆	艹 玉
𦼇	艹 惡
𦼈	艹 灬
𦼉	艹 隹
𦼊	艹 棱
𦼋	艹 录
𦼌	千 萬
𦼍	艹 完
𦼎	艹 舟
𦼏	艹 曾
𦼐	艹 火
𦼑	艹 伯
𦼒	艹 心(叅)
𦼓	艹 炎
𦼔	艹 尞
𦼕	艹 棠
𦼖	莹(𫇦) 禾
𦼗	艹 犀
𦼘	艹 工
𦼙	艹 是
𦼚	艹 森
𦼛	艹 趁
𦼜	艹 尔
𦼝	艹 惱
𦼞	艹 田
𦼟	艹 統
𦼠	艹 開
𦼡	艹 巾
𦼢	艹 斤
𦼣	艹 大
𦼤	艹 乙
𦼥	艹 渚
𦼦	艹 盛
𦼧	艹 乂
𦼨	艹 貝
𦼩	艹 韭(韯)
𦼪	艹 矛
𦼫	艹 豦
𦼬	艹 皿
𦼭	艹 尃
𦼮	艹 幹
𦼯	艹 遂
𦼰	艹 曷
𦼱	艹 雋
𦼲	艹 當
𦼳	艹 腸
𦼴	艹 楊
𦼵	艹 毛
𦼶	艹 枼
𦼷	艹 殳
𦼸	艹 高
𦼹	艹 禾
𦼺	艹 呈
𦼻	艹 攵
𦼼	艹 又
𦼽	艹 支
𦼾	艹 留
𦼿	艹 頓
𦽀	艹 頁
𦽁	艹 經
𦽂	艹 坴
𦽃	艹 扁
𦽄	艹 殿
𦽅	艹 可
𦽆	艹 子
𦽇	艹 建
𦽈	艹 犬
𦽉	艹 炎
𦽊	艹 司
𦽋	艹 句
𦽌	艹 畐
𦽍	艹 鼎
𦽎	艹 禄
𦽏	艹 鳧
𦽐	艹 毁
𦽑	艹 享
𦽒	艹 賊
𦽓	艹 卂
𦽔	艹 禁
𦽕	艹 臣
𦽖	艹 囷
𦽗	艹 攵
𦽘	艹 皿
𦽙	艹 八
𦽚	艹 女
𦽛	艹 殳
𦽜	艹 臼
𦽝	艹 累
𦽞	艹 元
𦽟	艹 遍
𦽠	艹 攵
𦽡	艹 老
𦽢	艹 是
𦽣	艸 欠
𦽤	艹 派(𠂢)
𦽥	艹 秦
𦽦	艹 方
𦽧	艹 秀
𦽨	艹 交
𦽩	艹 柔
𦽪	艹 畐
𦽫	艹 感
𦽬	艹 牛(㐄)
𦽭	艹 臼
𦽮	艹 女
𦽯	艹 極
𦽰	茅 争
𦽱	艸 叩
𦽲	艹 裘
𦽳	艹 愚
𦽴	艹 靖
𦽵	艹 女
𦽶	艹 椰
𦽷	艹 津
𦽸	艹 叚
𦽹	艹 冒
𦽺	艹 攵
𦽻	艹 保
𦽼	艹 栗(溧)
𦽽	艹 粉
𦽾	艹 溜
𦽿	艹 賈
𦾀	艹 包
𦾁	艹 小
𦾂	艹 心
𦾃	艹 盍
𦾄	艹 安
𦾅	艹 水
𦾆	艹 云
𦾇	英 妹
𦾈	艹 喿
𦾉	艹 鳥
𦾊	艹 方
𦾋	艹 舛
𦾌	艹 蜂
𦾍	艹 小
𦾎	艹 委
𦾏	華 甲
𦾐	艹 皿
𦾑	艹 剽
𦾒	艹 我
𦾓	艹 亏
𦾔	艹 旧
𦾕	艹 畐
𦾖	艹 虫
𦾗	艹 皿
𦾘	艹 夕
𦾙	艹 十
𦾚	艹 虞
𦾛	艹 韋
𦾜	艹 艮
𦾝	艹 山
𦾞	艹 皿
𦾟	艹 盞
𦾠	草 佘
𦾡	艹 攵
𦾢	艹 甚
𦾣	艹 隺
𦾤	艹 愈
𦾥	艹 暈
𦾦	艹 女
𦾧	艹 暑
𦾨	艹 女
𦾩	艹 舀
𦾪	艹 夂
𦾫	艹 禾
𦾬	艹 習
𦾭	艹 旁
𦾮	艹 木(榦)
𦾯	艹 緑(綠)
𦾰	艹 禾
𦾱	艹 巢
𦾲	艹 異
𦾳	艹 瓦
𦾴	艹 系
𦾵	艹 榮
𦾶	艹 漸
𦾷	艹 翏
𦾸	艹 耑
𦾹	艹 酸
𦾺	艹 兆
𦾻	艹 心(㥯)
𦾼	艹 冓
𦾽	艹 水(遝)
𦾾	艹 遥
𦾿	艹 精
𦿀	艹 者
𦿁	艹 畐
𦿂	艹 鳥
𦿃	艹 肖
𦿄	艹 暢
𦿅	艹 凴
𦿆	艹 昜
𦿇	艹 阝
𦿈	艹 龠
𦿉	莫 良
𦿊	艹 甾
𦿋	艹 曷
𦿌	艹 絲(㬎)
𦿍	艹 僕
𦿎	艹 攵
𦿏	艹 夢
𦿐	艹 戈
𦿑	艸 日
𦿒	艹 秦
𦿓	艹 殳
𦿔	艹 弊
𦿕	艹 木
𦿖	艹 鹿
𦿗	艹 毛
𦿘	艹 皿
𦿙	艹 夬
𦿚	艹 小(遝)
𦿛	艹 伯
𦿜	艹 貝(賔)
𦿝	蔽 巾
𦿞	艹 心(漗)
𦿟	艹 綺
𦿠	艹(蒮) 廾
𦿡	艹 暌(癸)
𦿢	蒙 廾
𦿣	蒿 廾
𦿤	蓄 廾
𦿥	艹 卤
𦿦	艹 刂
𦿧	艹 歲
𦿨	艹 甾
𦿩	艹 曹
𦿪	蓬 廾
𦿫	艹 日
𦿬	艹 鳥
𦿭	艹 滿
𦿮	艹 生
𦿯	艹 益
𦿰	艹 瑪
𦿱	艹 韭
𦿲	艹 鳥
𦿳	艹 土
𦿴	艹 尞
𦿵	艹 文
𦿶	艹 剪
𦿷	艹 龟
𦿸	艹 虫
𦿹	艹 水
𦿺	艹 米
𦿻	艹 銓
𦿼	艹 止
𦿽	艹 頁
𦿾	艹 黎
𦿿	艹 委
𧀀	艹 獄
𧀁	艹 咼
𧀂	艹 示
𧀃	艹 来
𧀄	艹 昜
𧀅	艹 禾
𧀆	艹 豆
𧀇	艹 細
𧀈	艹 日
𧀉	艹 小(㕘)
𧀊	艹 采
𧀋	艹 麽
𧀌	艹 欠
𧀍	艸 王
𧀎	艹 膏
𧀏	艹 充(銃)
𧀐	艹 瑰
𧀑	艹 種
𧀒	艹 嫩
𧀓	艹 屢
𧀔	艹 彡
𧀕	艹 辛
𧀖	艹 是
𧀗	艹 甾
𧀘	艹 責
𧀙	艹 灬
𧀚	艹 火
𧀛	艹 熊
𧀜	艹 舀
𧀝	艹 条
𧀞	菓 吏
𧀟	苔 盈
𧀠	艹 是
𧀡	艹 焦
𧀢	艹 枼
𧀣	艹 誰
𧀤	艹 齒
𧀥	艹 憂
𧀦	艹 魯
𧀧	艹 夌
𧀨	艹 巤
𧀩	艹 賜
𧀪	艹 尞
𧀫	艹 殤
𧀬	艹 膝
𧀭	艹 樊
𧀮	艹 敷
𧀯	艹 審
𧀰	艹 蹄
𧀱	艹 心(慸)
𧀲	艹 閱
