例字	注释	中古音	公平	九屋	潭下	甘棠	定江	三街	灵田	大圩力村	潮田	大境	海洋江尾
天		山开四平先透	tʰan44	tʰi232	tʰiɛ13	tʰie132	tʰie24	tʰiᴇ13	tʰiᴇn242	tʰiᴇ̃422	tʰiᴇ̃43	tʰiɛ̃42	tʰiɛ̃24
田		山开四平先定	tan21	ti33	tiɛ33	tie22	tie22	tiᴇ533	tiᴇ33	tiᴇ̃33	tiᴇ̃33	tiɛ̃33	tiɛ̃21
年		山开四平先泥	nan21	ni33	niɛ33	ȵie22	lie22	niᴇ533	ȵiᴇn33	ȵiᴇ̃33	ȵiᴇ̃33	ȵiɛ̃33	ȵiɛ̃21
怜		山开四平先来	lan33	ni33	niɛ33	ȵiŋ22	lie22	liᴇ533	liᴇn33	lin33	ȵiᴇ̃33	liɛ̃33	liɛ̃21
千		山开四平先清	tsʰan44	tʃʰi232	tʃʰiɛ13	tʃʰie132	tʃʰie24	tʃʰiᴇ13	tɕʰiᴇn242	tʃʰiᴇ̃422	tʃʰiᴇ̃43	tʃʰiɛ̃42	tsʰiɛ̃24
前		山开四平先从	tsan21	tʃi33	tʃiɛ33	tʃie22	tʃie22	tʃiᴇ533	tɕiᴇ33	tʃʰiᴇ̃33	tʃʰiᴇ̃33	tʃiɛ̃33	tsiɛ̃21
先		山开四平先心	san44	ʃi232	ʃiɛ13	ʃie132	ʃie24	ʃiᴇ13	ɕiᴇn242	ʃiᴇ̃422	ʃiᴇ̃43	ʃiɛ̃42	siɛ̃24
肩		山开四平先见			tʃiɛn33{借桂}	kiŋ132	tʃie24	15	kiᴇn242		tʃiᴇ̃43	tʃiɛ̃42	tʃiɛ̃24
牵		山开四平先溪	han44	kʰi232	tʃʰiɛ13	kʰie132	tʃʰie24	tʃʰiᴇ13	kʰiᴇn242	tʃʰiᴇ̃422	tʃʰiᴇ̃43	tʃʰiɛ̃42	tʃʰiɛ̃24
研		山开四平先疑		iᴇn21{借桂}	niɛ33	ȵie132	lie13	niᴇ33	iᴇn33	ȵiᴇ̃33	iᴇ̃33	ȵiɛ̃33	ȵiɛ̃24
烟		山开四平先影	in44	i232	iɛ13	ie132	ie24	iᴇ13	iᴇn242	iᴇ̃422	iᴇ̃43	iɛ̃42	iɛ̃24
扁		山开四上铣帮	pan55	pi422	piɛ44	pie44	pie33	piᴇ33	piᴇn35	ɓiᴇ̃55	piᴇ̃55	piɛ̃55	piɛ̃55
典		山开四上铣端	tan55	tiᴇn53{借桂}	tiɛ44	tie44	tie33	tiᴇ33	liᴇn35	ɗiᴇ̃55	tiᴇ̃55	tiɛ̃55	tiɛ̃55
遍		山开四去霰帮	pʰan35	pʰi53	pʰiɛ53	pie35	pʰie55	pʰiᴇ35	piᴇn55	pʰiᴇ̃35	piᴇ̃24	pʰiɛ̃35	piɛ̃53
片		山开四去霰滂	pʰan35	pʰi53	pʰiɛ53	pʰie35	pʰie55	pʰiᴇ35	pʰiᴇn55	pʰiᴇ̃35	pʰiᴇ̃24	pʰiɛ̃35	pʰiɛ̃53
面	{~粉}	山开四去霰明	man53	mi53	miɛ53	mie21	mie31	miᴇ21	miᴇn44	miᴇ̃21	miᴇ̃21	miɛ̃21	miɛ̃33
电		山开四去霰定	tan53	ti53	tiɛ53	tie21	tie31	tiᴇ21	tiᴇn44	tiᴇ̃21	tiᴇ̃21	tiɛ̃21	tiɛ̃33
练		山开四去霰来	lan53	ni53	niɛ53	ȵie21	lie31	liᴇ21	liᴇn44	liᴇ̃21	niᴇ̃21	liɛ̃21	liɛ̃33
见		山开四去霰见	kan35	ki35	tʃiɛ35	15	tʃie55	tʃiᴇ35	kiᴇn55	tʃiᴇ̃35		tʃiɛ̃35	tʃiɛ̃53
现		山开四去霰匣	han53	hi53	ʃiɛ53	hie21	ʃie55	ʃiᴇ35	ɕiᴇn44		ʃiᴇ̃24	ʃiɛ̃21	ʃiɛ̃33
憋		山开四入屑帮	pi4	piᴇ53	piɛ5	pie21	pie5	piᴇ21	piᴇ21	ɓiᴇ53	piᴇ21	piɛ5	piɛ5
撇		山开四入屑滂	pʰi4	pʰiᴇ5	pʰiɛ5	pʰie44	pʰie5	pʰiᴇ5	pʰiᴇ21	pʰiᴇ53	pʰiᴇ5	pʰiɛ5	pʰiɛ5
铁		山开四入屑透	tʰi4	tʰiᴇ422	tʰiɛ5	tʰie5	tʰie5	tʰiᴇ5	tʰiᴇ21	tʰiᴇ53	tʰiᴇ5	tʰiɛ5	tʰiɛ5
节		山开四入屑精	tsi4	tʃiᴇ5	tʃiɛ5	tʃie5	tʃie5	tʃiᴇ5	tɕiᴇ21	tʃiᴇ53	tʃiᴇ21	tʃiɛ5	tsiɛ5
切		山开四入屑清	tʃʰi44	tʃʰiᴇ5	tʃʰiɛ5	tʃʰie5	tʃʰie5	tʃʰiᴇ5	tɕʰiᴇ21	tʃʰiᴇ53	tʃʰiᴇ5	tʃʰiɛ5	tsʰiɛ5
截		山开四入屑从	tsi4	tʃiᴇ5	tʃiɛ5	tʃie5	tʃie5	tʃiᴇ5	tɕiᴇ21	tʃiᴇ53		tʃiɛ5	tʃiɛ5
结		山开四入屑见	ki4	kiᴇ5	tʃiɛ5	kie5	tʃie22	tʃiᴇ5	kiᴇ21	tʃiᴇ53	tʃiᴇ5	tʃiɛ5	tʃiɛ5
噎		山开四入屑影	i4	iᴇ5	iɛ13	ie5	ie5	iᴇ5	iᴇ21	iᴇ53	iᴇ5	iɛ5	iɛ5
搬		山合一平桓帮	pon44	poŋ232	pᵘɔŋ13	puo132	puo24	puo13	pua242	ɓɑ̃422	pɑ̃43	pã42	pã24
盘		山合一平桓並	pon21	poŋ33	pᵘɔŋ33	puo22	puo22	puo533	pua33	pɑ̃33	pɑ̃33	pã33	pã21
端		山合一平桓端	ton44	tua232	tᵘɔ13	tᵘɔ132	tu24	tuɤ13	lua242	ɗʊɑ̃422	tuɑ̃43	tuã33	tuã24
团		山合一平桓定	tɔ̃21	toŋ33	tua33	tᵘɔ22	tuo22	tuo533	tua33	tʊɑ̃33	tuɑ̃33	tuã33	tuã21
钻	{动词}	山合一平桓精	tson44	tsoŋ35	tsua13	tsuɑŋ132	tʃyø24	tsuo13	tsua242	tsʊɑ̃422	tsuɑ̃43	tsuã42	tsuã24
酸		山合一平桓心	son44	soŋ232	sᵘɔŋ13	sᵘɔ132	suo24	suo13	sua242	sʊɑ̃422	suɑ̃43	suã42	suã24
官		山合一平桓见	kon44	koŋ232	kᵘɔŋ13	kuo132	kuo24	kuo13	kuan242	kʊɑ̃422	kuɑ̃43	kuã42	kuã24
欢		山合一平桓晓	hon44	hoŋ232	fɑŋ13	huɑŋ132	faŋ24	faŋ13	huan242	fʊɑ̃422	huɑ̃43	huã42	fã24
丸		山合一平桓匣	in21	a33	yɛ33	uɑŋ22	uaŋ22	yᴇ533	uan33	ʊɑ̃21{借桂}	yᴇ̃33	uã33	uã21
伴		山合一上缓並	pon33	poŋ53	pᵘɔŋ53	puo21	puo31	puɔ21	puan44	pɑ̃21	pɑ̃24	pã21	pã33
满		山合一上缓明	mon33	moŋ21	mᵘɔŋ21	muo44	muo13	muo33	mua21	mɑ̃13	mɑ̃52	mã53	mã55
短		山合一上缓端	ton55	toŋ422	tᵘɔŋ44	tuo44	tuo33	tuo33	lua35	ɗʊɑ̃55	tuɑ̃55	tuã55	tuã55
暖		山合一上缓泥	non33	noŋ21	nᵘɔŋ21	lᵘɔ44	luo13	nuo33	nua21	nʊɑ̃21	luɑ̃52	nuã53	nuã55
卵		山合一上缓来	tɒ̃53{训读}		nᵘɔ21	15		luo33	luo35	lʊɔ55	nuɑ̃52	luo55	lᵘo55
管		山合一上缓见	kon55	koŋ422	kᵘɔŋ44	kuɑŋ44	kuo33	kuo33	kua35	kʊɑ̃55	kuɑ̃55	kuã55	kuã55
碗		山合一上缓影	on55	ŋ422	ŋ44	uo44	uo33	uɔ33	ua35	ʊɑ̃55	uɑ̃55	uã55	uã55
半		山合一去换帮	pon33	poŋ35	pᵘɔŋ35	puo35	puo55	puo35	pua55	ɓɑ̃35	pɑ̃24	pã35	pã53
判		山合一去换滂	pʰon35	pʰan35{借桂}	pʰᵘɔ53	pʰɑŋ35	pʰaŋ55	pʰuɔ35	pʰan55	pʰɑ̃35	pʰɑ̃24	pʰã35	pʰã53
叛		山合一去换並	pʰon35	pʰan35{借桂}	pʰan35	pɑŋ35	pʰaŋ55	pʰuɔ35	pan44	pʰɑ̃35	pʰɑ̃24	pʰã21	pʰã53
段		山合一去换定		toŋ53	tᵘɔŋ53	tᵘɔ21	tuo31	tuo21	tuan44	tʊɑ̃21	tuɑ̃21	tuã53	tuã33
乱		山合一去换来	lon53	noŋ53	nᵘɔ53	nᵘɔ21	luo31	luɔ21	lua44	lʊɑ̃21	nuɑ̃21	luã21	luã33
钻	{~子}	山合一去换精	tson35	tsoŋ35	tsua53	tsuɑŋ35	tsuo55	tsuo35	tsua55	tsʊɑ̃35	tsuɑ̃24	tsuã35	tsuã53
蒜		山合一去换心	son35	soŋ35	sᵘɔŋ35	sᵘɔ35	suo55	suo35	sua55	sʊɑ̃35	suɑ̃24	suã35	suã53
罐		山合一去换见		tɑŋ53{训读}	kᵘɔŋ35	kuo35	kuo55	kuaŋ35	kuan55	kʊɑ̃35	kuɑ̃24	kuã35	kuã53
换		山合一去换匣	hon53	hoŋ53	hᵘɔŋ53	huo21	hua31	huo21	huan44	hʊɑ̃21		huã21	fã33/huã33
拨		山合一入末帮	pɯ44	pua5	puɯ5	puo5	puo5	puo5	po21	ɓʊɔ53	pa5	puo5	pa5
泼		山合一入末滂	pʰɯ44	pʰua422	pʰuɯ5	pʰuo5	pʰuo5	pʰuo5	pʰua21	pʰʊɔ53	pʰa5	pʰa5	pʰa5
末		山合一入末明			mᵘɔ21	muo44	muo5	muo5	mo21	mʊɔ53	muo21	mi53	
脱		山合一入末透	tʰi4	tʰi5	tʰua53	tʰuo5	tʰuo5	tʰuo5	tʰua21		tʰuɑ5	tʰua5	tʰuæ5
括		山合一入末见		kua21	kuɯ5	kua4	kʰuo5/kʰuo22	kuɔ5	kua21	kʊɑ̃21/kʊɔ53	kuɑ21	kua5	kua5
阔		山合一入末溪	fɯ4	hua5	kʰuɯ5	kʰuo5	kʰuo5	kʰuo5	kʰua21	kʰʊɔ53	kʰuɑ5	kʰua5/kʰuo5	kʰua5
活		山合一入末匣		hua33	huɯ53	huo5	huo22	huo5	huo21	hʊɔ33	huo33	huo33	hᵘo21
滑		山合二入黠匣	fɒ33	hua33	huɯ53	hᵘɔ21	hua22	huo5	hua44	hʊɔ21	huɑ21	hua21	huã21
关		山合二平删见	kʊɒ̃44	koŋ232	kᵘɔŋ13	kᵘɔ132{关口}/kye132{关门}/kuɑŋ132{关于}	kuəi24	kuɤ13	kuᵉi242	kʊɑ̃422	kuɑ43	kuã42	kuã24
环		山合二平删匣		huan21{借桂}	fan33	huɑŋ22	faŋ22	faŋ33	huan33		huɑ33	huã33	fã21/huã21
弯		山合二平删影	ʊɒ̃44	oŋ232	ŋ13	uo132	uo24	uɔ13	ua242	ʊɑ̃33	uɑ̃43	uã42	uã24
惯		山合二去谏见		koŋ33	kᵘɔŋ35	kuɑŋ35	kua55	kuaŋ33	kuan55	kʊɑ̃35	kuɑ24	kua35	kua53
患		山合二去谏匣			15	huɑŋ35	faŋ55	fuɔ21	huan44		fɑ̃24	huã21	fã33/huã33
刷		山合二入辖生	ʃʊa35	sua53	sua5	sᵘɔ5	sua5	fy33	sua21	ʃʊɔ53	ʃa21	ʃua5	ʃua5
刮		山合二入辖见	kʊɒ55	kua5	kuɯ5	kʊ5	kua5	kuɔ5	kua21	kʊɔ53	kuɑ5	kua5	kua5
全		山合三平仙从	tsan21	tsa33	tyɛ33	tye22	tʃio22	tsɤ533	tɕyᴇn33	tʃʰyᴇ̃33	tʃʰyᴇ̃33	tʃyɛ̃33	tsyɛ̃21
宣		山合三平仙心		ʃyᴇn33	ʃyɛ13	ʃye132	ʃio24	ʃyᴇn13	ɕyᴇn242		ʃyᴇ̃43	ʃyɛ̃42	syɛ̃24
旋		山合三平仙邪	tan35{训读}	ta35{训读}	15	tye35{训读}	fio55	ʃyᴇn33	ɕyᴇn33	tʃʰyᴇ̃21	ʃyᴇ̃24	ʃyɛ̃33	tʃyɛ̃33
传		山合三平仙澄	tʃan21	tsa33	tʃyɛ33	tʃye22	tʃio22	tyᴇ33	tɕyᴇ33	tʃʰyᴇ̃33	tʃʰuɑ̃21{借桂}	tʃuã33	tʃyɛ̃21
专		山合三平仙章	tʃan44	tsa232	tʃyɛ13	tʃye132	tʃio24	tʃyᴇ13	tsuan242	tʃyᴇ̃33	tʃyᴇ̃43	tʃuã42	tʃyɛ̃̃24
穿		山合三平仙昌	tʃʰan44	tsʰa232	tʃʰyɛ13	tʃʰye132	tʃʰyø24	tʃʰyᴇ13	tsʰa242	tʃʰyᴇ̃33	tʃʰyᴇ̃43	tʃʰyɛ̃42	tʃʰyɛ̃24
船		山合三平仙船	ʃan21	sa33	ʃyɛ33	ʃye22	ʃio22	fyᴇ33	sa33	ʃyᴇ̃33	tʃʰyᴇ̃33	ʃyɛ̃33	tʃyɛ̃21
拳		山合三平仙群	kan21	ka33	tʃyɛ33	kye22	kio22	ky33	kyᴇn33	tʃʰyᴇ̃33	tʃʰyᴇ̃33	tʃyɛ̃33	tsyɛ̃21
圆		山合三平仙云	lon33{调读}	a33	yɛ33	ye22	io22	yᴇ33	lua33{训读}	lʊɑ̃33{训读}	yᴇ̃33	yɛ̃33	yɛ̃21
铅		山合三平仙以		a33	tsʰəi13	ye22	io22	yᴇ533	yᴇn33	yᴇ33	yᴇ̃33/tʃʰiᴇ̃43	yɛ̃33	yɛ̃21
选		山合三上狝心	san33	sa422	ʃyɛ44	ʃye44	ʃio33	sɤ33	ɕyᴇn35	ʃyᴇ̃̃55	ʃyᴇ̃55	ʃyɛ̃55	syɛ̃55
软		山合三上狝日	ŋan33	a21	yɛ21	ŋye44	ŋio13	a33	ŋa21	ny13	yᴇ̃52	ȵyɛ̃53	ȵyɛ̃55
卷		山合三上狝见	kan33	ka422	tyɛ44	kye44	kio33	kɤ33	kyᴇn35	kyᴇ̃55	tʃyᴇ̃55	tʃyɛ̃55	tʃyɛ̃55
恋		山合三去线来		ni53	15	ȵie21	lie31	liᴇ21	ȵiᴇn44			liɛ̃35	ȵiɛ̃33
转	{~螺丝}	山合三去线知	tan33	ta33	tyɛ35	tye35		tyᴇ33/tɤ33	lyᴇ55		tyᴇ̃24	tʃyɛ̃55	
串		山合三去线昌	tʃʰan35	tsʰa33	tʃʰyɛ53	tʃʰye35	tio55	tyᴇ33	tsʰa55	tʃʰyᴇ̃35	tʃʰyᴇ̃24	tʃʰyɛ̃35	tʃʰyɛ̃53
院		山合三去线云			yɛ53	ye21	io31	yᴇ21	yᴇn44	yᴇ̃21	yᴇ̃21	yɛ̃21	yɛ̃33
绝		山合三入薛从		tsa33	tʃyɛ5	kye5	kio5	tsɤ21	tɕyᴇ21		tʃyᴇ̃21	tʃyɛ̃21	
雪		山合三入薛心	si4	sa33	ʃyɛ5	ʃye5	ʃio5	sɤ33	ɕyᴇ21	ʃyɑ̃53	ʃyᴇ5	ʃyɛ5	syɛ5
翻		山合三平元敷	fɒ̃44	fuo232	fᵘɔ13	fᵘɔ132	fɔ24	fuo33	fa242	fɑ̃33	fɑ̃43	fã42	fã24
烦		山合三平元奉	fɒ̃21	fuo33	fᵘɔ33	fᵘɔ22	fɔ22	fuo33	fan33	fɑ̃33	fɑ̃33	fã33	fã21
元		山合三平元疑	fa33	yᴇn21{借桂}	yɛ33	ye22		yᴇ33	yᴇn33	yᴇ̃33	yᴇ̃33	yɛ̃33	yɛ̃21
原		山合三平元疑	in21	iŋ33	yɛ33	ye22		yᴇn533	yᴇn33	yᴇ̃33	yᴇ̃33	yɛ̃33	yɛ̃21
冤		山合三平元影	in44	a232	yɛ13	ye132	yɔ24	yᴇ13	yᴇn242	yᴇ̃33	yᴇ̃43	ȵyɛ̃42	yɛ̃24
园		山合三平元云	in21	yᴇn21{借桂}	yɛ33	ye22	yø22	yᴇ533	yᴇn33	yᴇ̃33	yᴇ̃33	yɛ33	yɛ̃21
反		山合三上阮非	fɒ̃55	fuo422	fᵘɔ44	fᵘɔ44	fɔ33	fuo33	fa35	fɑ̃55	fɑ̃55	fã55	fã55
晚		山合三上阮微			ŋ44	15		15	ua44			uã53	
远		山合三上阮云	in33	a21	yɛ21	ye44	io13	yᴇ33	yᴇ21	yᴇ̃13	yᴇ̃52	yɛ̃53	yɛ̃55
贩		山合三去愿非	fɒ̃35	fuo33	fan35	fɑŋ35	fa55	fuo35{新派}/fuo21{老派}	fan55	fɑ̃35	fɑ̃24	fã35	fã33
饭		山合三去愿奉	fɒ̃53	fuo53	fᵘɔ53	fᵘɔ21	fɔ31	fuo21	fa44	fɑ̃21	fɑ̃21	fã21	fã33
万		山合三去愿微	ʊɒ̃53	uo53	ŋ53	ᵘɔ21	ua31	uo21	uan44	ʊɑ̃21	uɑ̃21	uã21	uã33
劝		山合三去愿溪	han33	ha33	tʃʰyɛ53	kʰye35	kʰio55	kʰɤ33	kʰa55	kʰyᴇ̃35	tʃʰyᴇ̃24	tʃʰyɛ̃35	tʃʰyɛ̃53
愿		山合三去愿疑	ŋan33	yᴇn35{借桂}	yɛ53	ye21	ŋyɔ31	yᴇn21	yᴇn44		ȵyᴇ̃21	ȵyɛ21	ȵyɛ̃33
怨		山合三去愿影	in33	yᴇn35{借桂}	yɛ53	ye35	yɔ55	yᴇ33	yᴇ55	yᴇ̃21	ȵyᴇ̃21	yɛ̃35	y33
发	{~财}	山合三入月非	fɒ̃55	fuo5	fᵘɔ5	fᵘɔ5	fɔ5	fuo5	fuo21	hʊɔ53	fiɑ5	fa5	fa5
罚		山合三入月奉	fɒ̃53	fuo33	fᵘɔ53	fᵘɔ21	fɔ31	fuɔ21	fuo33	hʊɔ21	fiɑ21	fã21	fã5
袜		山合三入月微	mɒ21	mua422	muɯ5	muo55	mɔ5	muo5	muo21	mʊɔ53	ma5	ma53	ma5
月		山合三入月疑	ʊɯ4	a21	yɛ5	ŋye5	ŋio5	mɤ5	ŋə242	ȵyɑ̃53	ȵyᴇ5	ȵyɛ̃53	ȵyɛ5
县		山合四去霰匣	han53	hi53	ʃiɛ53	hie21	ʃie31	ʃiᴇ21	ɕiᴇn44	ʃiᴇ̃21	ʃiᴇ̃21	ʃiɛ̃21	ʃiɛ̃33
缺		山合四入屑溪	kʰiᴇ4	kʰi422	tʃʰyɛ5	kʰye5	kʰio5	kʰy5	kʰə21	kʰyɑ̃53	tʃʰyᴇ5	tʃʰyɛ5	tʃʰyɛ5
血		山合四入屑晓	ʃi4	ha5	ʃyɛ5	hye5	hyɔ5	hɤ5	hə21	ʃyɑ̃53	ʃyᴇ5	ʃyɛ5	ʃyɛ5
吞		臻开一平痕透	tʰaŋ44	i33{训读}	tʰaŋ13	tʰaŋ132	tʰaŋ24	taŋ13	tʰən242	iᴇ̃35{训读}	tʰɘŋ43	tʰɘŋ42	tʰɘŋ24
根		臻开一平痕见	kaŋ44	ka232	ka13	ka132	ka24	tiəi13	kə242	kɜn422	kiɘŋ43	kɘŋ42	kɘŋ24
痕		臻开一平痕匣			haŋ33	haŋ22	haŋ22	haŋ533	hən33	in35{训读}	hɘŋ33	hɘŋ33	hɘŋ21
恩		臻开一平痕影	ŋaŋ44	a232	aŋ13	ŋa132	ŋa24	nəi13	ə242{多说}/ən242	ŋɜn33	ɘŋ43	ɘŋ42	ɘŋ24
很		臻开一上很匣	haŋ53	haŋ422	haŋ44	haŋ44	haŋ13	hoŋ33	hən35	hɜn55	hɘŋ52	hɘŋ53	hɘŋ55
恨		臻开一去恨匣	haŋ53	haŋ53	haŋ53	haŋ21	haŋ31	hoŋ21	hən44	hɜn21	hɘŋ21	hɘŋ21	hɘŋ33
宾		臻开三平真帮	paŋ44	piŋ232	piɛ13	piŋ44	pəi24	piŋ13	pᴇn242	ɓin33	pɘŋ43	piŋ42	pɘŋ24
贫		臻开三平真並		pəi33	pəi33	pəi22	pəi22	pəi33	pᴇn33	pɜn33	pɘŋ33	pɘŋ33	pɘŋ21
民		臻开三平真明		miŋ33	məi33	məi22	məi22	məi533	mᴇn33	mɜn33	miɘŋ21{借桂}	miŋ33	miᵊŋ21
邻		臻开三平真来		nəi33	niɛ33	ȵiŋ22	lie22	liŋ33	lᴇn33	lin33	ȵiɘŋ33	liŋ33	liᵊŋ21
津		臻开三平真精			kəi13	tsəi44	kəi24	tiəi13	tɕin242	tʃin422	kɘŋ43	tsɘŋ42	tsɘŋ24
亲		臻开三平真清	tsʰaŋ44	tʃʰiŋ232	tsʰəi13	tʃʰiŋ132	fiŋ24	tʃiŋ13	tʰin242	tʃʰin422	tʃʰiɘŋ43	tʃʰiŋ42	tsʰɘŋ24
秦		臻开三平真从	tsan21	tʃiŋ33	tʃiŋ33	tʃiŋ22	tiŋ22	tʃiŋ33	tɕin33	tʃʰin33	tsʰɘŋ33	tʃiŋ33	tsɘŋ21
新		臻开三平真心	saŋ44	ʃiŋ232	ʃiŋ13	ʃiŋ132	ʃiŋ24	ʃiŋ13	ɕin242	ʃin422	ʃiɘŋ43	ʃiŋ42	sɘŋ24
珍		臻开三平真知		tsaŋ232	tsaŋ13	tsaŋ132	tsaŋ24	tsaŋ13	tsən242	tsɜn422	tʃiɘŋ43	tʃɘŋ42	tʃiᵊŋ24
陈		臻开三平真澄		tsaŋ33	tsaŋ33	tsaŋ22	tsaŋ22	tsoŋ33	tsən33	tʃʰɜn33	tʃʰɘŋ33	tʃɘŋ33	tsɘŋ21
尘		臻开三平真澄	tʃaŋ21	tsʰaŋ21{借桂}	tsaŋ33		tsaŋ22	tiŋ533	tɕin33	tʃʰɜn33	tʃʰiɘŋ33	tʃɘŋ33	tʃiᵊŋ21
真		臻开三平真章	tʃaŋ44	tsaŋ232	tsaŋ13	tsaŋ132	tsaŋ24	tsaŋ13	tɕin242	tʃin422	tʃiɘŋ43	tʃɘŋ42	tʃiᵊŋ24
神		臻开三平真船	ʃaŋ21	saŋ33	saŋ33	saŋ22	saŋ22	saŋ33	ɕin33	ʃin33	ʃiɘŋ33	ʃɘŋ33	ʃiᵊŋ21
身		臻开三平真书	ʃaŋ44	saŋ232	saŋ13	saŋ132	saŋ22	saŋ13	ɕin242	ʃin422	ʃiɘŋ43	ʃɘŋ42	ʃiᵊŋ24
晨		臻开三平真禅	ʃaŋ21	saŋ33	15	saŋ22	saŋ22	saŋ33	sən33	ʃɜn33		tʃʰɘŋ21{借桂}	ʃiᵊŋ21
人		臻开三平真日	ȵiaŋ21	iŋ33	iŋ33	ȵiŋ22	liŋ22	iŋ33	ŋ33	ŋ33	ŋ33	iŋ33	ŋ21
巾		臻开三平真见	kiaŋ44	kiŋ232	tʃiŋ13	kiŋ44	tʃiŋ24	tʃiŋ13	tɕin242	tʃin422	kiɘŋ43	tʃiŋ42	
银		臻开三平真疑	ȵiaŋ21	ŋ33	iŋ33	ȵiŋ22	liŋ22	iŋ533	in33	ŋ33	ŋ33	ȵiŋ33	iᵊŋ21
因		臻开三平真影	iaŋ44	iŋ232	iŋ13	iŋ132	iŋ24	iŋ13	in242	in33	iɘŋ43	iŋ42	iᵊŋ24
尽		臻开三上轸从	tsaŋ33	tʃiŋ33	tʃiŋ53	tʃiŋ21	tiŋ55	tiŋ21	tɕin44	tʃin35	tʃʰiɘŋ21	tʃiŋ21	tsɘŋ33
忍		臻开三上轸日	ȵiaŋ33	iŋ422	iŋ44	iŋ44	liŋ13	iŋ33	in21	in13	ŋ55	iŋ53	iᵊŋ54
紧		臻开三上轸见	kiaŋ33	kiŋ422	tʃiŋ44	kiŋ44	tʃiŋ33	tʃiŋ33	tɕin35	tʃin55	kiɘŋ55	tʃiŋ55	tʃiᵊŋ55
引		臻开三上轸以	iaŋ33	iŋ422	iŋ44	iŋ44	iŋ33	iŋ33	in35	in55	iɘŋ55	iŋ53	iᵊŋ55
进		臻开三去震精	ȵia21{训读}	iᴇ422{训读}	y5{训读}	tʃiŋ35	tiŋ55	niu35	tɕin55	ŋ53{训读}	ȵiᴇ5{训读}	ȵiɛ̃53{训读}	tsɘŋ33
亲	{~家}	臻开三去震清	tsʰaŋ33	tsʰəi33	tsʰəi53	tsʰəi35	fiŋ55	tsʰəi33	tsʰᴇn55	tsʰɜn35	tʃʰiɘŋ24	tʃʰiŋ35	tsʰɘŋ53
信		臻开三去震心	saŋ33	ʃiŋ35	ʃiŋ35	ʃiŋ35	ʃiŋ55	ʃiŋ35	ɕin55	ʃin35	ʃiɘŋ24	ʃiŋ35	sɘŋ53
镇		臻开三去震知		tsaŋ33	tsəi35	tsaŋ21	tsaŋ55	tsəi33/soŋ35	tsən55	tʃɜn35	tʃiɘŋ24	tʃɘŋ35	tʃiᵊŋ53
衬		臻开三去震初		tsʰaŋ53	tsʰaŋ53	tsʰaŋ35	tsʰaŋ55	tsʰaŋ33	tsʰən55	tsʰɜn35	tʃʰɘŋ24	tʃʰɘŋ35	tsʰɘŋ53
认		臻开三去震日	ȵiaŋ53		iŋ53	niŋ21	liŋ31	iŋ21	ȵin44	ŋ21	iɘŋ24	iŋ35	ȵiᵊŋ33/iᵊŋ33
印		臻开三去震影	tʃin44{训读}	iŋ33	iŋ35	iŋ35	iŋ55	iŋ33	in55	in35	iɘŋ24	iŋ35	iᵊŋ53
笔		臻开三入质帮	pia4	pɛ5	piɛ5	pi5	pi5	pi5	piᴇ21	ɓi53	piᴇ5	piɛ5	piɛ5
必		臻开三入质帮		pi21{借桂}	pi5	pi5	pi55	pi5	piᴇ21	ɓi53	piᴇ5	piɛ5	piɛ5
匹		臻开三入质滂	pæ4	pʰi5	pi44	pʰi44	pi22	pʰi33	pi44	pʰi53	pi33	pi33	pi21
蜜		臻开三入质明	mia4	mɛ422	mi5	mi5	mi31	mi5	mi21	mi21	mi5	mi53	miɛ5
栗		臻开三入质来		niᴇ232	ni44	nəi5	li22	li5	li4	li21	ȵi33	li33	
七		臻开三入质清	tʃʰia4	tʃʰiᴇ422	tʃʰi5	tʃʰi5	tʃi5	tʰi5	tɕʰiᴇ21	tʃʰi53	tʃʰiᴇ5	tʃʰiɛ5	tsʰiɛ̃5
侄		臻开三入质澄	tʃiᴇ21	tʃiᴇ33	tsəi53	tsəi21	ti22	tsəi21	tiᴇ4		tiᴇ33	tiɛ33	tiɛ21
虱		臻开三入质生	ʃa4	sa53	ʃiɛ5	sa5	sa5	səi33	ɕyᴇ21	ʃiɑ53	ʃɤ5	ʃɤ5	sɤ5
质		臻开三入质章		tsɿ21{借桂}	tsɿ21{借桂}	tʃi5	tʃy22	tʃi5	tɕiᴇ21	tʃi21	tsɿ21{借桂}	tiɛ5	tʃi21
实		臻开三入质船	ʃa21	ʃiᴇ33	ʃiɛ53	ʃie21	ʃie5	ʃiᴇ21	ɕiᴇ4	ʃi21	ʃiᴇ33	ʃiɛ33	ʃiɛ21
失		臻开三入质书		ʃiᴇ5	ʃiɛ53	ʃi5	ʃie5	ʃiᴇ21	ɕiᴇ21	ʃi21	ʃiᴇ21	ʃiɛ21	
室		臻开三入质书	ʃa4	sɿ21{借桂}	sɿ21	ʃi21		ʃi5	ɕiᴇ4	ʃi21	ʃi21{借桂}	ʃiɛ33	ʃi21
日		臻开三入质日	ȵia21	iᴇ33	i5	ȵi5{日子}/ȵie5{日头}	li31	i5/niᴇ5	ȵiᴇ242	ŋ53{日子}/ȵyɑ̃53{日头}	ȵiᴇ52	ȵiɛ21/ȵi21	ȵiɛ5
吉		臻开三入质见		kiᴇ5	tʃi5	ki5	tʃi5	tʃi5	kiᴇ21		tʃi21{借桂}	tʃi21	tʃi21
