字	类型	读音
	IPA	çie / he
挾	假名	キヤ
	IPA	kija
牒	假名	テ
	IPA	te
疊／叠	假名	テ／デ
	IPA	te / de
蝶	假名	テツ／デ／テ
	IPA	teʔ / de / te
諜	假名	デ
	IPA	de
蹀	假名	テ
	IPA	te
屧	假名	スヤ
	IPA	sɯja
蜨	假名	デ
	IPA	de
躞	假名	スエ
	IPA	sɯe
弽	假名	テ
	IPA	te
攝	假名	シツ／シエ／セ
	IPA	ɕiʔ / ɕie / se
涉	假名	ヂ
	IPA	dʑi
莢	假名	キツ／キヤ
	IPA	kiʔ / kija
鋏	假名	キヤツ
	IPA	kijaʔ
頰	假名	キヤ
	IPA	kija
帖	假名	テ
	IPA	te
蝶	假名	テツ／デ／テ
	IPA	teʔ / de / te
貼	假名	テ
	IPA	te
插/揷	假名	サ゚／ツア
	IPA	tsa / tsɯa
笈	假名	キツ
	IPA	kiʔ
狹	假名	ヤ／キヤ
	IPA	ja / kija
浥	假名	イ
	IPA	i
恰	假名	キヤ
	IPA	kija
霎	假名	サ
	IPA	sa
夾	假名	キヤ
	IPA	kija
匣	假名	ヤ
	IPA	ja
狎	假名	ヒヤ
	IPA	çija
壓	假名	ヤ
	IPA	ja
閘	假名	ツアン
	IPA	tsɯaN
鴨	假名	キヤツ／ヤ
	IPA	kijaʔ / ja
甲	假名	キヤツ／キヤ
	IPA	kijaʔ / kija
浥	假名	イ
	IPA	i
業	假名	ネ／エ／ゲ／ゴウ
	IPA	ne / e / ge / goɯ
笈	假名	キツ
	IPA	kiʔ
劫/刧	假名	キ／ケ
	IPA	ki / ke
乏	假名	ワ／フワ／ホ
	IPA	wa / ɸɯwa / ho
泛	假名	ハン／ハアン
	IPA	haN / haːN
法	假名	ハ／ハワ／フワ
	IPA	ha / hawa / ɸɯwa
僚	假名	リヤウ
	IPA	rijaɯ
嘹	假名	リヤ◦ウ
	IPA	rijaɯ
寥	假名	リヤ◦ウ
	IPA	rijaɯ
撩	假名	リヤ◦ウ
	IPA	rijaɯ
料	假名	リヤ◦ウ
	IPA	rijaɯ
繚	假名	リヤ◦ウ／リヤーウ
	IPA	rijaɯ
聊	假名	リヤ◦ウ
	IPA	rijaɯ
遼	假名	リヤ◦ウ／リヤウ
	IPA	rijaɯ
岧	假名	デヤウ／ニヤーウ
	IPA	dejaɯ / nijaɯ
條	假名	テヤ◦ウ／デヤ◦ウ／テーウ／テヤーウ
	IPA	tejaɯ / dejaɯ / teɯ
苕	假名	チヤ◦ウ
	IPA	tɕijaɯ
調	假名	デヤ◦ウ／チヤーウ／テヤーウ／テ゚ヤウ
	IPA	dejaɯ / tɕijaɯ / tejaɯ / dijaɯ
跳	假名	テヤ◦ウ／テヤーウ
	IPA	tejaɯ
迢	假名	デヤ◦ウ／テヤーウ
	IPA	dejaɯ / tejaɯ
鰷	假名	チヤ◦ウ／ツヤン
	IPA	tɕijaɯ / tsɯjaN
鞗	假名	ケツ／テヤ◦ウ
	IPA	keʔ / tejaɯ
箾/簫	假名	スヤ◦ウ／スヤウ／シヤーウ／スヤーウ
	IPA	sɯjaɯ / ɕijaɯ
蕭	假名	スヤウ／スヤーウ
	IPA	sɯjaɯ
僥	假名	キヤ◦ウ
	IPA	kijaɯ
堯	假名	ヤ◦ウ／ニヤーウ
	IPA	jaɯ / nijaɯ
嶢／峣	假名	ヤ◦ウ
	IPA	jaɯ
凋	假名	テヤ◦ウ
	IPA	tejaɯ
刁	假名	テヤ◦ウ
	IPA	tejaɯ
彫／琱／雕／鵰	假名	チユウ／テヤ◦ウ／テ◦ウ
	IPA	tɕijɯː / tejaɯ / teɯ
貂	假名	テヤ◦ウ／テヤーウ
	IPA	tejaɯ
鯛	假名	テヤ◦ウ
	IPA	tejaɯ
梟	假名	ヒヤ◦ウ
	IPA	çijaɯ
澆	假名	キヤ◦ウ
	IPA	kijaɯ
邀	假名	ヤ◦ウ
	IPA	jaɯ
驍	假名	キヤ◦ウ
	IPA	kijaɯ
挑	假名	タウ／テヤ◦ウ
	IPA	taɯ / tejaɯ
蓧	假名	テヤ◦ウ
	IPA	tejaɯ
銚	假名	テヤ◦ウ
	IPA	tejaɯ
瓢	假名	ビヤ◦ウ／ヒヤウ／ヒヤーウ
	IPA	bijaɯ / çijaɯ
螵	假名	ビヤ◦ウ
	IPA	bijaɯ
峯／峰	假名	フヲン／ホン／フン／ホウ
	IPA	ɸɯoN / hoN / ɸɯN / hoɯ
鴞	假名	ヒヤ◦ウ
	IPA	çijaɯ
姚	假名	チヤウ
	IPA	tɕijaɯ
搖	假名	ヤ◦ウ／ヤウ／ヤーウ
	IPA	jaɯ
洮	假名	チヤウ／チヤン
	IPA	tɕijaɯ / tɕijaN
珧	假名	チヤ◦ウ
	IPA	tɕijaɯ
瑤	假名	ヤ◦ウ／ヤーウ
	IPA	jaɯ
謠／謡	假名	ヤ◦ウ
	IPA	jaɯ
遙	假名	ヤ◦ウ／ヤウ／ヤーウ
	IPA	jaɯ
銚	假名	テヤ◦ウ
	IPA	tejaɯ
陶	假名	ダ◦ウ
	IPA	daɯ
鰩／鳐	假名	ヤ◦ウ
	IPA	jaɯ
鷂	假名	セウ／ヤ◦ウ
	IPA	seɯ / jaɯ
燎	假名	リヤウ
	IPA	rijaɯ
韶	假名	チヤ◦ウ／ヂヤーウ
	IPA	tɕijaɯ / dʑijaɯ
標	假名	ピヤ◦ウ
	IPA	pijaɯ
飆	假名	ピヤーウ
	IPA	pijaɯ
夭	假名	ヤーウ
	IPA	jaɯ
妖	假名	ヤ◦ウ
	IPA	jaɯ
腰	假名	ヤ◦ウ／ヤーウ
	IPA	jaɯ
要	假名	ヤ◦ウ／ヤーウ
	IPA	jaɯ
邀	假名	ヤ◦ウ
	IPA	jaɯ
憔	假名	ツヤ◦ウ
	IPA	tsɯjaɯ
樵	假名	ツヤ◦ウ／スヤーウ／ヅヤーウ
	IPA	tsɯjaɯ / sɯjaɯ / dzɯjaɯ
譙	假名	ツヤウ
	IPA	tsɯjaɯ
超	假名	チヤーウ／チヤウ
	IPA	tɕijaɯ
宵	假名	スヤ◦ウ／スヤーウ
	IPA	sɯjaɯ
捎	假名	サーウ
	IPA	saɯ
消	假名	スヤ◦ウ／スヤ◦ン／シヤーウ／シヤウ／スヤーウ
	IPA	sɯjaɯ / sɯjaN / ɕijaɯ
硝	假名	スヤ◦ウ
	IPA	sɯjaɯ
蛸	假名	スヤ◦ウ
	IPA	sɯjaɯ
逍	假名	スヤ◦ウ／スヤーウ／シヤーウ
	IPA	sɯjaɯ / ɕijaɯ
銷	假名	スヤ◦ウ／シヤウ／スヤーウ
	IPA	sɯjaɯ / ɕijaɯ
霄	假名	スヤウ／スヤ◦ウ／シヤーウ／スヤーウ
	IPA	sɯjaɯ / ɕijaɯ
瀟	假名	スヤーウ
	IPA	sɯjaɯ
饒	假名	ニヤウ／ジヤ◦ウ／ジヤウ／ジヤーウ
	IPA	nijaɯ / dʑijaɯ
鳳	假名	フヲン／ホウ／ホン／ウヲン／ホヲン
	IPA	ɸɯoN / hoɯ / hoN / ɯoN / hoːN
苗	假名	シヤ◦ウ
	IPA	ɕijaɯ
囂	假名	ヒヤ◦ウ
	IPA	çijaɯ
燒	假名	シヤ◦ウ／シヤーウ
	IPA	ɕijaɯ
嫖	假名	ビヤ◦ウ／ピヤ◦ウ
	IPA	bijaɯ / pijaɯ
摽	假名	ピヤ◦ウ
	IPA	pijaɯ
漂	假名	ピヤ◦ウ
	IPA	pijaɯ
螵	假名	ビヤ◦ウ
	IPA	bijaɯ
粉	假名	フン／フエン／フウン
	IPA	ɸɯN / ɸɯeN / ɸɯːN
朝	假名	チヤ◦ウ／ヂヤウ／チヤウ／チヤーウ／ヂヤーウ
	IPA	tɕijaɯ / dʑijaɯ
潮	假名	チヤ◦ウ／チヤウ／ツヤ◦ウ／チヤーウ
	IPA	tɕijaɯ / tsɯjaɯ
朝	假名	チヤ◦ウ／ヂヤウ／チヤウ／チヤーウ／ヂヤーウ
	IPA	tɕijaɯ / dʑijaɯ
招	假名	チヤン／チヤ◦ウ／シヤーウ
	IPA	tɕijaN / tɕijaɯ / ɕijaɯ
昭	假名	チヤ◦ウ／チヤーウ／チヤウ
	IPA	tɕijaɯ
椒	假名	ツヤ◦ウ／ツヤウ
	IPA	tsɯjaɯ
焦	假名	ツヤ◦ウ
	IPA	tsɯjaɯ
蕉	假名	ソヤ◦ウ／ツア◦ウ／ツヤ◦ウ／ツヤウ
	IPA	sojaɯ / tsɯaɯ / tsɯjaɯ
蟭	假名	ツヤ◦ウ
	IPA	tsɯjaɯ
鷦	假名	ツヤ◦ウ
	IPA	tsɯjaɯ
喬	假名	キヤ◦ウ
	IPA	kijaɯ
嬌	假名	キヤ◦ウ
	IPA	kijaɯ
橋	假名	キヤ◦ウ／ギヤ◦ウ／キヤウ／キヤーウ／ギヤーウ
	IPA	kijaɯ / gijaɯ
翹	假名	キヤ◦ウ／ギヤ◦ウ／キヤーウ
	IPA	kijaɯ / gijaɯ
荍/蕎	假名	キヤ◦ウ／ギヤ◦ウ
	IPA	kijaɯ / gijaɯ
轎	假名	キヤ◦ウ
	IPA	kijaɯ
喬	假名	キヤ◦ウ
	IPA	kijaɯ
嬌	假名	キヤ◦ウ
	IPA	kijaɯ
憍	假名	キヤウ
	IPA	kijaɯ
蕎	假名	キヤ◦ウ／ギヤ◦ウ
	IPA	kijaɯ / gijaɯ
驕	假名	キヤ◦ウ／キヤーウ
	IPA	kijaɯ
泡	假名	パ◦ウ
	IPA	paɯ
賁	假名	フン
	IPA	ɸɯN
跑	假名	バ◦ウ
	IPA	baɯ
鉋	假名	バ◦ウ
	IPA	baɯ
鈔	假名	チヤ◦ウ
	IPA	tɕijaɯ
肴	假名	ア◦ウ／カ／カーウ
	IPA	aɯ / ka / kaɯ
鐃	假名	ナ◦ウ
	IPA	naɯ
巢	假名	ツアウ／サ゚ーウ
	IPA	tsɯaɯ / tsaɯ
賁	假名	フン
	IPA	ɸɯN
枹	假名	ウヱ◦ウ
	IPA	ɯeɯ
胞	假名	バ◦ウ
	IPA	baɯ
賁	假名	フン
	IPA	ɸɯN
咬	假名	カ／ヤ◦ウ
	IPA	ka / jaɯ
嘮	假名	ラーウ
	IPA	raɯ
賁	假名	フン
	IPA	ɸɯN
覆	假名	ヘ◦ウ／ヘウ／へ◦ウ／ホ／フーウ／ヘーウ
	IPA	heɯ / ho / ɸɯː
敲	假名	キヤ◦ウ
	IPA	kijaɯ
拋	假名	パウ
	IPA	paɯ
泡	假名	パ◦ウ
	IPA	paɯ
胞	假名	バ◦ウ
	IPA	baɯ
捎	假名	サーウ
	IPA	saɯ
梢	假名	サ◦ウ／スヤ◦ウ／スア◦ウ
	IPA	saɯ / sɯjaɯ / sɯaɯ
蛸	假名	スヤ◦ウ
	IPA	sɯjaɯ
鞘	假名	スヤ◦ウ
	IPA	sɯjaɯ
嘲	假名	チヤ◦ウ／ヂヤ◦ウ
	IPA	tɕijaɯ / dʑijaɯ
交	假名	キヤ◦ウ／キヤウ／キヤーウ
	IPA	kijaɯ
佼	假名	キヤ◦ウ
	IPA	kijaɯ
咬	假名	カ／ヤ◦ウ
	IPA	ka / jaɯ
教	假名	キヤ◦ウ／キヤーウ／キヤウ
	IPA	kijaɯ
膠	假名	キヤ◦ウ
	IPA	kijaɯ
蛟	假名	キヤウ／キヤ◦ウ／キヤーウ
	IPA	kijaɯ
郊	假名	キヤ◦ウ
	IPA	kijaɯ
鉸	假名	キヤ◦ウ
	IPA	kijaɯ
鮫	假名	キヤ◦ウ／キヤウ
	IPA	kijaɯ
鵁	假名	キヤ◦ウ
	IPA	kijaɯ
鬧	假名	ナ◦ウ
	IPA	naɯ
覆	假名	ヘ◦ウ／ヘウ／へ◦ウ／ホ／フーウ／ヘーウ
	IPA	heɯ / ho / ɸɯː
勞	假名	ラ◦ウ／ラウ／ラーウ
	IPA	raɯ
撈	假名	ラ◦ウ
	IPA	raɯ
澇	假名	ラ◦ウ
	IPA	raɯ
牢	假名	ラ◦ウ／ラーウ
	IPA	raɯ
毫	假名	ハ◦ウ／ア◦ウ／ハーウ
	IPA	haɯ / aɯ
號	假名	ハ◦ウ／ハーウ／ハウ
	IPA	haɯ
豪	假名	ハ◦ウ／ア◦ウ／カーウ
	IPA	haɯ / aɯ / kaɯ
耗	假名	ハ◦ウ／ハーウ
	IPA	haɯ
桃	假名	タ◦ウ／タウ／ダ◦ウ／ダウ／ターウ／ダーウ
	IPA	taɯ / daɯ
檮	假名	タ◦ウ
	IPA	taɯ
濤	假名	ダウ
	IPA	daɯ
萄	假名	タ◦ウ／ダ◦ウ
	IPA	taɯ / daɯ
逃	假名	タ◦ウ／ダ◦ウ／テーウ
	IPA	taɯ / daɯ / teɯ
匋/陶	假名	ダ◦ウ
	IPA	daɯ
鞉	假名	タア◦ウ
	IPA	taːɯ
鏖	假名	ハ◦ウ
	IPA	haɯ
槽	假名	サ◦ウ
	IPA	saɯ
漕	假名	サ゚◦ウ
	IPA	tsaɯ
螬	假名	サ◦ウ
	IPA	saɯ
搔	假名	サ゚◦ウ
	IPA	tsaɯ
繅/繰	假名	ツア◦ウ
	IPA	tsɯaɯ
臊	假名	サ◦ウ
	IPA	saɯ
騷	假名	スア◦ウ
	IPA	sɯaɯ
鰠	假名	ツア◦ウ
	IPA	tsɯaɯ
旄	假名	マ◦ウ
	IPA	maɯ
覆	假名	ヘ◦ウ／ヘウ／へ◦ウ／ホ／フーウ／ヘーウ
	IPA	heɯ / ho / ɸɯː
芼	假名	マ◦ウ
	IPA	maɯ
撓	假名	キヤ◦ウ
	IPA	kijaɯ
蒿	假名	ハ◦ウ／ハア◦ウ／ハアウ
	IPA	haɯ / haːɯ
操	假名	サ゚ウ／ツアーウ
	IPA	tsaɯ / tsɯaɯ
敖	假名	ア◦ウ
	IPA	aɯ
熬	假名	ガ◦ウ／カ◦ウ
	IPA	gaɯ / kaɯ
翱/翺	假名	フーウ
	IPA	ɸɯː
螯	假名	カ◦ウ
	IPA	kaɯ
鼇	假名	アウ
	IPA	aɯ
刀	假名	タ◦ウ／タウ
	IPA	taɯ
槽	假名	サ◦ウ
	IPA	saɯ
糟	假名	ツア◦ウ
	IPA	tsɯaɯ
遭	假名	サ゚◦ウ／サ◦ウ
	IPA	tsaɯ / saɯ
槔	假名	カ◦ウ
	IPA	kaɯ
皋	假名	カーウ
	IPA	kaɯ
皐	假名	カ◦ウ
	IPA	kaɯ
篙	假名	カ◦ウ
	IPA	kaɯ
羔	假名	カ◦ウ
	IPA	kaɯ
膏	假名	カ◦ウ
	IPA	kaɯ
高/髙	假名	カ◦ウ／カウ／カーウ
	IPA	kaɯ
挑	假名	タウ／テヤ◦ウ
	IPA	taɯ / tejaɯ
洮	假名	チヤウ／チヤン
	IPA	tɕijaɯ / tɕijaN
綢	假名	ヂウ／チウ
	IPA	dʑiɯ / tɕiɯ
瑙	假名	ナ◦ウ／ナーウ
	IPA	naɯ
皂	假名	ツア◦ウ／サ゚◦ウ／ヅアウ
	IPA	tsɯaɯ / tsaɯ / dzɯaɯ
了/瞭	假名	リヤ◦ウ／リヤーウ
	IPA	rijaɯ
撩	假名	リヤ◦ウ
	IPA	rijaɯ
繚	假名	リヤ◦ウ／リヤーウ
	IPA	rijaɯ
蓼	假名	リヤ◦ウ
	IPA	rijaɯ
芍	假名	シヨ／シヤ
	IPA	ɕijo / ɕija
挑	假名	タウ／テヤ◦ウ
	IPA	taɯ / tejaɯ
掉	假名	テヤ◦ウ
	IPA	tejaɯ
窕	假名	デヤウ／デヤーウ／テヤーウ
	IPA	dejaɯ / tejaɯ
杳	假名	ヤ◦ウ
	IPA	jaɯ
窈	假名	ヤウ／ヤーウ
	IPA	jaɯ
篠	假名	デヤ◦ウ
	IPA	dejaɯ
曉	假名	ヒヤ◦ウ／ヒヤーウ
	IPA	çijaɯ
鳥	假名	ニヤ◦ウ／ニヤウ／テウ／ニヤーウ
	IPA	nijaɯ / teɯ
皎/皦	假名	キヤウ
	IPA	kijaɯ
繳	假名	トツ
	IPA	toʔ
摽	假名	ピヤ◦ウ
	IPA	pijaɯ
鰾	假名	ビヤ◦ウ
	IPA	bijaɯ
僚	假名	リヤウ
	IPA	rijaɯ
燎	假名	リヤウ
	IPA	rijaɯ
繚	假名	リヤ◦ウ／リヤーウ
	IPA	rijaɯ
紹	假名	チヤ◦ウ
	IPA	tɕijaɯ
標	假名	ピヤ◦ウ
	IPA	pijaɯ
表	假名	ピヤ◦ウ／ヒヤ◦ウ／ビヤウ／ピヤウ
	IPA	pijaɯ / çijaɯ / bijaɯ
夭	假名	ヤーウ
	IPA	jaɯ
芺	假名	ハア◦ウ
	IPA	haːɯ
小	假名	スヤ◦ウ／シヤーウ／スヤーウ
	IPA	sɯjaɯ / ɕijaɯ
擾	假名	ジヤ◦ウ
	IPA	dʑijaɯ
繞/遶	假名	ジヤウ
	IPA	dʑijaɯ
渺	假名	ミヤ◦ウ
	IPA	mijaɯ
眇/緲	假名	ミヤーウ
	IPA	mijaɯ
藐	假名	ミヤーウ／ミヤウ
	IPA	mijaɯ
少	假名	シヤ◦ウ／シヤウ／シヤーウ
	IPA	ɕijaɯ
悄	假名	ツヤ◦ウ／スヤ◦ウ
	IPA	tsɯjaɯ / sɯjaɯ
愀	假名	ツアーウ
	IPA	tsɯaɯ
縹	假名	ピヤーウ
	IPA	pijaɯ
兆	假名	ヂヤ◦ウ／チヤーウ
	IPA	dʑijaɯ / tɕijaɯ
趙	假名	ツヤ◦
	IPA	tsɯja
沼	假名	チヤ◦ウ／チヤウ
	IPA	tɕijaɯ
嬌	假名	キヤ◦ウ
	IPA	kijaɯ
矯	假名	キヤーウ
	IPA	kijaɯ
鮑	假名	パ◦ウ
	IPA	paɯ
炒	假名	チヤ◦ウ
	IPA	tɕijaɯ
佼	假名	キヤ◦ウ
	IPA	kijaɯ
撓	假名	キヤ◦ウ
	IPA	kijaɯ
飽	假名	ハ◦ウ／パーウ
	IPA	haɯ / paɯ
拗	假名	ハアウ／ハ◦ウ
	IPA	haːɯ / haɯ
覆	假名	ヘ◦ウ／ヘウ／へ◦ウ／ホ／フーウ／ヘーウ
	IPA	heɯ / ho / ɸɯː
巧	假名	キヤ◦ウ／ギヤ◦ウ／キヤーウ
	IPA	kijaɯ / gijaɯ
爪	假名	サ゚◦ウ
	IPA	tsaɯ
佼	假名	キヤ◦ウ
	IPA	kijaɯ
攪	假名	キヤウ／キヤ◦ウ
	IPA	kijaɯ
狡	假名	キヤ◦ウ
	IPA	kijaɯ
絞	假名	キヤ◦ウ
	IPA	kijaɯ
鉸	假名	キヤ◦ウ
	IPA	kijaɯ
珀	假名	ベツ／ペ
	IPA	beʔ / pe
潦/澇	假名	ラ◦ウ／ラウ
	IPA	raɯ
老	假名	ラ◦ウ／ラーウ
	IPA	raɯ
昊	假名	ミン
	IPA	miN
鎬	假名	ア◦ウ
	IPA	aɯ
稻	假名	ダ◦ウ
	IPA	daɯ
道	假名	タ◦ウ／ダ◦ウ／ターウ／タウ／ダーウ
	IPA	taɯ / daɯ
舶	假名	ペツ
	IPA	peʔ
白	假名	ヘツ／ベツ／べツ／ペツ／べ／ペ／へ／バ／ヘ／ベ
	IPA	heʔ / beʔ / peʔ / be / pe / he / ba
葆	假名	パウ
	IPA	paɯ
百	假名	ヘツ／ペツ／ホツ／ポツ／べ／ペ
	IPA	heʔ / peʔ / hoʔ / poʔ / be / pe
邊	假名	ペン／ヘン
	IPA	peN / heN
鞭	假名	ペン
	IPA	peN
夭	假名	ヤーウ
	IPA	jaɯ
懊	假名	ア◦ウ
	IPA	aɯ
芺	假名	ハア◦ウ
	IPA	haːɯ
襖	假名	ハ◦ウ
	IPA	haɯ
艁	假名	ツアウ
	IPA	tsɯaɯ
造	假名	ヅア◦ウ／サ゚◦ウ／サ゚ーウ／サ゚ウ／ソ゚／ツアーウ
	IPA	dzɯaɯ / tsaɯ / tsɯo / tsɯaɯ
嫂	假名	スヱ◦ウ
	IPA	sɯeɯ
埽/掃	假名	サ◦ウ／スアウ／サーウ
	IPA	saɯ / sɯaɯ
燥	假名	サ◦ウ
	IPA	saɯ
好	假名	ハ◦ウ／ハーウ／ハウ
	IPA	haɯ
惱	假名	ナ◦ウ／ナーウ
	IPA	naɯ
腦	假名	ナ◦ウ
	IPA	naɯ
艸/草	假名	ツア◦ウ／ツアウ／ツノ◦ウ／ツワウ／サ゚◦ウ／サ◦ウ／ツアーウ／サ゚アーウ
	IPA	tsɯaɯ / tsɯnoɯ / tsɯwaɯ / tsaɯ / saɯ / tsaːɯ
栲	假名	カ◦ウ
	IPA	kaɯ
考	假名	カ◦ウ
	IPA	kaɯ
倒	假名	タ◦ウ／ターウ
	IPA	taɯ
島	假名	タ◦ウ
	IPA	taɯ
擣／搗	假名	タ◦ウ／タウ／ターウ
	IPA	taɯ
檮	假名	タ◦ウ
	IPA	taɯ
禂/禱	假名	ターウ
	IPA	taɯ
嶋	假名	ターウ
	IPA	taɯ
早	假名	サ゚◦ウ／サ◦ウ／サ゚／ツア◦ウ／サ゚ーウ／サ゚ウ／ツアーウ
	IPA	tsaɯ / saɯ / tsa / tsɯaɯ
棗	假名	ツア◦ウ
	IPA	tsɯaɯ
繅/繰	假名	ツア◦ウ
	IPA	tsɯaɯ
藻	假名	ツア◦ウ／サ゚◦ウ
	IPA	tsɯaɯ / tsaɯ
蚤	假名	サ゚◦ウ
	IPA	tsaɯ
𧎮	假名	ツア◦ウ
	IPA	tsɯaɯ
藁	假名	カ◦ウ
	IPA	kaɯ
套	假名	タ◦ウ
	IPA	taɯ
討	假名	タ◦ウ
	IPA	taɯ
嘹	假名	リヤ◦ウ
	IPA	rijaɯ
料	假名	リヤ◦ウ
	IPA	rijaɯ
掉	假名	テヤ◦ウ
	IPA	tejaɯ
藋	假名	チヨツ／テ
	IPA	tɕijoʔ / te
調	假名	デヤ◦ウ／チヤーウ／テヤーウ／テ゚ヤウ
	IPA	dejaɯ / tɕijaɯ / tejaɯ / dijaɯ
銚	假名	テヤ◦ウ
	IPA	tejaɯ
嘯	假名	スヤーウ
	IPA	sɯjaɯ
澆	假名	キヤ◦ウ
	IPA	kijaɯ
弔	假名	チヤ◦ウ／テヤ◦ウ
	IPA	tɕijaɯ / tejaɯ
釣	假名	チヤ◦ウ／テヤ◦ウ／テヤーウ
	IPA	tɕijaɯ / tejaɯ
吊	假名	テヤーウ
	IPA	tejaɯ
叫/呌	假名	キヤ◦ウ／キヤーウ
	IPA	kijaɯ
激	假名	キ
	IPA	ki
眺	假名	テアーウ／テヤーウ
	IPA	teaɯ / tejaɯ
搖	假名	ヤ◦ウ／ヤウ／ヤーウ
	IPA	jaɯ
曜/燿/耀	假名	ヤ◦ウ／ヤーウ
	IPA	jaɯ
鷂	假名	セウ／ヤ◦ウ
	IPA	seɯ / jaɯ
燎	假名	リヤウ
	IPA	rijaɯ
邵	假名	チヤ◦ウ
	IPA	tɕijaɯ
約	假名	ヤ
	IPA	ja
要	假名	ヤ◦ウ／ヤーウ
	IPA	jaɯ
笑/咲	假名	スヤ◦ウ／スヤウ／スヤーウ
	IPA	sɯjaɯ
鞘	假名	スヤ◦ウ
	IPA	sɯjaɯ
繞	假名	ジヤウ
	IPA	dʑijaɯ
饒	假名	ニヤウ／ジヤ◦ウ／ジヤウ／ジヤーウ
	IPA	nijaɯ / dʑijaɯ
妙	假名	シヤ◦ウ／ミヤ◦ウ／ミヤーウ／ミヤウ
	IPA	ɕijaɯ / mijaɯ
廟	假名	ミヤ◦ウ
	IPA	mijaɯ
少	假名	シヤ◦ウ／シヤウ／シヤーウ
	IPA	ɕijaɯ
燒	假名	シヤ◦ウ／シヤーウ
	IPA	ɕijaɯ
峭	假名	チヤ◦ウ
	IPA	tɕijaɯ
嫖	假名	ビヤ◦ウ／ピヤ◦ウ
	IPA	bijaɯ / pijaɯ
摽	假名	ピヤ◦ウ
	IPA	pijaɯ
漂	假名	ピヤ◦ウ
	IPA	pijaɯ
照	假名	チヤ◦ウ／チヤーウ／チヤウ
	IPA	tɕijaɯ
詔	假名	チ◦ヤウ
	IPA	tɕijaɯ
翹	假名	キヤ◦ウ／ギヤ◦ウ／キヤーウ
	IPA	kijaɯ / gijaɯ
轎	假名	キヤ◦ウ
	IPA	kijaɯ
鉋	假名	バ◦ウ
	IPA	baɯ
縐	假名	ツヱ◦ウ
	IPA	tsɯeɯ
耖	假名	チヤ◦ウ
	IPA	tɕijaɯ
鈔	假名	チヤ◦ウ
	IPA	tɕijaɯ
効/效	假名	ヤ◦ウ
	IPA	jaɯ
校	假名	キヤーウ
	IPA	kijaɯ
閙	假名	ナ◦ウ
	IPA	naɯ
巢	假名	ツアウ／サ゚ーウ
	IPA	tsɯaɯ / tsaɯ
爆	假名	パ◦ウ／バウ
	IPA	paɯ / baɯ
豹	假名	パ◦ウ／パーウ
	IPA	paɯ
皃/貌	假名	マ◦ウ／マーウ
	IPA	maɯ
孝	假名	ヒヤ◦ウ
	IPA	çijaɯ
巧	假名	キヤ◦ウ／ギヤ◦ウ／キヤーウ
	IPA	kijaɯ / gijaɯ
敲	假名	キヤ◦ウ
	IPA	kijaɯ
拋	假名	パウ
	IPA	paɯ
炮/礮	假名	パ◦ウ
	IPA	paɯ
抛	假名	パ◦ウ
	IPA	paɯ
棹	假名	ヅア◦ウ／ジヤ◦ウ／ザーウ／ヅアーウ
	IPA	dzɯaɯ / dʑijaɯ / zaɯ
櫂	假名	ツヤウ／ツアーウ
	IPA	tsɯjaɯ / tsɯaɯ
濯	假名	チヨ
	IPA	tɕijo
稍	假名	スヤ◦ウ
	IPA	sɯjaɯ
𣕇	假名	スヤ◦ウ
	IPA	sɯjaɯ
樂	假名	ヨ／ロ／ヤーウ／ヤ
	IPA	jo / ro / jaɯ / ja
罩	假名	チヤ◦ウ／ヅアウ
	IPA	tɕijaɯ / dzɯaɯ
教	假名	キヤ◦ウ／キヤーウ／キヤウ
	IPA	kijaɯ
校	假名	キヤーウ
	IPA	kijaɯ
膠	假名	キヤ◦ウ
	IPA	kijaɯ
覺	假名	キヤ／キヤ◦ウ／キヨ／キヤーウ
	IPA	kija / kijaɯ / kijo
較	假名	キヤ◦ウ
	IPA	kijaɯ
鉸	假名	キヤ◦ウ
	IPA	kijaɯ
暴/虣	假名	バ◦ウ／ハ◦ウ
	IPA	baɯ / haɯ
扁	假名	ペン
	IPA	peN
勞	假名	ラ◦ウ／ラウ／ラーウ
	IPA	raɯ
潦/澇	假名	ラ◦ウ／ラウ
	IPA	raɯ
号／號	假名	ハ◦ウ／ハーウ／ハウ
	IPA	haɯ
儔	假名	ヂウ／チウ／チーウ
	IPA	dʑiɯ / tɕiɯ
導	假名	ダ◦ウ／タ◦ウ／ターウ
	IPA	daɯ / taɯ
纛	假名	タ◦ウ
	IPA	taɯ
蹈	假名	ダーウ
	IPA	daɯ
盗	假名	ダ◦ウ
	IPA	daɯ
報	假名	パ◦ウ／パーウ
	IPA	paɯ
奧	假名	アーウ
	IPA	aɯ
懊	假名	ア◦ウ
	IPA	aɯ
漕	假名	サ゚◦ウ
	IPA	tsaɯ
噪／譟	假名	サ◦ウ／ソアウ
	IPA	saɯ / soaɯ
埽/掃	假名	サ◦ウ／スアウ／サーウ
	IPA	saɯ / sɯaɯ
扁/艑	假名	ペン
	IPA	peN
旄	假名	マ◦ウ
	IPA	maɯ
扁	假名	ペン
	IPA	peN
扁	假名	ペン
	IPA	peN
芼	假名	マ◦ウ
	IPA	maɯ
好	假名	ハ◦ウ／ハーウ／ハウ
	IPA	haɯ
腦	假名	ナ◦ウ
	IPA	naɯ
操	假名	サ゚ウ／ツアーウ
	IPA	tsaɯ / tsɯaɯ
艁	假名	ツアウ
	IPA	tsɯaɯ
