"繁体"	"简体"	"IPA"	"注释"	"来源"	""	"#符號說明："	"音標後的“*”表示讀音可能存疑，如聲母z、dz，dʐ、ʐ歸屬存疑，陽上陽去歸屬存疑等。"
"象"	"象"	"ziaŋ4"	"~牙"	"鄉音字類"	""	""	""
"像"	"像"	"ziaŋ4"	""	"鄉音字類"	""	""	""
"橡"	"橡"	"ziaŋ4"	"~皮"	"鄉音字類"	""	""	""
"匠"	"匠"	"ziaŋ6"	""	"鄉音字類"	""	""	""
"姜"	"姜"	"ʨiaŋ1"	"姓"	"鄉音字類"	""	""	""
"薑"	"姜"	"ʨiaŋ1"	"生~"	"鄉音字類"	""	""	""
"疆"	"疆"	"ʨiaŋ1"	"此~彼界"	"鄉音字類"	""	""	""
"韁"	"缰"	"ʨiaŋ1"	""	"鄉音字類"	""	""	""
"繮"	"缰"	"ʨiaŋ1"	"馬~繩"	"鄉音字類"	""	""	""
"僵"	"僵"	"ʨiaŋ1"	""	"鄉音字類"	""	""	""
"鏹"	"镪"	"ʨiaŋ3"	"本音。《廣韻》：居兩切"	"鄉音字類"	""	""	""
"鏹"	"镪"	"ʨʰiaŋ3"	"~水"	"蘇州同音常用字彙"	""	""	""
"襁"	"襁"	"ʨʰiaŋ3"	"~褓"	"蘇州同音常用字彙"	""	""	""
"襁"	"襁"	"ʨiaŋ3"	""	"鄉音字類"	""	""	""
"蜣"	"蜣"	"ʨʰiaŋ1"	""	"鄉音字類"	""	""	""
"羌"	"羌"	"ʨʰiaŋ1"	""	"鄉音字類"	""	""	""
"筐"	"筐"	"ʨʰiaŋ1"	"讀書音"	"鄉音字類"	""	""	""
"匡"	"匡"	"ʨʰiaŋ1"	"讀書音"	"鄉音字類"	""	""	""
"眶"	"眶"	"ʨʰiaŋ1"	""	"鄉音字類"	""	""	""
"強"	"强"	"ʨʰiaŋ3"	"勉~"	"蘇州同音常用字彙"	""	""	""
"強"	"强"	"ʥiaŋ2"	"先下手爲~"	"鄉音字類"	""	""	""
"彊"	"强"	"ʥiaŋ2"	""	"鄉音字類"	""	""	""
"香"	"香"	"ɕiaŋ1"	""	"鄉音字類"	""	""	""
"薌"	"芗"	"ɕiaŋ1"	""	"鄉音字類"	""	""	""
"鄉"	"乡"	"ɕiaŋ1"	"~村"	"鄉音字類"	""	""	""
"響"	"响"	"ɕiaŋ3"	""	"鄉音字類"	""	""	""
"嚮"	"向"	"ɕiaŋ3"	""	"鄉音字類"	""	""	""
"饗"	"飨"	"ɕiaŋ3"	""	"鄉音字類"	""	""	""
"蠁"	"蠁"	"ɕiaŋ3"	""	"鄉音字類"	""	""	""
"曏"	"向"	"ɕiaŋ3"	""	"鄉音字類"	""	""	""
"饟"	"饷"	"ɕiaŋ5"	""	"鄉音字類"	""	""	""
"餉"	"饷"	"ɕiaŋ5"	"軍~"	"鄉音字類"	""	""	""
"曏"	"向"	"ɕiaŋ5"	""	"鄉音字類"	""	""	""
"向"	"向"	"ɕiaŋ5"	"方~"	"鄉音字類"	""	""	""
"孃"	"孃"	"ȵiaŋ2"	""	"鄉音字類"	""	""	""
"娘"	"娘"	"ȵiaŋ2"	""	"鄉音字類"	""	""	""
"仰"	"仰"	"ȵiaŋ6"	"又音"	"蘇州同音常用字彙"	""	""	""
"仰"	"仰"	"ȵiaŋ4"	"~面求人"	"鄉音字類"	""	""	""
"釀"	"釀"	"ȵiaŋ6"	"酒~"	"鄉音字類"	""	""	""
"央"	"央"	"iaŋ1"	"中~"	"鄉音字類"	""	""	""
"秧"	"秧"	"iaŋ1"	"插~"	"鄉音字類"	""	""	""
"泱"	"泱"	"iaŋ1"	""	"鄉音字類"	""	""	""
"鴦"	"鸯"	"iaŋ1"	""	"鄉音字類"	""	""	""
"殃"	"殃"	"iaŋ1"	"遭~"	"鄉音字類"	""	""	""
"包"	"包"	"pɐɵ1"	""	"鄉音字類"	""	""	""
"苞"	"苞"	"pɐɵ1"	""	"鄉音字類"	""	""	""
"胞"	"胞"	"pɐɵ1"	""	"鄉音字類"	""	""	""
"褒"	"褒"	"pɐɵ1"	""	"鄉音字類"	""	""	""
"褒"	"褒"	"pøʏ1"	"~獎"	"蘇州同音常用字彙"	""	""	""
"裦"	"裦"	"pɐɵ1"	""	"鄉音字類"	""	""	""
"煲"	"煲"	"pɐɵ1"	"~一~"	"蘇州同音常用字彙"	""	""	""
"保"	"保"	"pɐɵ3"	""	"鄉音字類"	""	""	""
"葆"	"葆"	"pɐɵ3"	""	"鄉音字類"	""	""	""
"褓"	"褓"	"pɐɵ3"	""	"鄉音字類"	""	""	""
"鴇"	"鸨"	"pɐɵ3"	""	"鄉音字類"	""	""	""
"寶"	"宝"	"pɐɵ3"	""	"鄉音字類"	""	""	""
"堡"	"堡"	"pɐɵ3"	""	"鄉音字類"	""	""	""
"飽"	"饱"	"pɐɵ3"	""	"鄉音字類"	""	""	""
"豹"	"豹"	"pɐɵ5"	""	"鄉音字類"	""	""	""
"報"	"報"	"pɐɵ5"	""	"鄉音字類"	""	""	""
"儤"	"儤"	"pɐɵ5"	""	"鄉音字類"	""	""	""
"爆"	"爆"	"pɐɵ5"	"~眼睛；~炒米花"	"蘇州同音常用字彙"	""	""	""
"泡"	"泡"	"pʰɐɵ1"	""	"鄉音字類"	""	""	""
"抛"	"抛"	"pʰɐɵ1"	""	"鄉音字類"	""	""	""
"礮"	"礮"	"pʰɐɵ1"	""	"鄉音字類"	""	""	""
"砲"	"砲"	"pʰɐɵ1"	""	"鄉音字類"	""	""	""
"匏"	"匏"	"bɐɵ2"	""	"鄉音字類"	""	""	""
"炮"	"炮"	"bɐɵ2"	""	"鄉音字類"	""	""	""
"炰"	"炰"	"bɐɵ2"	""	"鄉音字類"	""	""	""
"庖"	"庖"	"bɐɵ2"	""	"鄉音字類"	""	""	""
"跑"	"跑"	"bɐɵ2"	""	"鄉音字類"	""	""	""
"袍"	"袍"	"bɐɵ2"	""	"鄉音字類"	""	""	""
"爮"	"爮"	"bɐɵ2"	"聲調類推，《字彙》：蒲交切，音庖。"	"蘇州同音常用字彙"	""	""	""
"鮑"	"鮑"	"bɐɵ4"	""	"鄉音字類"	""	""	""
"抱"	"抱"	"bɐɵ4"	""	"鄉音字類"	""	""	""
"暴"	"暴"	"bɐɵ6"	""	"鄉音字類"	""	""	""
"刨"	"刨"	"bɐɵ2"	"聲調類推"	"蘇州同音常用字彙"	""	""	""
"鑤"	"刨"	"bɐɵ6"	"推~"	"蘇州同音常用字彙"	""	""	""
"毛"	"毛"	"mɐɵ2"	""	"鄉音字類"	""	""	""
"髦"	"髦"	"mɐɵ2"	""	"鄉音字類"	""	""	""
"旄"	"旄"	"mɐɵ2"	""	"鄉音字類"	""	""	""
"氂"	"氂"	"mɐɵ2"	""	"鄉音字類"	""	""	""
"貓"	"猫"	"mɐɵ2"	""	"鄉音字類"	""	""	""
"茅"	"茅"	"mɐɵ2"	"~柴"	"鄉音字類"	""	""	""
"犛"	"犛"	"mɐɵ2"	""	"鄉音字類"	""	""	""
"牡"	"牡"	"mɐɵ4"	"~丹"	"蘇州同音常用字彙"	""	""	""
"卯"	"卯"	"mɐɵ4"	""	"鄉音字類"	""	""	""
"泖"	"泖"	"mɐɵ4"	""	"鄉音字類"	""	""	""
"昴"	"昴"	"mɐɵ4"	""	"鄉音字類"	""	""	""
"冒"	"冒"	"mɐɵ6"	"~充"	"鄉音字類"	""	""	""
"帽"	"帽"	"mɐɵ6"	"~子"	"鄉音字類"	""	""	""
"媢"	"媢"	"mɐɵ6"	""	"鄉音字類"	""	""	""
"芼"	"芼"	"mɐɵ6"	""	"鄉音字類"	""	""	""
"眊"	"眊"	"mɐɵ6"	""	"鄉音字類"	""	""	""
"耄"	"耄"	"mɐɵ6"	""	"鄉音字類"	""	""	""
"瑁"	"瑁"	"mɐɵ6"	""	"鄉音字類"	""	""	""
"貌"	"貌"	"mɐɵ6"	"人不可~相"	"鄉音字類"	""	""	""
"刀"	"刀"	"tɐɵ1"	""	"鄉音字類"	""	""	""
"舠"	"舠"	"tɐɵ1"	""	"鄉音字類"	""	""	""
"忉"	"忉"	"tɐɵ1"	""	"鄉音字類"	""	""	""
"到"	"到"	"tɐɵ5"	""	"鄉音字類"	""	""	""
"倒"	"倒"	"tɐɵ5"	""	"鄉音字類"	""	""	""
"韜"	"韬"	"tʰɐɵ1"	""	"鄉音字類"	""	""	""
"縚"	"绦"	"tʰɐɵ1"	""	"鄉音字類"	""	""	""
"滔"	"滔"	"tʰɐɵ1"	"~~不絕"	"鄉音字類"	""	""	""
"慆"	"慆"	"tʰɐɵ1"	""	"鄉音字類"	""	""	""
"條"	"条"	"tʰɐɵ1"	""	"鄉音字類"	""	""	""
"饕"	"饕"	"tʰɐɵ1"	""	"鄉音字類"	""	""	""
"弢"	"弢"	"tʰɐɵ1"	""	"鄉音字類"	""	""	""
"洮"	"洮"	"tʰɐɵ1"	""	"鄉音字類"	""	""	""
"叨"	"叨"	"tʰɐɵ1"	"~光"	"鄉音字類"	""	""	""
"槄"	"槄"	"tʰɐɵ1"	""	"鄉音字類"	""	""	""
"討"	"討"	"tʰɐɵ3"	"~債"	"鄉音字類"	""	""	""
"濤"	"涛"	"dɐɵ2"	""	"鄉音字類"	""	""	""
"檮"	"梼"	"dɐɵ2"	""	"鄉音字類"	""	""	""
"翿"	"翿"	"dɐɵ2"	""	"鄉音字類"	""	""	""
"桃"	"桃"	"dɐɵ2"	"~子"	"鄉音字類"	""	""	""
"逃"	"逃"	"dɐɵ2"	"~走"	"鄉音字類"	""	""	""
"鼗"	"鼗"	"dɐɵ2"	""	"鄉音字類"	""	""	""
"咷"	"咷"	"dɐɵ2"	""	"鄉音字類"	""	""	""
"陶"	"陶"	"dɐɵ2"	"姓"	"鄉音字類"	""	""	""
"萄"	"萄"	"dɐɵ2"	""	"鄉音字類"	""	""	""
"綯"	"绹"	"dɐɵ2"	""	"鄉音字類"	""	""	""
"淘"	"淘"	"dɐɵ2"	"~米"	"鄉音字類"	""	""	""
"稻"	"稻"	"dɐɵ4"	"~柴"	"鄉音字類"	""	""	""
"道"	"道"	"dɐɵ4"	""	"鄉音字類"	""	""	""
"盗"	"盗"	"dɐɵ6"	"强~"	"鄉音字類"	""	""	""
"導"	"导"	"dɐɵ6"	""	"鄉音字類"	""	""	""
"悼"	"悼"	"dɐɵ6"	""	"鄉音字類"	""	""	""
"蹈"	"蹈"	"dɐɵ6"	""	"鄉音字類"	""	""	""
"幬"	"帱"	"dɐɵ6"	""	"鄉音字類"	""	""	""
"燾"	"焘"	"dɐɵ6"	""	"鄉音字類"	""	""	""
"纛"	"纛"	"dɐɵ6"	""	"鄉音字類"	""	""	""
"鐃"	"铙"	"nɐɵ2"	""	"鄉音字類"	""	""	""
"橈"	"桡"	"nɐɵ2"	""	"鄉音字類"	""	""	""
"怓"	"怓"	"nɐɵ2"	""	"鄉音字類"	""	""	""
"呶"	"呶"	"nɐɵ2"	""	"鄉音字類"	""	""	""
"峱"	"峱"	"nɐɵ2"	""	"鄉音字類"	""	""	""
"猱"	"猱"	"nɐɵ2"	""	"鄉音字類"	""	""	""
"獶"	"獶"	"nɐɵ2"	""	"鄉音字類"	""	""	""
"𥓁"	"硇"	"nɐɵ2"	"~砂膏。聲調據《集韻》：尼交切，𠀤音鐃"	"蘇州同音常用字彙"	""	""	""
"惱"	"恼"	"nɐɵ4"	"煩~"	"鄉音字類"	""	""	""
"腦"	"脑"	"nɐɵ4"	"~子"	"鄉音字類"	""	""	""
"𠜶"	"𠜶"	"nɐɵ4"	""	"鄉音字類"	""	""	""
"瑙"	"瑙"	"nɐɵ4"	""	"鄉音字類"	""	""	""
"撓"	"挠"	"nɐɵ4"	""	"鄉音字類"	""	""	""
"勞"	"劳"	"lɐɵ2"	""	"鄉音字類"	""	""	""
"撈"	"捞"	"lɐɵ1"	"~起來"	"鄉音字類"	""	""	""
"牢"	"牢"	"lɐɵ2"	""	"鄉音字類"	""	""	""
"醪"	"醪"	"lɐɵ2"	""	"鄉音字類"	""	""	""
"癆"	"痨"	"lɐɵ2"	""	"鄉音字類"	""	""	""
"膋"	"膋"	"lɐɵ2"	""	"鄉音字類"	""	""	""
"潦"	"潦"	"lɐɵ4"	""	"鄉音字類"	""	""	""
"老"	"老"	"lɐɵ4"	""	"鄉音字類"	""	""	""
"遭"	"遭"	"ʦɐɵ1"	""	"鄉音字類"	""	""	""
"糟"	"糟"	"ʦɐɵ1"	"~鴨"	"鄉音字類"	""	""	""
"蹧"	"糟"	"ʦɐɵ1"	""	"蘇州同音常用字彙"	""	""	""
"搔"	"搔"	"ʦɐɵ1"	"~着痛處"	"鄉音字類"	""	""	""
"罺"	"罺"	"ʦɐɵ1"	""	"鄉音字類"	""	""	""
"藻"	"藻"	"ʦɐɵ3"	""	"鄉音字類"	""	""	""
"澡"	"澡"	"ʦɐɵ3"	""	"鄉音字類"	""	""	""
"璪"	"璪"	"ʦɐɵ3"	""	"鄉音字類"	""	""	""
"棗"	"枣"	"ʦɐɵ3"	"~子"	"鄉音字類"	""	""	""
"早"	"早"	"ʦɐɵ3"	"起~起"	"鄉音字類"	""	""	""
"繰"	"缲"	"ʦɐɵ3"	""	"鄉音字類"	""	""	""
"爪"	"爪"	"ʦɐɵ3"	"腳~"	"鄉音字類"	""	""	""
"罩"	"罩"	"ʦɐɵ5"	"飯~"	"鄉音字類"	""	""	""
"躁"	"躁"	"ʦɐɵ5"	"暴~"	"鄉音字類"	""	""	""
"鈔"	"钞"	"ʦʰɐɵ1"	"又音"	"鄉音字類"	""	""	""
"抄"	"抄"	"ʦʰɐɵ1"	"~寫"	"鄉音字類"	""	""	""
"草"	"草"	"ʦʰɐɵ3"	"~紙"	"鄉音字類"	""	""	""
"懆"	"懆"	"ʦʰɐɵ3"	""	"鄉音字類"	""	""	""
"慅"	"慅"	"ʦʰɐɵ3"	""	"鄉音字類"	""	""	""
"炒"	"炒"	"ʦʰɐɵ3"	"~飯"	"鄉音字類"	""	""	""
"操"	"操"	"ʦʰɐɵ5"	""	"鄉音字類"	""	""	""
"慥"	"慥"	"ʦʰɐɵ5"	""	"鄉音字類"	""	""	""
"糙"	"糙"	"ʦʰɐɵ5"	"~米"	"鄉音字類"	""	""	""
"梢"	"梢"	"sɐɵ1"	"掮木~"	"鄉音字類"	""	""	""
"旓"	"旓"	"sɐɵ1"	""	"鄉音字類"	""	""	""
"蛸"	"蛸"	"sɐɵ1"	""	"鄉音字類"	""	""	""
"捎"	"捎"	"sɐɵ1"	""	"鄉音字類"	""	""	""
"弰"	"弰"	"sɐɵ1"	""	"鄉音字類"	""	""	""
"筲"	"筲"	"sɐɵ1"	"~~"	"鄉音字類"	""	""	""
"艘"	"艘"	"sɐɵ1"	""	"鄉音字類"	""	""	""
"繅"	"繅"	"sɐɵ1"	"~絲"	"鄉音字類"	""	""	""
"騷"	"骚"	"sɐɵ1"	""	"鄉音字類"	""	""	""
"臊"	"臊"	"sɐɵ1"	""	"鄉音字類"	""	""	""
"溞"	"溞"	"sɐɵ1"	""	"鄉音字類"	""	""	""
"嫂"	"嫂"	"sɐɵ3"	""	"鄉音字類"	""	""	""
"掃"	"扫"	"sɐɵ3"	""	"鄉音字類"	""	""	""
"埽"	"埽"	"sɐɵ3"	""	"蘇州同音常用字彙"	""	""	""
"埽"	"埽"	"sɐɵ5"	""	"蘇州同音常用字彙"	""	""	""
"譟"	"噪"	"sɐɵ5"	""	"鄉音字類"	""	""	""
"噪"	"噪"	"sɐɵ5"	"鵲~"	"鄉音字類"	""	""	""
"燥"	"燥"	"sɐɵ3"	"又音"	"蘇州同音常用字彙"	""	""	""
"燥"	"燥"	"sɐɵ5"	"乾~"	"鄉音字類"	""	""	""
"氉"	"氉"	"sɐɵ5"	""	"鄉音字類"	""	""	""
"𢜶"	"𢜶"	"sɐɵ5"	"快~點"	"蘇州同音常用字彙"	""	""	""
"罺"	"罺"	"zɐɵ2"	""	"鄉音字類"	""	""	""
"樔"	"樔"	"zɐɵ2"	""	"鄉音字類"	""	""	""
"曹"	"曹"	"zɐɵ2"	"姓"	"鄉音字類"	""	""	""
"槽"	"槽"	"zɐɵ2"	"馬~"	"鄉音字類"	""	""	""
"螬"	"螬"	"zɐɵ2"	""	"鄉音字類"	""	""	""
"嘈"	"嘈"	"zɐɵ2"	"~雜"	"鄉音字類"	""	""	""
"巢"	"巢"	"zɐɵ2"	""	"鄉音字類"	""	""	""
"造"	"造"	"zɐɵ4"	""	"鄉音字類"	""	""	""
"皁"	"皁"	"zɐɵ4"	""	"鄉音字類"	""	""	""
"櫂"	"櫂"	"zɐɵ6"	""	"鄉音字類"	""	""	""
"漕"	"漕"	"zɐɵ2"	"~糧"	"蘇州同音常用字彙"	""	""	""
"漕"	"漕"	"zɐɵ6"	"~糧"	"鄉音字類"	""	""	""
"高"	"高"	"kɐɵ1"	"姓"	"鄉音字類"	""	""	""
"篙"	"篙"	"kɐɵ1"	"~子"	"鄉音字類"	""	""	""
"膏"	"膏"	"kɐɵ1"	"~藥"	"鄉音字類"	""	""	""
"羔"	"羔"	"kɐɵ1"	""	"鄉音字類"	""	""	""
"餻"	"糕"	"kɐɵ1"	""	"鄉音字類"	""	""	""
"鼛"	"鼛"	"kɐɵ1"	""	"鄉音字類"	""	""	""
"櫜"	"櫜"	"kɐɵ1"	""	"鄉音字類"	""	""	""
"皐"	"皋"	"kɐɵ1"	""	"鄉音字類"	""	""	""
"皋"	"皋"	"kɐɵ1"	"~橋"	"鄉音字類"	""	""	""
"槹"	"槔"	"kɐɵ1"	""	"鄉音字類"	""	""	""
"槔"	"槔"	"kɐɵ1"	""	"鄉音字類"	""	""	""
"睾"	"睾"	"kɐɵ1"	""	"鄉音字類"	""	""	""
"縞"	"缟"	"kɐɵ3"	""	"鄉音字類"	""	""	""
"槁"	"槁"	"kɐɵ3"	""	"鄉音字類"	""	""	""
"稾"	"稿"	"kɐɵ3"	""	"鄉音字類"	""	""	""
"杲"	"杲"	"kɐɵ3"	""	"鄉音字類"	""	""	""
"皜"	"皜"	"kɐɵ3"	""	"鄉音字類"	""	""	""
"槀"	"槁"	"kɐɵ3"	""	"鄉音字類"	""	""	""
"告"	"告"	"kɐɵ5"	""	"鄉音字類"	""	""	""
"誥"	"诰"	"kɐɵ5"	""	"鄉音字類"	""	""	""
"郜"	"郜"	"kɐɵ5"	""	"鄉音字類"	""	""	""
"窖"	"窖"	"kɐɵ5"	"地~"	"鄉音字類"	""	""	""
"尻"	"尻"	"kʰɐɵ1"	""	"鄉音字類"	""	""	""
"考"	"考"	"kʰɐɵ3"	""	"鄉音字類"	""	""	""
"栲"	"栲"	"kʰɐɵ3"	""	"鄉音字類"	""	""	""
"拷"	"拷"	"kʰɐɵ3"	""	"鄉音字類"	""	""	""
"薧"	"薧"	"kʰɐɵ3"	""	"鄉音字類"	""	""	""
"舀"	"舀"	"kʰɐɵ3"	"白讀：~水家生。"	"蘇州同音常用字彙"	""	""	""
"犒"	"犒"	"kʰɐɵ5"	""	"鄉音字類"	""	""	""
"靠"	"靠"	"kʰɐɵ5"	"~天吃飯箇句說話，是~弗住个"	"鄉音字類"	""	""	""
"蒿"	"蒿"	"hɐɵ1"	"青~"	"鄉音字類"	""	""	""
"烋"	"烋"	"hɐɵ1"	""	"鄉音字類"	""	""	""
"虓"	"虓"	"hɐɵ1"	""	"鄉音字類"	""	""	""
"哮"	"哮"	"hɐɵ1"	""	"鄉音字類"	""	""	""
"嚆"	"嚆"	"hɐɵ1"	""	"鄉音字類"	""	""	""
"好"	"好"	"hɐɵ3"	""	"鄉音字類"	""	""	""
"虓"	"虓"	"hɐɵ5"	""	"鄉音字類"	""	""	""
"虣"	"虣"	"hɐɵ5"	""	"鄉音字類"	""	""	""
"秏"	"秏"	"hɐɵ5"	""	"鄉音字類"	""	""	""
"毫"	"毫"	"ɦɐɵ2"	"一絲一~"	"鄉音字類"	""	""	""
"豪"	"豪"	"ɦɐɵ2"	"~傑"	"鄉音字類"	""	""	""
"濠"	"濠"	"ɦɐɵ2"	"城~"	"鄉音字類"	""	""	""
"㩝"	"㩝"	"ɦɐɵ2"	"比較數目或容量多少：~定吃一碗飯"	"蘇州同音常用字彙"	""	""	""
"壕"	"壕"	"ɦɐɵ2"	"戰~"	"鄉音字類"	""	""	""
"嚎"	"嚎"	"ɦɐɵ2"	""	"鄉音字類"	""	""	""
"昊"	"昊"	"ɦɐɵ4"	""	"鄉音字類"	""	""	""
"灝"	"灏"	"ɦɐɵ4"	""	"鄉音字類"	""	""	""
"顥"	"颢"	"ɦɐɵ4"	""	"鄉音字類"	""	""	""
"鎬"	"镐"	"ɦɐɵ4"	""	"鄉音字類"	""	""	""
"皓"	"皓"	"ɦɐɵ4"	""	"鄉音字類"	""	""	""
"浩"	"浩"	"ɦɐɵ4"	"用途~繁"	"鄉音字類"	""	""	""
"皞"	"皞"	"ɦɐɵ4"	""	"鄉音字類"	""	""	""
"號"	"号"	"ɦɐɵ2"	"呼號"	"蘇州同音常用字彙"	""	""	""
"號"	"号"	"ɦɐɵ6"	"店~"	"鄉音字類"	""	""	""
"昊"	"昊"	"ɦɐɵ6"	""	"鄉音字類"	""	""	""
"浩"	"浩"	"ɦɐɵ6"	"據《集韻》：居號切"	"鄉音字類"	""	""	""
"敖"	"敖"	"ŋɐɵ2"	""	"鄉音字類"	""	""	""
"鼇"	"鳌"	"ŋɐɵ2"	""	"鄉音字類"	""	""	""
"璈"	"璈"	"ŋɐɵ2"	""	"鄉音字類"	""	""	""
"螯"	"螯"	"ŋɐɵ2"	""	"鄉音字類"	""	""	""
"獒"	"獒"	"ŋɐɵ2"	""	"鄉音字類"	""	""	""
"聱"	"聱"	"ŋɐɵ2"	""	"鄉音字類"	""	""	""
"熬"	"熬"	"ŋɐɵ2"	"~膏藥"	"鄉音字類"	""	""	""
"嗸"	"嗸"	"ŋɐɵ2"	""	"鄉音字類"	""	""	""
"謷"	"謷"	"ŋɐɵ2"	""	"鄉音字類"	""	""	""
"遨"	"遨"	"ŋɐɵ2"	"~遊"	"鄉音字類"	""	""	""
"翱"	"翱"	"ŋɐɵ2"	""	"鄉音字類"	""	""	""
"磝"	"磝"	"ŋɐɵ2"	""	"鄉音字類"	""	""	""
"奡"	"奡"	"ŋɐɵ6"	""	"鄉音字類"	""	""	""
"傲"	"傲"	"ŋɐɵ6"	"驕~"	"鄉音字類"	""	""	""
"驁"	"骜"	"ŋɐɵ6"	""	"鄉音字類"	""	""	""
"坳"	"坳"	"ɐɵ1"	""	"鄉音字類"	""	""	""
"凹"	"凹"	"ɐɵ1"	"~進去"	"鄉音字類"	""	""	""
"㘭"	"㘭"	"ɐɵ1"	"同“坳”。"	"鄉音字類"	""	""	""
"鏖"	"鏖"	"ɐɵ1"	""	"鄉音字類"	""	""	""
"襖"	"袄"	"ɐɵ3"	"棉~"	"鄉音字類"	""	""	""
"拗"	"拗"	"ɐɵ3"	"~斷俚"	"鄉音字類"	""	""	""
"懊"	"懊"	"ɐɵ3"	""	"鄉音字類"	""	""	""
"奥"	"奥"	"ɐɵ5"	""	"鄉音字類"	""	""	""
"懊"	"懊"	"ɐɵ5"	"~悔"	"鄉音字類"	""	""	""
"隩"	"隩"	"ɐɵ5"	""	"鄉音字類"	""	""	""
"墺"	"墺"	"ɐɵ5"	""	"鄉音字類"	""	""	""
"澳"	"澳"	"ɐɵ5"	"~洲"	"鄉音字類"	""	""	""
"昭"	"昭"	"ɐɵ5"	""	"鄉音字類"	""	""	""
"標"	"標"	"piɐɵ1"	""	"鄉音字類"	""	""	""
"飆"	"飆"	"piɐɵ1"	""	"鄉音字類"	""	""	""
"熛"	"熛"	"piɐɵ1"	""	"鄉音字類"	""	""	""
"杓"	"杓"	"piɐɵ1"	""	"鄉音字類"	""	""	""
"摽"	"摽"	"piɐɵ1"	""	"鄉音字類"	""	""	""
"𦔩"	"𦔩"	"piɐɵ1"	""	"鄉音字類"	""	""	""
"鑣"	"鑣"	"piɐɵ1"	""	"鄉音字類"	""	""	""
"儦"	"儦"	"piɐɵ1"	""	"鄉音字類"	""	""	""
"瀌"	"瀌"	"piɐɵ1"	""	"鄉音字類"	""	""	""
"彪"	"彪"	"piɐɵ1"	""	"鄉音字類"	""	""	""
"表"	"表"	"piɐɵ3"	"~兄弟"	"鄉音字類"	""	""	""
"錶"	"表"	"piɐɵ1"	"手~"	"蘇州同音常用字彙"	""	""	""
"裱"	"裱"	"piɐɵ3"	""	"蘇州同音常用字彙"	""	""	""
"飄"	"飄"	"pʰiɐɵ1"	""	"鄉音字類"	""	""	""
"漂"	"漂"	"pʰiɐɵ1"	""	"鄉音字類"	""	""	""
"嘌"	"嘌"	"pʰiɐɵ1"	""	"鄉音字類"	""	""	""
"彯"	"彯"	"pʰiɐɵ1"	""	"鄉音字類"	""	""	""
"嫖"	"嫖"	"pʰiɐɵ1"	""	"鄉音字類"	""	""	""
"摽"	"摽"	"pʰiɐɵ3"	""	"鄉音字類"	""	""	""
"縹"	"縹"	"pʰiɐɵ3"	""	"鄉音字類"	""	""	""
"漂"	"漂"	"pʰiɐɵ3"	""	"鄉音字類"	""	""	""
"皫"	"皫"	"pʰiɐɵ3"	""	"鄉音字類"	""	""	""
"瓢"	"瓢"	"biɐɵ2"	""	"鄉音字類"	""	""	""
"剽"	"剽"	"biɐɵ2"	""	"鄉音字類"	""	""	""
"苗"	"苗"	"miɐɵ2"	""	"鄉音字類"	""	""	""
"描"	"描"	"miɐɵ2"	""	"鄉音字類"	""	""	""
"瞄"	"瞄"	"miɐɵ2"	"~準"	"蘇州同音常用字彙"	""	""	""
"藐"	"藐"	"miɐɵ4"	""	"鄉音字類"	""	""	""
"杪"	"杪"	"miɐɵ4"	""	"鄉音字類"	""	""	""
"秒"	"秒"	"miɐɵ4"	""	"鄉音字類"	""	""	""
"眇"	"眇"	"miɐɵ4"	""	"鄉音字類"	""	""	""
"渺"	"渺"	"miɐɵ4"	""	"鄉音字類"	""	""	""
"緲"	"緲"	"miɐɵ4"	""	"鄉音字類"	""	""	""
"廟"	"庙"	"miɐɵ6"	""	"鄉音字類"	""	""	""
"妙"	"妙"	"miɐɵ6"	""	"鄉音字類"	""	""	""
"庿"	"庿"	"miɐɵ6"	""	"鄉音字類"	""	""	""
"鵰"	"雕"	"tiɐɵ1"	""	"蘇州同音常用字彙"	""	""	""
"雕"	"雕"	"tiɐɵ1"	"~刻"	"鄉音字類"	""	""	""
"凋"	"凋"	"tiɐɵ1"	""	"鄉音字類"	""	""	""
"彫"	"彫"	"tiɐɵ1"	""	"鄉音字類"	""	""	""
"刁"	"刁"	"tiɐɵ1"	""	"鄉音字類"	""	""	""
"貂"	"貂"	"tiɐɵ1"	""	"鄉音字類"	""	""	""
"琱"	"琱"	"tiɐɵ1"	""	"鄉音字類"	""	""	""
"碉"	"碉"	"tiɐɵ1"	""	"鄉音字類"	""	""	""
"鳥"	"鸟"	"tiɐɵ3"	"白讀"	"蘇州同音常用字彙"	""	""	""
"釣"	"钓"	"tiɐɵ5"	"~魚"	"鄉音字類"	""	""	""
"弔"	"吊"	"tiɐɵ5"	""	"鄉音字類"	""	""	""
"銚"	"铫"	"tiɐɵ5"	"~子"	"蘇州同音常用字彙"	""	""	""
"挑"	"挑"	"tʰiɐɵ1"	""	"鄉音字類"	""	""	""
"祧"	"祧"	"tʰiɐɵ1"	"兼~子"	"鄉音字類"	""	""	""
"佻"	"佻"	"tʰiɐɵ1"	""	"鄉音字類"	""	""	""
"銚"	"铫"	"tʰiɐɵ1"	""	"鄉音字類"	""	""	""
"恌"	"恌"	"tʰiɐɵ1"	""	"鄉音字類"	""	""	""
"𣂁"	"𣂁"	"tʰiɐɵ1"	""	"鄉音字類"	""	""	""
