"漢字"	"拼音"	"IPA"	"注釋"	"说明"
"羨"	"iang6"	"iaŋ˧˥"		
"展"	"tiang2"	"tiaŋ˥˨"		
"纏"	"tinn5"	"ti ̃˥˥"		
"氈"	"tsinn1"	"tɕi ̃˧˧"		
"戰"	"tsiang3"	"tɕiaŋ˨˩˨"		
"顫"	"tsiang3"	"tɕiaŋ˨˩˨"		
"膻"	"tsiang1"	"tɕiaŋ˧˧"	"俗"	
"膻"	"sang1"	"saŋ˧˧"		
"扇"	"sinn3"	"ɕi ̃˨˩˨"		
"扇"	"siang3"	"ɕiaŋ˨˩˨"	"文"	
"蟬"	"siam5"	"ɕiam˥˥"		
"蟬"	"sung5"	"suŋ˥˥"	"俗"	
"禪"	"siam5"	"ɕiam˥˥"		
"禪"	"siang5"	"ɕiaŋ˥˥"	"又"	
"善"	"siang6"	"ɕiaŋ˧˥"		
"膳"	"siang6"	"ɕiaŋ˧˥"		
"擅"	"siang6"	"ɕiaŋ˧˥"		
"禪"	"siang6"	"ɕiaŋ˧˥"		
"然"	"dziang5"	"dziaŋ˥˥"		
"燃"	"hiann5"	"hia ̃˥˥"	"白"	
"燃"	"dziang5"	"dziaŋ˥˥"		
"遣"	"tshiang2"	"tɕʰiaŋ˥˨"		
"乾"	"khiang5"	"kʰiaŋ˥˥"		
"虔"	"khiang5"	"kʰiaŋ˥˥"		
"件"	"kiann6"	"kia ̃˧˥"		
"諺"	"ngang6"	"ŋaŋ˧˥"		
"焉"	"iang1"	"iaŋ˧˧"		
"延"	"iang6"	"iaŋ˧˥"		
"筵"	"iang6"	"iaŋ˧˥"		
"演"	"ing5"	"iŋ˥˥"		
"建"	"kiang6"	"kiaŋ˧˥"		
"鍵"	"kiang6"	"kiaŋ˧˥"		
"健"	"kiang6"	"kiaŋ˧˥"		
"腱"	"kiang6"	"kiaŋ˧˥"		
"言"	"ngang5"	"ŋaŋ˥˥"		
"軒"	"hurng1"	"hɯŋ˧˧"		
"掀"	"hurng1"	"hɯŋ˧˧"		
"掀"	"hiang1"	"hiaŋ˧˧"	"文"	
"憲"	"hiang3"	"hiaŋ˨˩˨"		
"獻"	"hiang3"	"hiaŋ˨˩˨"		
"蔫"	"iang1"	"iaŋ˧˧"		
"堰"	"iam1"	"iam˧˧"	"又"	
"堰"	"iang1"	"iaŋ˧˧"	"又"	
"堰"	"iam2"	"iam˥˨"	"又"	
"堰"	"iang2"	"iaŋ˥˨"		
"邊"	"pinn1"	"pi ̃˧˧"	"白"	
"邊"	"piang1"	"piaŋ˧˧"		
"蝙"	"phiang1"	"pʰiaŋ˧˧"		
"蝙"	"piang2"	"piaŋ˥˨"	"又"	
"扁"	"pinn2"	"pi ̃˥˨"		
"扁"	"piang2"	"piaŋ˥˨"	"文"	
"扁"	"phiang1"	"pʰiaŋ˧˧"	"又"	
"匾"	"piang2"	"piaŋ˥˨"		
"遍"	"phiang3"	"pʰiaŋ˨˩˨"		
"片"	"phiang3"	"pʰiaŋ˨˩˨"		
"駢"	"peng6"	"peŋ˧˥"		
"辮"	"pinn1"	"pi ̃˧˧"		
"眠"	"ming5"	"miŋ˥˥"		
"面"	"ming7"	"miŋ˧˩"		
"顛"	"ting1"	"tiŋ˧˧"	"白，~倒"	
"顛"	"tiang1"	"tiaŋ˧˧"		
"典"	"tiang2"	"tiaŋ˥˨"		
"典"	"tiam2"	"tiam˥˨"	"又"	
"天"	"thinn1"	"tʰi ̃˧˧"		
"天"	"thiang1"	"tʰiaŋ˧˧"	"文"	
"田"	"thiang5"	"tʰiaŋ˥˥"		
"田"	"tshang5"	"tsʰaŋ˥˥"	"俗"	
"填"	"thiang5"	"tʰiaŋ˥˥"		
"電"	"tiang6"	"tiaŋ˧˥"		
"殿"	"toinn7"	"toi ̃˧˩"		
"殿"	"tiang6"	"tiaŋ˧˥"	"文"	
"奠"	"tiang6"	"tiaŋ˧˥"		
"佃"	"toinn6"	"toi ̃˧˥"		
"佃"	"thiang5"	"tʰiaŋ˥˥"	"文"	
"年"	"ninn5"	"ni ̃˥˥"		
"攆"	"leng2"	"leŋ˥˨"		
"撚"	"liang2"	"liaŋ˥˨"		
"撚"	"niam3"	"niam˨˩˨"	"又"	
"憐"	"liang5"	"liaŋ˥˥"		
"蓮"	"noinn5"	"noi ̃˥˥"		
"蓮"	"liang5"	"liaŋ˥˥"	"文"	
"練"	"liang7"	"liaŋ˧˩"		
"煉"	"liang7"	"liaŋ˧˩"		
"箋"	"tsiang1"	"tɕiaŋ˧˧"		
"薦"	"tsing3"	"tɕiŋ˨˩˨"		
"千"	"tshoinn1"	"tsʰoi ̃˧˧"		
"前"	"tsoinn5"	"tsoi ̃˥˥"		
"先"	"soinn1"	"soi ̃˧˧"		
"先"	"sing1"	"ɕiŋ˧˧"	"文，~生"	
"肩"	"koinn1"	"koi ̃˧˧"		
"堅"	"kiang1"	"kiaŋ˧˧"		
"繭"	"koinn2"	"koi ̃˥˨"		
"見"	"kinn3"	"ki ̃˨˩˨"	"白"	
"見"	"kiang3"	"kiaŋ˨˩˨"		
"牽"	"khang1"	"kʰaŋ˧˧"		
"研"	"ngiang2"	"ŋiaŋ˥˨"		
"硯"	"nginn7"	"ŋi ̃˧˩"		
"顯"	"hiang2"	"hiaŋ˥˨"		
"賢"	"hiang5"	"hiaŋ˥˥"		
"弦"	"hinn5"	"hi ̃˥˥"		
"現"	"hing7"	"hiŋ˧˩"		
"現"	"heng7"	"heŋ˧˩"	"又"	
"現"	"hiang7"	"hiaŋ˧˩"	"又"	
"煙"	"ing1"	"iŋ˧˧"		
"煙"	"eng1"	"eŋ˧˧"	"又"	
"燕"	"inn3"	"i ̃˨˩˨"		
"咽"	"ing1"	"iŋ˧˧"		
"咽"	"iang3"	"iaŋ˨˩˨"	"又"	
"咽"	"iak4"	"iak˨"	"又"	
"宴"	"ang3"	"aŋ˨˩˨"		
"獺"	"thuah4"	"tʰuaʔ˨"		
"達"	"tak4"	"tak˨"		
"捺"	"nap8"	"nap˥˦"		
"辣"	"luah8"	"luaʔ˥˦"		
"辣"	"luah4"	"luaʔ˨"	"又"	
"辣"	"lah8"	"laʔ˥˦"	"又"	
"癩"	"thai2"	"tʰai˥˨"	"俗"	
"癩"	"nai6"	"nai˧˥"		
"擦"	"tshak4"	"tsʰak˨"		
"撒"	"suah4"	"suaʔ˨"		
"撒"	"sak4"	"sak˨"	"文"	
"薩"	"sak4"	"sak˨"		
"割"	"kuah4"	"kuaʔ˨"		
"葛"	"kuah4"	"kuaʔ˨"		
"渴"	"kuah4"	"kuaʔ˨"		
"喝"	"huah4"	"huaʔ˨"		
"曷"	"hak4"	"hak˨"		
"八"	"poih4"	"poiʔ˨"		
"八"	"pah4"	"paʔ˨"	"文"	
"拔"	"poih8"	"poiʔ˥˦"		
"劄"	"tsak4"	"tsak˨"		
"紮"	"tsak4"	"tsak˨"		
"察"	"tshak4"	"tsʰak˨"		
"殺"	"suah4"	"suaʔ˨"		
"軋"	"khoih4"	"kʰoiʔ˨"		
"軋"	"iak4"	"iak˨"	"又"	
"軋"	"ak4"	"ak˨"	"又"	
"軋"	"tsap4"	"tsap˨"	"又"	
"軋"	"kak4"	"kak˨"	"又"	
"鍘"	"tsak4"	"tsak˨"		
"瞎"	"hak4"	"hak˨"		
"轄"	"khak4"	"kʰak˨"		
"別"	"pak8"	"pak˥˦"	"白，~儂"	
"別"	"piak8"	"piak˥˦"		
"憋"	"pih4"	"piʔ˨"		
"鱉"	"pih4"	"piʔ˨"		
"別"	"pak4"	"pak˨"	"又，認識"	
"滅"	"mik8"	"mik˥˦"		
"滅"	"miak8"	"miak˥˦"	"文"	
"列"	"liak8"	"liak˥˦"		
"裂"	"lih8"	"liʔ˥˦"		
"烈"	"liak8"	"liak˥˦"		
"薛"	"sih4"	"ɕiʔ˨"		
"褻"				
"泄"	"siap8"	"ɕiap˥˦"		
"哲"	"tiak4"	"tiak˨"		
"徹"	"thiak4"	"tʰiak˨"		
"撤"	"thiak4"	"tʰiak˨"		
"轍"	"thiak4"	"tʰiak˨"		
"折"	"tsih4"	"tɕiʔ˨"		
"浙"	"tsiak4"	"tɕiak˨"		
"舌"	"tsih8"	"tɕiʔ˥˦"		
"設"	"siak4"	"ɕiak˨"		
"折"	"tsih8"	"tɕiʔ˥˦"	"又"	
"熱"	"dzuah8"	"dzuaʔ˥˦"		
"熱"	"dziak8"	"dziak˥˦"	"文"	
"孑"	"khiak4"	"kʰiak˨"		
"傑"	"kiak8"	"kiak˥˦"		
"孽"	"ngiak8"	"ŋiak˥˦"		
"揭"	"kik4"	"kik˨"	"又，~陽"	
"揭"	"kiah4"	"kiaʔ˨"		
"竭"	"kiak8"	"kiak˥˦"		
"歇"	"hiah4"	"hiaʔ˨"		
"蠍"	"hiak4"	"hiak˨"		
"蠍"	"hak4"	"hak˨"	"又"	
"謁"	"hak4"	"hak˨"		
"撇"	"phuah4"	"pʰuaʔ˨"		
"篾"	"bih4"	"biʔ˨"		
"鐵"	"thih4"	"tʰiʔ˨"		
"迭"	"tiak4"	"tiak˨"		
"跌"	"tiak8"	"tiak˥˦"		
"捏"	"niap8"	"niap˥˦"		
"節"	"tsoih4"	"tsoiʔ˨"		
"節"	"tsak4"	"tsak˨"	"文"	
"切"	"tshiak4"	"tɕʰiak˨"		
"截"	"tsoih8"	"tsoiʔ˥˦"		
"屑"	"siah4"	"ɕiaʔ˨"		
"結"	"kak4"	"kak˨"		
"結"	"kiak4"	"kiak˨"	"又"	
"潔"	"kiak4"	"kiak˨"		
"噎"	"ik4"	"ik˨"		
"噎"	"i3"	"i˨˩˨"	"又"	
"搬"	"puann1"	"pua ̃˧˧"		
"般"	"puann1"	"pua ̃˧˧"		
"半"	"puann3"	"pua ̃˨˩˨"		
"絆"	"phuang3"	"pʰuaŋ˨˩˨"		
"潘"	"phuann1"	"pʰua ̃˧˧"		
"拚"	"piann3"	"pia ̃˨˩˨"		
"判"	"phuang3"	"pʰuaŋ˨˩˨"		
"盤"	"puann5"	"pua ̃˥˥"		
"盤"	"phuang5"	"pʰuaŋ˥˥"		
"伴"	"phuann6"	"pʰua ̃˧˥"		
"叛"	"puang6"	"puaŋ˧˥"		
"瞞"	"muann5"	"mua ̃˥˥"		
"饅"	"mang6"	"maŋ˧˥"		
"滿"	"muann2"	"mua ̃˥˨"		
"漫"	"buang6"	"buaŋ˧˥"		
"漫"	"mang6"	"maŋ˧˥"	"又"	
"幔"	"buang6"	"buaŋ˧˥"		
"端"	"tuang1"	"tuaŋ˧˧"		
"短"	"to2"	"to˥˨"		
"斷"	"tng6"	"tŋ˧˥"		
"斷"	"tuang6"	"tuaŋ˧˥"		
"斷"	"tuang3"	"tuaŋ˨˩˨"	"又"	
"鍛"	"tuang3"	"tuaŋ˨˩˨"		
"團"	"thuang5"	"tʰuaŋ˥˥"		
"段"	"tng7"	"tŋ˧˩"		
"段"	"tuang6"	"tuaŋ˧˥"	"文，姓氏"	
"緞"	"tng7"	"tŋ˧˩"		
"暖"	"luang2"	"luaŋ˥˨"		
"暖"	"nuang2"	"nuaŋ˥˨"		
"鸞"	"luang5"	"luaŋ˥˥"		
"卵"	"nng6"	"nŋ˧˥"		
"卵"	"lang6"	"laŋ˧˥"	"又，男陰"	
"卵"	"luang2"	"luaŋ˥˨"	"文"	
"亂"	"luang6"	"luaŋ˧˥"		
"鑽"	"tsng3"	"tsŋ˨˩˨"		
"鑽"	"nng3"	"nŋ˨˩˨"	"又"	
"鑽"	"tsang3"	"tsaŋ˨˩˨"	"又"	
"纂"	"tshuang3"	"tsʰuaŋ˨˩˨"		
"竄"	"tshuang3"	"tsʰuaŋ˨˩˨"		
"酸"	"sng1"	"sŋ˧˧"		
"算"	"sng3"	"sŋ˨˩˨"		
"算"	"suang3"	"suaŋ˨˩˨"	"文"	
"蒜"	"sng3"	"sŋ˨˩˨"		
"官"	"kuann1"	"kua ̃˧˧"		
"觀"	"kuang1"	"kuaŋ˧˧"		
"冠"	"kuang1"	"kuaŋ˧˧"		
"管"	"kurng2"	"kɯŋ˥˨"		
"管"	"kuang2"	"kuaŋ˥˨"		
"館"	"kuang2"	"kuaŋ˥˨"		
"冠"	"kuang3"	"kuaŋ˨˩˨"	"又"	
"觀"	"kuang3"	"kuaŋ˨˩˨"		
"灌"	"kuang3"	"kuaŋ˨˩˨"		
"罐"	"kuang3"	"kuaŋ˨˩˨"		
"貫"	"kuang3"	"kuaŋ˨˩˨"		
"寬"	"khuann1"	"kʰua ̃˧˧"	"白，~~行"	
"寬"	"khuang1"	"kʰuaŋ˧˧"	"文"	
"款"	"khuang2"	"kʰuaŋ˥˨"		
"玩"	"nguang2"	"ŋuaŋ˥˨"		
"歡"	"huann1"	"hua ̃˧˧"		
"歡"	"huang1"	"huaŋ˧˧"	"文"	
"喚"	"huang3"	"huaŋ˨˩˨"		
"煥"	"huang3"	"huaŋ˨˩˨"		
"桓"	"huang5"	"huaŋ˥˥"		
"完"	"uang1"	"uaŋ˧˧"		
"丸"	"inn5"	"i ̃˥˥"	"訓“圓”"	
"丸"	"uang5"	"uaŋ˥˥"		
"紈"	"uang5"	"uaŋ˥˥"		
"緩"	"huang2"	"huaŋ˥˨"		
"皖"	"uang2"	"uaŋ˥˨"		
"換"	"uann7"	"ua ̃˧˩"		
"換"	"huang3"	"huaŋ˨˩˨"		
"豌"	"uang1"	"uaŋ˧˧"		
"碗"	"uann2"	"ua ̃˥˨"		
"腕"	"uang2"	"uaŋ˥˨"		
"鰥"	"kuang1"	"kuaŋ˧˧"		
"幻"	"huang3"	"huaŋ˨˩˨"		
"篡"	"tshuang3"	"tsʰuaŋ˨˩˨"		
"撰"	"tsuang6"	"tsuaŋ˧˥"		
"閂"	"tshuann3"	"tsʰua ̃˨˩˨"		
"拴"	"tshuang5"	"tsʰuaŋ˥˥"		
"涮"	"sueh4"	"sueʔ˨"	"俗"	
"涮"	"suang3"	"suaŋ˨˩˨"		
"關"	"kuenn1"	"kue ̃˧˧"	"白"	
"關"	"kuang1"	"kuaŋ˧˧"		
"慣"	"kuang3"	"kuaŋ˨˩˨"		
"頑"	"nguang2"	"ŋuaŋ˥˨"		
"還"	"huann1"	"hua ̃˧˧"		
"還"	"hainn5"	"hai ̃˥˥"	"又"	
"還"	"hoinn5"	"hoi ̃˥˥"	"又"	
"還"	"huang5"	"huaŋ˥˥"	"文"	
"環"	"huang5"	"huaŋ˥˥"		
"患"	"huang6"	"huaŋ˧˥"		
"宦"	"huang6"	"huaŋ˧˥"		
"彎"	"uang1"	"uaŋ˧˧"		
"灣"	"uang1"	"uaŋ˧˧"		
"戀"	"luang3"	"luaŋ˨˩˨"		
"痊"	"tshuang5"	"tsʰuaŋ˥˥"		
"全"	"tshuang5"	"tsʰuaŋ˥˥"		
"泉"	"tsuann5"	"tsua ̃˥˥"		
"宣"	"suang1"	"suaŋ˧˧"		
"選"	"suang2"	"suaŋ˥˨"		
"旋"	"suang5"	"suaŋ˥˥"		
"旋"	"tsng7"	"tsŋ˧˩"	"白"	
"旋"	"suang7"	"suaŋ˧˩"		
"鏇"	"suang7"	"suaŋ˧˩"		
"轉"	"tng2"	"tŋ˥˨"	"白"	
"轉"	"tsuang2"	"tsuaŋ˥˨"	"又"	
"轉"	"dzuang2"	"dzuaŋ˥˨"	"又"	
"傳"	"thuang5"	"tʰuaŋ˥˥"		
"椽"	"uang5"	"uaŋ˥˥"		
"篆"	"tuang6"	"tuaŋ˧˥"		
"傳"	"tng7"	"tŋ˧˩"		
"專"	"tsuang1"	"tsuaŋ˧˧"		
"磚"	"tsng1"	"tsŋ˧˧"		
"川"	"tshuang1"	"tsʰuaŋ˧˧"		
"穿"	"tshng1"	"tsʰŋ˧˧"		
"穿"	"tsheng7"	"tsʰeŋ˧˩"	"訓"	
"穿"	"tshuang1"	"tsʰuaŋ˧˧"	"文"	
"喘"	"tshuang2"	"tsʰuaŋ˥˨"		
"舛"	"tshuang2"	"tsʰuaŋ˥˨"		
"串"	"tshuang3"	"tsʰuaŋ˨˩˨"		
"船"	"tsung5"	"tsuŋ˥˥"		
"軟"	"nng2"	"nŋ˥˨"		
"卷"	"kurng2"	"kɯŋ˥˨"		
"卷"	"kuang2"	"kuaŋ˥˨"	"文"	
"卷"	"kuang6"	"kuaŋ˧˥"	"又"	
"眷"	"kuang3"	"kuaŋ˨˩˨"		
"絹"	"kiang1"	"kiaŋ˧˧"		
"絹"	"kiang3"	"kiaŋ˨˩˨"	"又"	
"圈"	"khuang1"	"kʰuaŋ˧˧"		
"圈"	"khou1"	"kʰou˧˧"	"俗"	
"權"	"khuang5"	"kʰuaŋ˥˥"		
"拳"	"khung5"	"kʰuŋ˥˥"		
"鬈"	"khuang5"	"kʰuaŋ˥˥"		
"倦"	"kuang6"	"kuaŋ˧˥"		
"員"	"uang5"	"uaŋ˥˥"		
"員"	"ung5"	"uŋ˥˥"	"又"	
"員"	"ung6"	"uŋ˧˥"	"又，姓氏"	
"圓"	"inn5"	"i ̃˥˥"		
"院"	"nginn7"	"ŋi ̃˧˩"		
"院"	"inn7"	"i ̃˧˩"		
"緣"	"nguang5"	"ŋuaŋ˥˥"		
"沿"	"ing5"	"iŋ˥˥"		
"沿"	"iang5"	"iaŋ˥˥"	"又"	
"鉛"	"iang5"	"iaŋ˥˥"		
"捐"	"kiang1"	"kiaŋ˧˧"		
"兗"	"iang6"	"iaŋ˧˥"		
"兗"	"iang2"	"iaŋ˥˨"		
"藩"	"phuang1"	"pʰuaŋ˧˧"		
"反"	"poinn2"	"poi ̃˥˨"	"白"	
"反"	"huang2"	"huaŋ˥˨"		
"翻"	"huang1"	"huaŋ˧˧"		
"番"	"huang1"	"huaŋ˧˧"		
"販"	"huang3"	"huaŋ˨˩˨"		
"煩"	"huang5"	"huaŋ˥˥"		
"礬"	"huang5"	"huaŋ˥˥"		
"繁"	"huang5"	"huaŋ˥˥"		
"繁"	"pho5"	"pʰo˥˥"	"又，姓氏"	
"飯"	"pung7"	"puŋ˧˩"		
"晚"	"mung2"	"muŋ˥˨"		
"挽"	"mang2"	"maŋ˥˨"		
"萬"	"buang7"	"buaŋ˧˩"	"文"	
"萬"	"mang7"	"maŋ˧˩"		
"勸"	"khng3"	"kʰŋ˨˩˨"		
"券"	"kuang3"	"kuaŋ˨˩˨"		
"元"	"ng5"	"ŋ˥˥"	"白"	
"元"	"ngurng5"	"ŋɯŋ˥˥"	"又白"	
"元"	"nguang5"	"ŋuaŋ˥˥"	"文"	
"原"	"nguang5"	"ŋuaŋ˥˥"		
"源"	"nguang5"	"ŋuaŋ˥˥"		
"阮"	"uang2"	"uaŋ˥˨"	"俗"	
"阮"	"ng2"	"ŋ˥˨"	"又俗"	
"阮"	"nguang2"	"ŋuaŋ˥˨"		
"願"	"nguang6"	"ŋuaŋ˧˥"		
"喧"	"suang1"	"suaŋ˧˧"		
"楦"	"suang1"	"suaŋ˧˧"		
"冤"	"uang1"	"uaŋ˧˧"		
"宛"	"uang2"	"uaŋ˥˨"		
"婉"	"uang2"	"uaŋ˥˨"		
"怨"	"uang2"	"uaŋ˥˨"		
"袁"	"uang5"	"uaŋ˥˥"		
"園"	"hng5"	"hŋ˥˥"		
"援"	"iang6"	"iaŋ˧˥"		
"垣"	"huang5"	"huaŋ˥˥"		
"遠"	"hng6"	"hŋ˧˥"	"白"	
"遠"	"iang2"	"iaŋ˥˨"		
"涓"	"kiang1"	"kiaŋ˧˧"		
"犬"	"khiang2"	"kʰiaŋ˥˨"		
"懸"	"kuinn5"	"kui ̃˥˥"	"白，~大"	
"懸"	"hiang5"	"hiaŋ˥˥"		
"玄"	"hiang5"	"hiaŋ˥˥"		
"縣"	"kuinn7"	"kui ̃˧˩"		
"眩"	"hing5"	"hiŋ˥˥"		
"眩"	"hiang5"	"hiaŋ˥˥"		
"淵"	"iang1"	"iaŋ˧˧"		
"淵"	"uang1"	"uaŋ˧˧"	"又"	
"缽"	"puah4"	"puaʔ˨"		
"撥"	"puah4"	"puaʔ˨"		
"潑"	"phuah4"	"pʰuaʔ˨"		
"潑"	"phuak4"	"pʰuak˨"	"俗"	
"鈸"	"buah8"	"buaʔ˥˦"		
"鈸"	"puak8"	"puak˥˦"	"文"	
"跋"	"puah8"	"puaʔ˥˦"		
"跋"	"puak8"	"puak˥˦"	"文"	
"末"	"buah8"	"buaʔ˥˦"		
"末"	"muak8"	"muak˥˦"	"文"	
"抹"	"buah4"	"buaʔ˨"		
"沫"	"buah8"	"buaʔ˥˦"		
"沫"	"muak8"	"muak˥˦"		
"掇"	"toh8"	"toʔ˥˦"		
"掇"	"tshuak4"	"tsʰuak˨"	"又，俗"	
"脫"	"thuk4"	"tʰuk˨"		
"奪"	"toh8"	"toʔ˥˦"		
"捋"	"luk8"	"luk˥˦"		
"捋"	"luak4"	"luak˨"	"文"	
"撮"	"tshoh4"	"tsʰoʔ˨"		
"撮"	"tshuak4"	"tsʰuak˨"	"文"	
"括"	"kuak4"	"kuak˨"		
"闊"	"khuah4"	"kʰuaʔ˨"		
"豁"	"hak4"	"hak˨"		
"活"	"uah8"	"uaʔ˥˦"		
"斡"	"uk4"	"uk˨"		
"斡"	"uak4"	"uak˨"	"文"	
"滑"	"kuk8"	"kuk˥˦"		
"猾"	"kuk8"	"kuk˥˦"		
"挖"	"uai1"	"uai˧˧"		
"刷"	"sueh4"	"sueʔ˨"		
"刮"	"kueh4"	"kueʔ˨"		
"劣"	"luak4"	"luak˨"		
"絕"	"tsoh8"	"tsoʔ˥˦"		
"雪"	"soh4"	"soʔ˨"		
"輟"	"tshuak4"	"tsʰuak˨"		
"拙"	"tshuak4"	"tsʰuak˨"		
"說"	"sueh4"	"sueʔ˨"		
"悅"	"dzuak8"	"dzuak˥˦"		
"閲"	"luak4"	"luak˨"		
"發"	"huak4"	"huak˨"		
"髮"	"huak4"	"huak˨"		
"伐"	"huak8"	"huak˥˦"		
"筏"	"huak8"	"huak˥˦"		
"罰"	"huak8"	"huak˥˦"		
"襪"	"gueh8"	"gueʔ˥˦"		
"厥"	"khiak4"	"kʰiak˨"		
"孓"	"khuak4"	"kʰuak˨"		
"孓"	"kuak4"	"kuak˨"	"俗"	
"闕"	"khueh4"	"kʰueʔ˨"		
"闕"	"khiak4"	"kʰiak˨"	"文"	
"掘"	"kuk8"	"kuk˥˦"		
"橛"	"khek8"	"kʰek˥˦"		
"橛"	"kueh8"	"kueʔ˥˦"	"又"	
"橛"	"khiak4"	"kʰiak˨"	"文"	
"月"	"gueh8"	"gueʔ˥˦"		
"噦"	"ueh4"	"ueʔ˨"		
"越"	"uak8"	"uak˥˦"		
"曰"	"iak4"	"iak˨"		
"曰"	"uak4"	"uak˨"	"又"	
"粵"	"uak8"	"uak˥˦"		
"決"	"kuak4"	"kuak˨"		
"訣"	"kuak4"	"kuak˨"		
"缺"	"khueh4"	"kʰueʔ˨"		
"缺"	"khih4"	"kʰiʔ˨"	"又"	
"血"	"hueh4"	"hueʔ˨"		
"穴"	"huak8"	"huak˥˦"		
"吞"	"thung1"	"tʰuŋ˧˧"		
"根"	"kurng1"	"kɯŋ˧˧"		
"跟"	"kurng1"	"kɯŋ˧˧"		
"墾"	"khurng2"	"kʰɯŋ˥˨"		
"懇"	"khurng2"	"kʰɯŋ˥˨"		
"齦"	"ngurng5"	"ŋɯŋ˥˨"		
"痕"	"hung5"	"huŋ˥˥"		
"很"	"hurng2"	"hɯŋ˥˨"		
"恨"	"hurng6"	"hɯŋ˧˥"		
"恩"	"urng1"	"ɯŋ˧˧"		
"彬"	"ping1"	"piŋ˧˧"		
"賓"	"ping1"	"piŋ˧˧"		
"檳"	"ping1"	"piŋ˧˧"		
"殯"	"ping3"	"piŋ˨˩˨"		
"殯"	"ping1"	"piŋ˧˧"	"俗"	
"貧"	"phing5"	"pʰiŋ˥˥"		
"頻"	"phing5"	"pʰiŋ˥˥"		
"牝"	"phing2"	"pʰiŋ˥˨"		
"閩"	"mang5"	"maŋ˥˥"		
"民"	"ming5"	"miŋ˥˥"		
"泯"	"ming5"	"miŋ˥˥"		
"敏"	"miang2"	"miaŋ˥˨"		
"憫"	"miang2"	"miaŋ˥˨"		
"鄰"	"ling5"	"liŋ˥˥"		
"鱗"	"lang5"	"laŋ˥˥"		
"鱗"	"ling5"	"liŋ˥˥"	"文"	
"磷"	"ling5"	"liŋ˥˥"		
"吝"	"liang6"	"liaŋ˧˥"		
"吝"	"ling7"	"liŋ˧˩"	"又"	
"津"	"tsing1"	"tɕiŋ˧˧"		
"盡"	"tsing6"	"tɕiŋ˧˥"		
"進"	"tsing3"	"tɕiŋ˨˩˨"		
"晉"	"tsing3"	"tɕiŋ˨˩˨"		
"親"	"tshing1"	"tɕʰiŋ˧˧"		
"秦"	"tshing5"	"tɕʰiŋ˥˥"		
"辛"	"sing1"	"ɕiŋ˧˧"		
"新"	"sing1"	"ɕiŋ˧˧"		
"薪"	"tsing1"	"tɕiŋ˧˧"		
"薪"	"sing1"	"ɕiŋ˧˧"	"又"	
"信"	"sing3"	"ɕiŋ˨˩˨"		
"訊"	"sing3"	"ɕiŋ˨˩˨"		
"珍"	"tiang1"	"tiaŋ˧˧"		
"鎮"	"ting3"	"tiŋ˨˩˨"		
"趁"	"thang3"	"tʰaŋ˨˩˨"		
"陳"	"tang5"	"taŋ˥˥"	"白"	
"陳"	"ting5"	"tiŋ˥˥"	"又"	
"陳"	"thing5"	"tʰiŋ˥˥"	"又"	
"陳"	"tshing5"	"tɕʰiŋ˥˥"	"文"	
"塵"	"ting5"	"tiŋ˥˥"		
"陣"	"ting7"	"tiŋ˧˩"		
"陣"	"tsung7"	"tsuŋ˧˩"	"白"	
"陣"	"tsung5"	"tsuŋ˥˥"	"又"	
"榛"	"tsing1"	"tɕiŋ˧˧"		
"臻"	"tsing1"	"tɕiŋ˧˧"		
"襯"	"tsheng3"	"tsʰeŋ˨˩˨"		
"真"	"tsing1"	"tɕiŋ˧˧"		
"診"	"tsiang2"	"tɕiaŋ˥˨"		
"疹"	"tsiang2"	"tɕiaŋ˥˨"		
"振"	"tsing2"	"tɕiŋ˥˨"		
"震"	"tsing2"	"tɕiŋ˥˨"		
"娠"	"sing5"	"ɕiŋ˥˥"		
"神"	"sing5"	"ɕiŋ˥˥"		
"身"	"sing1"	"ɕiŋ˧˧"		
"申"	"sing1"	"ɕiŋ˧˧"		
"伸"	"tshung1"	"tsʰuŋ˧˧"	"白"	
"伸"	"sing1"	"ɕiŋ˧˧"		
"娠"	"sing5"	"ɕiŋ˥˥"		
"辰"	"sing5"	"ɕiŋ˥˥"		
"晨"	"sing5"	"ɕiŋ˥˥"		
"臣"	"tshing5"	"tɕʰiŋ˥˥"		
"腎"	"siang6"	"ɕiaŋ˧˥"		
"慎"	"sim2"	"ɕim˥˨"		
"人"	"dzing5"	"dziŋ˥˥"		
"人"	"nang5"	"naŋ˥˥"	"訓“儂”"	
"仁"	"dzing5"	"dziŋ˥˥"		
"忍"	"lung2"	"luŋ˥˨"	"白"	
"忍"	"dzim2"	"dzim˥˨"		
"認"	"dzing7"	"dziŋ˧˩"		
"刃"	"dzim2"	"dzim˥˨"		
"巾"	"kurng1"	"kɯŋ˧˧"		
"緊"	"king2"	"kiŋ˥˨"		
"僅"	"kurng2"	"kɯŋ˥˨"		
"銀"	"ngurng5"	"ŋɯŋ˥˥"		
"銀"	"nging5"	"ŋiŋ˥˥"	"又"	
"釁"	"hiang3"	"hiaŋ˨˩˨"		
"因"	"ing1"	"iŋ˧˧"		
"姻"	"ing1"	"iŋ˧˧"		
"印"	"ing3"	"iŋ˨˩˨"		
"寅"	"ing5"	"iŋ˥˥"		
"引"	"ing2"	"iŋ˥˨"		
"斤"	"kurng1"	"kɯŋ˧˧"		
"筋"	"kurng1"	"kɯŋ˧˧"		
